"","site","transect","observer","Transect.area","common.name","species","year","group","Count","area","zone","N.segments"
"36","Teahwhit Head",1,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"37","Teahwhit Head",2,"GW",60,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"38","Teahwhit Head",2,"KF",30,"Pycnopodia helianthoides","PYCHEL",2015,"Invert",0,NA,5,NA
"39","Cape Alava",1,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"1",10,3
"40","Cape Alava",1,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"41","Cape Alava",2,"Greg Williams",40,NA,"PYCHEL",2016,"Invert",0,"1",10,2
"42","Cape Alava",2,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"43","Cape Alava",3,"Steve Lonhart",60,NA,"PYCHEL",2016,"Invert",0,"1",10,3
"44","Cape Alava",4,"Steve Lonhart",60,NA,"PYCHEL",2016,"Invert",0,"1",10,3
"45","Cape Alava",5,"Steve Lonhart",60,NA,"PYCHEL",2016,"Invert",0,"1",10,3
"46","Cape Alava",3,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"47","Cape Alava",4,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"48","Cape Alava",5,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"49","Cape Johnson",1,"Jameal Samhouri",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"50","Cape Johnson",1,"Kelly Andrews",20,NA,"PYCHEL",2016,"Invert",0,"1",10,1
"51","Cape Johnson",2,"Jameal Samhouri",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"52","Cape Johnson",2,"Kelly Andrews",20,NA,"PYCHEL",2016,"Invert",0,"1",10,1
"53","Cape Johnson",3,"Jameal Samhouri",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"54","Cape Johnson",3,"Kelly Andrews",20,NA,"PYCHEL",2016,"Invert",0,"1",10,1
"55","Cape Johnson",4,"Kelly Andrews",20,NA,"PYCHEL",2016,"Invert",0,"1",10,1
"56","Cape Johnson",5,"Greg Williams",20,NA,"PYCHEL",2016,"Invert",0,"1",10,1
"57","Cape Johnson",6,"Greg Williams",20,NA,"PYCHEL",2016,"Invert",0,"1",10,1
"58","Cape Johnson",7,"Greg Williams",20,NA,"PYCHEL",2016,"Invert",0,"1",10,1
"59","Cape Johnson",1,"Jameal Samhouri",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"60","Cape Johnson",2,"Jameal Samhouri",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"61","Cape Johnson",3,"Jameal Samhouri",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"62","Destruction Island",1,"Kelly Andrews",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"63","Destruction Island",2,"Kelly Andrews",40,NA,"PYCHEL",2016,"Invert",0,"1",5,2
"64","Destruction Island",1,"Jameal Samhouri",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"65","Destruction Island",1,"Ole Shelton",60,NA,"PYCHEL",2016,"Invert",0,"2",10,3
"66","Destruction Island",2,"Ole Shelton",60,NA,"PYCHEL",2016,"Invert",0,"2",10,3
"67","Neah Bay",1,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"68","Neah Bay",2,"Kinsey Frick",40,NA,"PYCHEL",2016,"Invert",0,"1",5,2
"69","Neah Bay",1,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"2",10,3
"70","Neah Bay",2,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"2",10,3
"71","Neah Bay",3,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"72","Neah Bay",3,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"2",10,3
"73","Neah Bay",4,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"74","Neah Bay",4,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"2",10,3
"75","Neah Bay",5,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"2",5,3
"76","Neah Bay",5,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"2",10,3
"77","Tatoosh Island",1,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",4,"1",10,3
"78","Tatoosh Island",1,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"79","Tatoosh Island",2,"Greg Williams",40,NA,"PYCHEL",2016,"Invert",0,"1",10,2
"80","Tatoosh Island",2,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"81","Tatoosh Island",3,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"82","Tatoosh Island",3,"Kinsey Frick",60,NA,"PYCHEL",2016,"Invert",0,"1",10,3
"83","Tatoosh Island",4,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"84","Tatoosh Island",4,"Kinsey Frick",40,NA,"PYCHEL",2016,"Invert",0,"1",10,2
"85","Tatoosh Island",5,"Greg Williams",60,NA,"PYCHEL",2016,"Invert",0,"1",5,3
"86","Cape Alava",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"87","Cape Alava",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"88","Cape Alava",3,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"89","Cape Alava",4,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"90","Cape Alava",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"91","Cape Alava",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"92","Cape Alava",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"93","Cape Alava",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"94","Cape Alava",3,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"95","Cape Alava",3,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"96","Cape Alava",4,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"97","Cape Johnson",1,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"98","Cape Johnson",2,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"99","Cape Johnson",3,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"100","Cape Johnson",1,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"101","Cape Johnson",2,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"102","Cape Johnson",3,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"103","Cape Johnson",4,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"104","Cape Johnson",1,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"3",10,3
"105","Cape Johnson",2,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"3",10,3
"106","Cape Johnson",3,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"3",10,3
"107","Cape Johnson",4,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"3",10,3
"108","Cape Johnson",5,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"3",10,3
"109","Cape Johnson",6,"Jameal Samhouri",60,NA,"PYCHEL",2017,"Invert",0,"3",10,3
"110","Destruction Island",1,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"111","Destruction Island",1,"Ole Shelton",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"112","Destruction Island",2,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"113","Destruction Island",2,"Ole Shelton",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"114","Destruction Island",3,"Kinsey Frick",40,NA,"PYCHEL",2017,"Invert",0,"1",5,2
"115","Destruction Island",3,"Ole Shelton",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"116","Destruction Island",1,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"117","Destruction Island",1,"Ole Shelton",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"118","Destruction Island",2,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"119","Destruction Island",2,"Ole Shelton",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"120","Destruction Island",3,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"121","Destruction Island",3,"Ole Shelton",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"122","Neah Bay",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"123","Neah Bay",1,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"124","Neah Bay",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"125","Neah Bay",2,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"126","Neah Bay",3,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"127","Neah Bay",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"128","Neah Bay",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"129","Neah Bay",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"130","Neah Bay",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"131","Neah Bay",3,"Greg Williams",40,NA,"PYCHEL",2017,"Invert",0,"2",5,2
"132","Neah Bay",3,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"133","Tatoosh Island",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"134","Tatoosh Island",1,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"135","Tatoosh Island",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"136","Tatoosh Island",2,"Kinsey Frick",60,NA,"PYCHEL",2017,"Invert",0,"1",5,3
"137","Tatoosh Island",3,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"1",10,3
"138","Tatoosh Island",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"139","Tatoosh Island",1,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"140","Tatoosh Island",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"141","Tatoosh Island",2,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"142","Tatoosh Island",3,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",5,3
"143","Tatoosh Island",3,"Greg Williams",60,NA,"PYCHEL",2017,"Invert",0,"2",10,3
"144","Cape Alava",1,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"E",5,3
"145","Cape Alava",1,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"E",10,3
"146","Cape Alava",2,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"E",5,3
"147","Cape Alava",2,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"E",10,3
"148","Cape Alava",3,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"E",5,3
"149","Cape Alava",3,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"E",10,3
"150","Cape Alava",4,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"E",10,3
"151","Cape Alava",1,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"W",10,3
"152","Cape Alava",1,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"W",5,3
"153","Cape Alava",2,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"W",10,3
"154","Cape Alava",2,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"W",5,3
"155","Cape Alava",3,"Kinsey Frick",40,NA,"PYCHEL",2018,"Invert",0,"W",5,2
"156","Cape Johnson",1,"Greg Williams",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"157","Cape Johnson",1,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"158","Cape Johnson",2,"Greg Williams",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"159","Cape Johnson",2,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"160","Cape Johnson",3,"Greg Williams",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"161","Cape Johnson",3,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"162","Cape Johnson",1,"Greg Williams",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"163","Cape Johnson",1,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"164","Cape Johnson",2,"Greg Williams",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"165","Cape Johnson",2,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"166","Cape Johnson",3,"Greg Williams",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"167","Cape Johnson",3,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"168","Destruction Island",1,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"169","Destruction Island",1,"Kelly Andrews",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"170","Destruction Island",2,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"171","Destruction Island",2,"Kelly Andrews",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"172","Destruction Island",3,"Jameal Samhouri",20,NA,"PYCHEL",2018,"Invert",0,"N",10,1
"173","Destruction Island",3,"Kelly Andrews",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"174","Destruction Island",4,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"175","Destruction Island",5,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"176","Destruction Island",1,"Kelly Andrews",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"177","Destruction Island",1,"Ole Shelton",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"178","Destruction Island",2,"Kelly Andrews",40,NA,"PYCHEL",2018,"Invert",0,"S",10,2
"179","Destruction Island",2,"Ole Shelton",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"180","Destruction Island",3,"Kelly Andrews",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"181","Destruction Island",3,"Ole Shelton",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"182","Neah Bay",1,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",1,"N",10,3
"183","Neah Bay",1,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"184","Neah Bay",1,"Steve Lonhart",40,NA,"PYCHEL",2018,"Invert",0,"N",10,2
"185","Neah Bay",2,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"186","Neah Bay",2,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"187","Neah Bay",2,"Steve Lonhart",20,NA,"PYCHEL",2018,"Invert",0,"N",10,1
"188","Neah Bay",3,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"189","Neah Bay",3,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",1,"N",5,3
"190","Neah Bay",4,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"191","Neah Bay",4,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"192","Neah Bay",1,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"193","Neah Bay",1,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"194","Neah Bay",2,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"195","Neah Bay",2,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"196","Neah Bay",3,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"197","Neah Bay",3,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",1,"S",10,3
"198","Tatoosh Island",1,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"199","Tatoosh Island",1,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"200","Tatoosh Island",2,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"201","Tatoosh Island",2,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"202","Tatoosh Island",3,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"N",5,3
"203","Tatoosh Island",3,"Kinsey Frick",60,NA,"PYCHEL",2018,"Invert",0,"N",10,3
"204","Tatoosh Island",1,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"205","Tatoosh Island",1,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"206","Tatoosh Island",2,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"207","Tatoosh Island",2,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"208","Tatoosh Island",3,"Gary Longo",60,NA,"PYCHEL",2018,"Invert",0,"S",5,3
"209","Tatoosh Island",3,"Jameal Samhouri",60,NA,"PYCHEL",2018,"Invert",0,"S",10,3
"210","Cape Alava",1,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"E",5,3
"211","Cape Alava",1,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"E",10,3
"212","Cape Alava",2,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"E",5,3
"213","Cape Alava",2,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"E",10,3
"214","Cape Alava",3,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"E",5,3
"215","Cape Alava",3,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"E",10,3
"216","Cape Alava",4,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",1,"E",5,3
"217","Cape Alava",4,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"E",10,3
"218","Cape Alava",1,"Gary Longo",60,NA,"PYCHEL",2019,"Invert",0,"W",5,3
"219","Cape Alava",1,"Genoa Sullaway",60,NA,"PYCHEL",2019,"Invert",0,"W",10,3
"220","Cape Alava",2,"Gary Longo",60,NA,"PYCHEL",2019,"Invert",0,"W",5,3
"221","Cape Alava",2,"Genoa Sullaway",60,NA,"PYCHEL",2019,"Invert",0,"W",10,3
"222","Cape Alava",3,"Gary Longo",40,NA,"PYCHEL",2019,"Invert",0,"W",5,2
"223","Cape Alava",3,"Genoa Sullaway",60,NA,"PYCHEL",2019,"Invert",0,"W",10,3
"224","Cape Johnson",1,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"225","Cape Johnson",1,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"226","Cape Johnson",2,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"227","Cape Johnson",2,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"228","Cape Johnson",3,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"229","Cape Johnson",3,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"230","Cape Johnson",4,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"231","Cape Johnson",4,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"232","Cape Johnson",1,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"233","Cape Johnson",1,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"234","Cape Johnson",2,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"235","Cape Johnson",2,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"236","Cape Johnson",3,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"237","Cape Johnson",3,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"238","Destruction Island",1,"Gary Longo",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"239","Destruction Island",1,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"240","Destruction Island",2,"Gary Longo",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"241","Destruction Island",2,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"242","Destruction Island",3,"Gary Longo",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"243","Destruction Island",3,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"244","Destruction Island",1,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"245","Destruction Island",1,"Steve Lonhart",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"246","Destruction Island",2,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"247","Destruction Island",2,"Steve Lonhart",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"248","Destruction Island",3,"Nick Tolimieri",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"249","Neah Bay",1,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"250","Neah Bay",1,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"251","Neah Bay",2,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"252","Neah Bay",2,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"253","Neah Bay",3,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"254","Neah Bay",3,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",5,3
"255","Neah Bay",4,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
"256","Neah Bay",1,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"257","Neah Bay",1,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"258","Neah Bay",2,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"259","Neah Bay",2,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"260","Neah Bay",3,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"261","Neah Bay",3,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"S",10,3
"262","Neah Bay",4,"Greg Williams",60,NA,"PYCHEL",2019,"Invert",0,"S",5,3
"263","Tatoosh Island",1,"Kinsey Frick",60,NA,"PYCHEL",2019,"Invert",0,"N",10,3
