"","site","transect","observer","common.name","species","size_class","year","Count","area","zone","vis_m","taxa"
"30","Cape Alava",1,"JS","manacled sculpin","SYGI",NA,2015,0,NA,"5",3,"COTT"
"31","Cape Alava",1,"JS","mosshead warbonnet","CHNU",NA,2015,0,NA,"5",3,"CHNU"
"32","Cape Alava",1,"JS","no_transect_no_data","NO_DATA",NA,2015,0,NA,"5",3,"NO_DATA"
"33","Cape Alava",1,"JS","pile perch","RHVA",NA,2015,0,NA,"5",3,"EMBI"
"34","Cape Alava",1,"JS","quillback rockfish","SEMA","small",2015,0,NA,"5",3,"SEMAyoy"
"35","Cape Alava",1,"JS","rockfish","SEBSPP","large",2015,0,NA,"5",3,"SEBSPP"
"36","Cape Alava",1,"JS","rockfish","SEBSPP","small",2015,0,NA,"5",3,"SEBSPPyoy"
"37","Cape Alava",1,"JS","sanddabs","CITH",NA,2015,0,NA,"5",3,"CITH"
"38","Cape Alava",1,"JS","scalyhead sculpin","ARHA",NA,2015,0,NA,"5",3,"COTT"
"39","Cape Alava",1,"JS","sculpin","COTT",NA,2015,0,NA,"5",3,"COTT"
"40","Cape Alava",1,"JS","surfperch","EMBI",NA,2015,1,NA,"5",3,"EMBI"
"41","Cape Alava",1,"JS","unidentified fish","UNID",NA,2015,0,NA,"5",3,"UNID"
"42","Cape Alava",1,"JS","whitespotted greenling","HEST",NA,2015,0,NA,"5",3,"HEXA"
"43","Cape Alava",1,"JS","yellowtail rockfish","SEFL","large",2015,0,NA,"5",3,"SEFL"
"44","Cape Alava",1,"KF","Black rockfish","SEME","large",2015,0,NA,"5",3,"SEME"
"45","Cape Alava",1,"KF","Blackeye goby","RHNI",NA,2015,0,NA,"5",3,"GOBI"
"46","Cape Alava",1,"KF","Buffalo sculpin","ENBI",NA,2015,0,NA,"5",3,"COTT"
"47","Cape Alava",1,"KF","Cabezon","SCMA",NA,2015,0,NA,"5",3,"SCMA"
"48","Cape Alava",1,"KF","Copper rockfish","SECA","large",2015,0,NA,"5",3,"SECA"
"49","Cape Alava",1,"KF","Kelp greenling","HEDE",NA,2015,1,NA,"5",3,"HEXA"
"50","Cape Alava",1,"KF","Lingcod","OPEL",NA,2015,0,NA,"5",3,"OPEL"
"51","Cape Alava",1,"KF","Painted greenling","OXPI",NA,2015,0,NA,"5",3,"HEXA"
"52","Cape Alava",1,"KF","Quillback rockfish","SEMA","large",2015,0,NA,"5",3,"SEMA"
"53","Cape Alava",1,"KF","Red Irish Lord","HEHE",NA,2015,1,NA,"5",3,"HEXA"
"54","Cape Alava",1,"KF","Rock greenling","HELA",NA,2015,0,NA,"5",3,"HEXA"
"55","Cape Alava",1,"KF","Striped seaperch","EMLA",NA,2015,0,NA,"5",3,"EMBI"
"56","Cape Alava",1,"KF","Tubesnout","AUFL",NA,2015,0,NA,"5",3,"AUFL"
"57","Cape Alava",1,"KF","YOY rockfish (black dorsal spots)","RYOY","small",2015,0,NA,"5",3,"RYOY"
"58","Cape Alava",1,"KF","bait-sardines-anchovy","BAITBALL",NA,2015,0,NA,"5",3,"BAIT"
"59","Cape Alava",1,"KF","blue rockfish","SEMY","large",2015,0,NA,"5",3,"SEMY"
"60","Cape Alava",1,"KF","blue rockfish","SEMY","small",2015,0,NA,"5",3,"SEMYyoy"
"61","Cape Alava",1,"KF","c-o sole","PLCO",NA,2015,0,NA,"5",3,"PLEU"
"62","Cape Alava",1,"KF","canary rockfish","SEPI","large",2015,0,NA,"5",3,"SEPI"
"63","Cape Alava",1,"KF","canary rockfish","SEPI","small",2015,0,NA,"5",3,"SEPIyoy"
"64","Cape Alava",1,"KF","china rockfish","SENE","large",2015,0,NA,"5",3,"SENE"
"65","Cape Alava",1,"KF","china rockfish","SENE","small",2015,0,NA,"5",3,"SENEyoy"
"66","Cape Alava",1,"KF","copper rockfish","SECA","small",2015,0,NA,"5",3,"SECAyoy"
"67","Cape Alava",1,"KF","greenlings","HEXA",NA,2015,0,NA,"5",3,"HEXA"
"68","Cape Alava",1,"KF","gunnels","PHOL",NA,2015,0,NA,"5",3,"PHOL"
"69","Cape Alava",1,"KF","herring","CLUP",NA,2015,0,NA,"5",3,"BAIT"
"70","Cape Alava",1,"KF","kelp clingfish","RIMU",NA,2015,0,NA,"5",3,"RIMU"
"71","Cape Alava",1,"KF","kelp surfperch","BRFR",NA,2015,0,NA,"5",3,"EMBI"
"72","Cape Alava",1,"KF","longfin sculpin","JOZO",NA,2015,0,NA,"5",3,"COTT"
"73","Cape Alava",1,"KF","manacled sculpin","SYGI",NA,2015,0,NA,"5",3,"COTT"
"74","Cape Alava",1,"KF","mosshead warbonnet","CHNU",NA,2015,0,NA,"5",3,"CHNU"
"75","Cape Alava",1,"KF","no_transect_no_data","NO_DATA",NA,2015,0,NA,"5",3,"NO_DATA"
"76","Cape Alava",1,"KF","pile perch","RHVA",NA,2015,0,NA,"5",3,"EMBI"
"77","Cape Alava",1,"KF","quillback rockfish","SEMA","small",2015,0,NA,"5",3,"SEMAyoy"
"78","Cape Alava",1,"KF","rockfish","SEBSPP","large",2015,0,NA,"5",3,"SEBSPP"
"79","Cape Alava",1,"KF","rockfish","SEBSPP","small",2015,0,NA,"5",3,"SEBSPPyoy"
"80","Cape Alava",1,"KF","sanddabs","CITH",NA,2015,0,NA,"5",3,"CITH"
"81","Cape Alava",1,"KF","scalyhead sculpin","ARHA",NA,2015,0,NA,"5",3,"COTT"
"82","Cape Alava",1,"KF","sculpin","COTT",NA,2015,0,NA,"5",3,"COTT"
"83","Cape Alava",1,"KF","surfperch","EMBI",NA,2015,0,NA,"5",3,"EMBI"
"84","Cape Alava",1,"KF","unidentified fish","UNID",NA,2015,0,NA,"5",3,"UNID"
"85","Cape Alava",1,"KF","whitespotted greenling","HEST",NA,2015,0,NA,"5",3,"HEXA"
"86","Cape Alava",1,"KF","yellowtail rockfish","SEFL","large",2015,0,NA,"5",3,"SEFL"
"87","Cape Alava",2,"JS","Black rockfish","SEME","large",2015,4,NA,"5",3,"SEME"
"88","Cape Alava",2,"JS","Blackeye goby","RHNI",NA,2015,0,NA,"5",3,"GOBI"
"89","Cape Alava",2,"JS","Buffalo sculpin","ENBI",NA,2015,0,NA,"5",3,"COTT"
"90","Cape Alava",2,"JS","Cabezon","SCMA",NA,2015,0,NA,"5",3,"SCMA"
"91","Cape Alava",2,"JS","Copper rockfish","SECA","large",2015,0,NA,"5",3,"SECA"
"92","Cape Alava",2,"JS","Kelp greenling","HEDE",NA,2015,0,NA,"5",3,"HEXA"
"93","Cape Alava",2,"JS","Lingcod","OPEL",NA,2015,0,NA,"5",3,"OPEL"
"94","Cape Alava",2,"JS","Painted greenling","OXPI",NA,2015,0,NA,"5",3,"HEXA"
"95","Cape Alava",2,"JS","Quillback rockfish","SEMA","large",2015,0,NA,"5",3,"SEMA"
"96","Cape Alava",2,"JS","Red Irish Lord","HEHE",NA,2015,0,NA,"5",3,"HEXA"
"97","Cape Alava",2,"JS","Rock greenling","HELA",NA,2015,0,NA,"5",3,"HEXA"
"98","Cape Alava",2,"JS","Striped seaperch","EMLA",NA,2015,0,NA,"5",3,"EMBI"
"99","Cape Alava",2,"JS","Tubesnout","AUFL",NA,2015,0,NA,"5",3,"AUFL"
"100","Cape Alava",2,"JS","YOY rockfish (black dorsal spots)","RYOY","small",2015,0,NA,"5",3,"RYOY"
"101","Cape Alava",2,"JS","bait-sardines-anchovy","BAITBALL",NA,2015,0,NA,"5",3,"BAIT"
"102","Cape Alava",2,"JS","blue rockfish","SEMY","large",2015,0,NA,"5",3,"SEMY"
"103","Cape Alava",2,"JS","blue rockfish","SEMY","small",2015,0,NA,"5",3,"SEMYyoy"
"104","Cape Alava",2,"JS","c-o sole","PLCO",NA,2015,0,NA,"5",3,"PLEU"
"105","Cape Alava",2,"JS","canary rockfish","SEPI","large",2015,0,NA,"5",3,"SEPI"
"106","Cape Alava",2,"JS","canary rockfish","SEPI","small",2015,0,NA,"5",3,"SEPIyoy"
"107","Cape Alava",2,"JS","china rockfish","SENE","large",2015,0,NA,"5",3,"SENE"
"108","Cape Alava",2,"JS","china rockfish","SENE","small",2015,0,NA,"5",3,"SENEyoy"
"109","Cape Alava",2,"JS","copper rockfish","SECA","small",2015,0,NA,"5",3,"SECAyoy"
"110","Cape Alava",2,"JS","greenlings","HEXA",NA,2015,0,NA,"5",3,"HEXA"
"111","Cape Alava",2,"JS","gunnels","PHOL",NA,2015,0,NA,"5",3,"PHOL"
"112","Cape Alava",2,"JS","herring","CLUP",NA,2015,0,NA,"5",3,"BAIT"
"113","Cape Alava",2,"JS","kelp clingfish","RIMU",NA,2015,0,NA,"5",3,"RIMU"
"114","Cape Alava",2,"JS","kelp surfperch","BRFR",NA,2015,0,NA,"5",3,"EMBI"
"115","Cape Alava",2,"JS","longfin sculpin","JOZO",NA,2015,0,NA,"5",3,"COTT"
"116","Cape Alava",2,"JS","manacled sculpin","SYGI",NA,2015,0,NA,"5",3,"COTT"
"117","Cape Alava",2,"JS","mosshead warbonnet","CHNU",NA,2015,0,NA,"5",3,"CHNU"
"118","Cape Alava",2,"JS","no_transect_no_data","NO_DATA",NA,2015,0,NA,"5",3,"NO_DATA"
"119","Cape Alava",2,"JS","pile perch","RHVA",NA,2015,0,NA,"5",3,"EMBI"
"120","Cape Alava",2,"JS","quillback rockfish","SEMA","small",2015,0,NA,"5",3,"SEMAyoy"
"121","Cape Alava",2,"JS","rockfish","SEBSPP","large",2015,0,NA,"5",3,"SEBSPP"
"122","Cape Alava",2,"JS","rockfish","SEBSPP","small",2015,0,NA,"5",3,"SEBSPPyoy"
"123","Cape Alava",2,"JS","sanddabs","CITH",NA,2015,0,NA,"5",3,"CITH"
"124","Cape Alava",2,"JS","scalyhead sculpin","ARHA",NA,2015,0,NA,"5",3,"COTT"
"125","Cape Alava",2,"JS","sculpin","COTT",NA,2015,0,NA,"5",3,"COTT"
"126","Cape Alava",2,"JS","surfperch","EMBI",NA,2015,0,NA,"5",3,"EMBI"
"127","Cape Alava",2,"JS","unidentified fish","UNID",NA,2015,0,NA,"5",3,"UNID"
"128","Cape Alava",2,"JS","whitespotted greenling","HEST",NA,2015,0,NA,"5",3,"HEXA"
"129","Cape Alava",2,"JS","yellowtail rockfish","SEFL","large",2015,0,NA,"5",3,"SEFL"
"130","Cape Alava",2,"NT","Black rockfish","SEME","large",2015,30,NA,"5",3,"SEME"
"131","Cape Alava",2,"NT","Blackeye goby","RHNI",NA,2015,0,NA,"5",3,"GOBI"
"132","Cape Alava",2,"NT","Buffalo sculpin","ENBI",NA,2015,0,NA,"5",3,"COTT"
"133","Cape Alava",2,"NT","Cabezon","SCMA",NA,2015,0,NA,"5",3,"SCMA"
"134","Cape Alava",2,"NT","Copper rockfish","SECA","large",2015,0,NA,"5",3,"SECA"
"135","Cape Alava",2,"NT","Kelp greenling","HEDE",NA,2015,1,NA,"5",3,"HEXA"
"136","Cape Alava",2,"NT","Lingcod","OPEL",NA,2015,0,NA,"5",3,"OPEL"
"137","Cape Alava",2,"NT","Painted greenling","OXPI",NA,2015,0,NA,"5",3,"HEXA"
"138","Cape Alava",2,"NT","Quillback rockfish","SEMA","large",2015,0,NA,"5",3,"SEMA"
"139","Cape Alava",2,"NT","Red Irish Lord","HEHE",NA,2015,1,NA,"5",3,"HEXA"
"140","Cape Alava",2,"NT","Rock greenling","HELA",NA,2015,0,NA,"5",3,"HEXA"
"141","Cape Alava",2,"NT","Striped seaperch","EMLA",NA,2015,0,NA,"5",3,"EMBI"
"142","Cape Alava",2,"NT","Tubesnout","AUFL",NA,2015,0,NA,"5",3,"AUFL"
"143","Cape Alava",2,"NT","YOY rockfish (black dorsal spots)","RYOY","small",2015,0,NA,"5",3,"RYOY"
"144","Cape Alava",2,"NT","bait-sardines-anchovy","BAITBALL",NA,2015,0,NA,"5",3,"BAIT"
"145","Cape Alava",2,"NT","blue rockfish","SEMY","large",2015,0,NA,"5",3,"SEMY"
"146","Cape Alava",2,"NT","blue rockfish","SEMY","small",2015,0,NA,"5",3,"SEMYyoy"
"147","Cape Alava",2,"NT","c-o sole","PLCO",NA,2015,0,NA,"5",3,"PLEU"
"148","Cape Alava",2,"NT","canary rockfish","SEPI","large",2015,0,NA,"5",3,"SEPI"
"149","Cape Alava",2,"NT","canary rockfish","SEPI","small",2015,0,NA,"5",3,"SEPIyoy"
"150","Cape Alava",2,"NT","china rockfish","SENE","large",2015,0,NA,"5",3,"SENE"
"151","Cape Alava",2,"NT","china rockfish","SENE","small",2015,0,NA,"5",3,"SENEyoy"
"152","Cape Alava",2,"NT","copper rockfish","SECA","small",2015,0,NA,"5",3,"SECAyoy"
"153","Cape Alava",2,"NT","greenlings","HEXA",NA,2015,0,NA,"5",3,"HEXA"
"154","Cape Alava",2,"NT","gunnels","PHOL",NA,2015,0,NA,"5",3,"PHOL"
"155","Cape Alava",2,"NT","herring","CLUP",NA,2015,0,NA,"5",3,"BAIT"
"156","Cape Alava",2,"NT","kelp clingfish","RIMU",NA,2015,0,NA,"5",3,"RIMU"
"157","Cape Alava",2,"NT","kelp surfperch","BRFR",NA,2015,0,NA,"5",3,"EMBI"
"158","Cape Alava",2,"NT","longfin sculpin","JOZO",NA,2015,0,NA,"5",3,"COTT"
"159","Cape Alava",2,"NT","manacled sculpin","SYGI",NA,2015,0,NA,"5",3,"COTT"
"160","Cape Alava",2,"NT","mosshead warbonnet","CHNU",NA,2015,0,NA,"5",3,"CHNU"
"161","Cape Alava",2,"NT","no_transect_no_data","NO_DATA",NA,2015,0,NA,"5",3,"NO_DATA"
"162","Cape Alava",2,"NT","pile perch","RHVA",NA,2015,0,NA,"5",3,"EMBI"
"163","Cape Alava",2,"NT","quillback rockfish","SEMA","small",2015,0,NA,"5",3,"SEMAyoy"
"164","Cape Alava",2,"NT","rockfish","SEBSPP","large",2015,0,NA,"5",3,"SEBSPP"
"165","Cape Alava",2,"NT","rockfish","SEBSPP","small",2015,0,NA,"5",3,"SEBSPPyoy"
"166","Cape Alava",2,"NT","sanddabs","CITH",NA,2015,0,NA,"5",3,"CITH"
"167","Cape Alava",2,"NT","scalyhead sculpin","ARHA",NA,2015,0,NA,"5",3,"COTT"
"168","Cape Alava",2,"NT","sculpin","COTT",NA,2015,0,NA,"5",3,"COTT"
"169","Cape Alava",2,"NT","surfperch","EMBI",NA,2015,2,NA,"5",3,"EMBI"
"170","Cape Alava",2,"NT","unidentified fish","UNID",NA,2015,0,NA,"5",3,"UNID"
"171","Cape Alava",2,"NT","whitespotted greenling","HEST",NA,2015,0,NA,"5",3,"HEXA"
"172","Cape Alava",2,"NT","yellowtail rockfish","SEFL","large",2015,0,NA,"5",3,"SEFL"
"173","Cape Johnson",1,"JS","Black rockfish","SEME","large",2015,0,NA,"5",3,"SEME"
"174","Cape Johnson",1,"JS","Blackeye goby","RHNI",NA,2015,0,NA,"5",3,"GOBI"
"175","Cape Johnson",1,"JS","Buffalo sculpin","ENBI",NA,2015,0,NA,"5",3,"COTT"
"176","Cape Johnson",1,"JS","Cabezon","SCMA",NA,2015,0,NA,"5",3,"SCMA"
"177","Cape Johnson",1,"JS","Copper rockfish","SECA","large",2015,0,NA,"5",3,"SECA"
"178","Cape Johnson",1,"JS","Kelp greenling","HEDE",NA,2015,0,NA,"5",3,"HEXA"
"179","Cape Johnson",1,"JS","Lingcod","OPEL",NA,2015,0,NA,"5",3,"OPEL"
"180","Cape Johnson",1,"JS","Painted greenling","OXPI",NA,2015,0,NA,"5",3,"HEXA"
"181","Cape Johnson",1,"JS","Quillback rockfish","SEMA","large",2015,0,NA,"5",3,"SEMA"
"182","Cape Johnson",1,"JS","Red Irish Lord","HEHE",NA,2015,0,NA,"5",3,"HEXA"
"183","Cape Johnson",1,"JS","Rock greenling","HELA",NA,2015,0,NA,"5",3,"HEXA"
"184","Cape Johnson",1,"JS","Striped seaperch","EMLA",NA,2015,0,NA,"5",3,"EMBI"
"185","Cape Johnson",1,"JS","Tubesnout","AUFL",NA,2015,0,NA,"5",3,"AUFL"
"186","Cape Johnson",1,"JS","YOY rockfish (black dorsal spots)","RYOY","small",2015,0,NA,"5",3,"RYOY"
"187","Cape Johnson",1,"JS","bait-sardines-anchovy","BAITBALL",NA,2015,0,NA,"5",3,"BAIT"
"188","Cape Johnson",1,"JS","blue rockfish","SEMY","large",2015,0,NA,"5",3,"SEMY"
"189","Cape Johnson",1,"JS","blue rockfish","SEMY","small",2015,0,NA,"5",3,"SEMYyoy"
"190","Cape Johnson",1,"JS","c-o sole","PLCO",NA,2015,0,NA,"5",3,"PLEU"
"191","Cape Johnson",1,"JS","canary rockfish","SEPI","large",2015,0,NA,"5",3,"SEPI"
"192","Cape Johnson",1,"JS","canary rockfish","SEPI","small",2015,0,NA,"5",3,"SEPIyoy"
"193","Cape Johnson",1,"JS","china rockfish","SENE","large",2015,0,NA,"5",3,"SENE"
"194","Cape Johnson",1,"JS","china rockfish","SENE","small",2015,0,NA,"5",3,"SENEyoy"
"195","Cape Johnson",1,"JS","copper rockfish","SECA","small",2015,0,NA,"5",3,"SECAyoy"
"196","Cape Johnson",1,"JS","greenlings","HEXA",NA,2015,0,NA,"5",3,"HEXA"
"197","Cape Johnson",1,"JS","gunnels","PHOL",NA,2015,0,NA,"5",3,"PHOL"
"198","Cape Johnson",1,"JS","herring","CLUP",NA,2015,0,NA,"5",3,"BAIT"
"199","Cape Johnson",1,"JS","kelp clingfish","RIMU",NA,2015,0,NA,"5",3,"RIMU"
"200","Cape Johnson",1,"JS","kelp surfperch","BRFR",NA,2015,0,NA,"5",3,"EMBI"
"201","Cape Johnson",1,"JS","longfin sculpin","JOZO",NA,2015,0,NA,"5",3,"COTT"
"202","Cape Johnson",1,"JS","manacled sculpin","SYGI",NA,2015,0,NA,"5",3,"COTT"
"203","Cape Johnson",1,"JS","mosshead warbonnet","CHNU",NA,2015,0,NA,"5",3,"CHNU"
"204","Cape Johnson",1,"JS","no_transect_no_data","NO_DATA",NA,2015,0,NA,"5",3,"NO_DATA"
"205","Cape Johnson",1,"JS","pile perch","RHVA",NA,2015,0,NA,"5",3,"EMBI"
"206","Cape Johnson",1,"JS","quillback rockfish","SEMA","small",2015,0,NA,"5",3,"SEMAyoy"
"207","Cape Johnson",1,"JS","rockfish","SEBSPP","large",2015,0,NA,"5",3,"SEBSPP"
"208","Cape Johnson",1,"JS","rockfish","SEBSPP","small",2015,0,NA,"5",3,"SEBSPPyoy"
"209","Cape Johnson",1,"JS","sanddabs","CITH",NA,2015,0,NA,"5",3,"CITH"
"210","Cape Johnson",1,"JS","scalyhead sculpin","ARHA",NA,2015,0,NA,"5",3,"COTT"
"211","Cape Johnson",1,"JS","sculpin","COTT",NA,2015,0,NA,"5",3,"COTT"
"212","Cape Johnson",1,"JS","surfperch","EMBI",NA,2015,0,NA,"5",3,"EMBI"
"213","Cape Johnson",1,"JS","unidentified fish","UNID",NA,2015,0,NA,"5",3,"UNID"
"214","Cape Johnson",1,"JS","whitespotted greenling","HEST",NA,2015,0,NA,"5",3,"HEXA"
"215","Cape Johnson",1,"JS","yellowtail rockfish","SEFL","large",2015,0,NA,"5",3,"SEFL"
"216","Cape Johnson",1,"NT","Black rockfish","SEME","large",2015,0,NA,"5",3,"SEME"
"217","Cape Johnson",1,"NT","Blackeye goby","RHNI",NA,2015,0,NA,"5",3,"GOBI"
"218","Cape Johnson",1,"NT","Buffalo sculpin","ENBI",NA,2015,0,NA,"5",3,"COTT"
"219","Cape Johnson",1,"NT","Cabezon","SCMA",NA,2015,0,NA,"5",3,"SCMA"
"220","Cape Johnson",1,"NT","Copper rockfish","SECA","large",2015,0,NA,"5",3,"SECA"
"221","Cape Johnson",1,"NT","Kelp greenling","HEDE",NA,2015,0,NA,"5",3,"HEXA"
"222","Cape Johnson",1,"NT","Lingcod","OPEL",NA,2015,0,NA,"5",3,"OPEL"
"223","Cape Johnson",1,"NT","Painted greenling","OXPI",NA,2015,0,NA,"5",3,"HEXA"
"224","Cape Johnson",1,"NT","Quillback rockfish","SEMA","large",2015,0,NA,"5",3,"SEMA"
"225","Cape Johnson",1,"NT","Red Irish Lord","HEHE",NA,2015,0,NA,"5",3,"HEXA"
"226","Cape Johnson",1,"NT","Rock greenling","HELA",NA,2015,0,NA,"5",3,"HEXA"
"227","Cape Johnson",1,"NT","Striped seaperch","EMLA",NA,2015,0,NA,"5",3,"EMBI"
"228","Cape Johnson",1,"NT","Tubesnout","AUFL",NA,2015,0,NA,"5",3,"AUFL"
"229","Cape Johnson",1,"NT","YOY rockfish (black dorsal spots)","RYOY","small",2015,0,NA,"5",3,"RYOY"
"230","Cape Johnson",1,"NT","bait-sardines-anchovy","BAITBALL",NA,2015,0,NA,"5",3,"BAIT"
"231","Cape Johnson",1,"NT","blue rockfish","SEMY","large",2015,0,NA,"5",3,"SEMY"
"232","Cape Johnson",1,"NT","blue rockfish","SEMY","small",2015,0,NA,"5",3,"SEMYyoy"
"233","Cape Johnson",1,"NT","c-o sole","PLCO",NA,2015,0,NA,"5",3,"PLEU"
"234","Cape Johnson",1,"NT","canary rockfish","SEPI","large",2015,0,NA,"5",3,"SEPI"
"235","Cape Johnson",1,"NT","canary rockfish","SEPI","small",2015,0,NA,"5",3,"SEPIyoy"
"236","Cape Johnson",1,"NT","china rockfish","SENE","large",2015,0,NA,"5",3,"SENE"
"237","Cape Johnson",1,"NT","china rockfish","SENE","small",2015,0,NA,"5",3,"SENEyoy"
"238","Cape Johnson",1,"NT","copper rockfish","SECA","small",2015,0,NA,"5",3,"SECAyoy"
"239","Cape Johnson",1,"NT","greenlings","HEXA",NA,2015,0,NA,"5",3,"HEXA"
"240","Cape Johnson",1,"NT","gunnels","PHOL",NA,2015,0,NA,"5",3,"PHOL"
"241","Cape Johnson",1,"NT","herring","CLUP",NA,2015,0,NA,"5",3,"BAIT"
"242","Cape Johnson",1,"NT","kelp clingfish","RIMU",NA,2015,0,NA,"5",3,"RIMU"
"243","Cape Johnson",1,"NT","kelp surfperch","BRFR",NA,2015,0,NA,"5",3,"EMBI"
"244","Cape Johnson",1,"NT","longfin sculpin","JOZO",NA,2015,0,NA,"5",3,"COTT"
"245","Cape Johnson",1,"NT","manacled sculpin","SYGI",NA,2015,0,NA,"5",3,"COTT"
"246","Cape Johnson",1,"NT","mosshead warbonnet","CHNU",NA,2015,0,NA,"5",3,"CHNU"
"247","Cape Johnson",1,"NT","no_transect_no_data","NO_DATA",NA,2015,0,NA,"5",3,"NO_DATA"
"248","Cape Johnson",1,"NT","pile perch","RHVA",NA,2015,0,NA,"5",3,"EMBI"
"249","Cape Johnson",1,"NT","quillback rockfish","SEMA","small",2015,0,NA,"5",3,"SEMAyoy"
"250","Cape Johnson",1,"NT","rockfish","SEBSPP","large",2015,0,NA,"5",3,"SEBSPP"
"251","Cape Johnson",1,"NT","rockfish","SEBSPP","small",2015,0,NA,"5",3,"SEBSPPyoy"
"252","Cape Johnson",1,"NT","sanddabs","CITH",NA,2015,0,NA,"5",3,"CITH"
"253","Cape Johnson",1,"NT","scalyhead sculpin","ARHA",NA,2015,0,NA,"5",3,"COTT"
"254","Cape Johnson",1,"NT","sculpin","COTT",NA,2015,0,NA,"5",3,"COTT"
"255","Cape Johnson",1,"NT","surfperch","EMBI",NA,2015,0,NA,"5",3,"EMBI"
"256","Cape Johnson",1,"NT","unidentified fish","UNID",NA,2015,0,NA,"5",3,"UNID"
"257","Cape Johnson",1,"NT","whitespotted greenling","HEST",NA,2015,0,NA,"5",3,"HEXA"
"258","Cape Johnson",1,"NT","yellowtail rockfish","SEFL","large",2015,0,NA,"5",3,"SEFL"
"259","Cape Johnson",2,"JS","Black rockfish","SEME","large",2015,0,NA,"5",3,"SEME"
"260","Cape Johnson",2,"JS","Blackeye goby","RHNI",NA,2015,0,NA,"5",3,"GOBI"
"261","Cape Johnson",2,"JS","Buffalo sculpin","ENBI",NA,2015,0,NA,"5",3,"COTT"
"262","Cape Johnson",2,"JS","Cabezon","SCMA",NA,2015,0,NA,"5",3,"SCMA"
"263","Cape Johnson",2,"JS","Copper rockfish","SECA","large",2015,0,NA,"5",3,"SECA"
"264","Cape Johnson",2,"JS","Kelp greenling","HEDE",NA,2015,0,NA,"5",3,"HEXA"
"265","Cape Johnson",2,"JS","Lingcod","OPEL",NA,2015,0,NA,"5",3,"OPEL"
"266","Cape Johnson",2,"JS","Painted greenling","OXPI",NA,2015,0,NA,"5",3,"HEXA"
"267","Cape Johnson",2,"JS","Quillback rockfish","SEMA","large",2015,0,NA,"5",3,"SEMA"
"268","Cape Johnson",2,"JS","Red Irish Lord","HEHE",NA,2015,0,NA,"5",3,"HEXA"
"269","Cape Johnson",2,"JS","Rock greenling","HELA",NA,2015,0,NA,"5",3,"HEXA"
