"","YEAR","SITE","ZONE","CLASSCODE","N","MEAN","SD","SE"
"89",2018,"Cape Johnson",10,"0-10cm",7,0.0523809523809524,0.589457646875768,0.222794048862659
"90",2018,"Cape Johnson",10,"10cm-1m",7,0.933333333333333,0.659966329107444,0.249443825784929
"91",2018,"Cape Johnson",10,"1m-2m",7,0.0142857142857143,0.31396087108337,0.118666055184544
"92",2018,"Cape Johnson",10,">2m",7,0,0,0
"93",2018,"Destruction Island",5,"0-10cm",8,0,0,0
"94",2018,"Destruction Island",5,"10cm-1m",8,0.220833333333333,1.17325520573223,0.414808356017839
"95",2018,"Destruction Island",5,"1m-2m",8,0.1375,0.974037986938908,0.344374432848898
"96",2018,"Destruction Island",5,">2m",8,0.641666666666667,1.3562612006706,0.479510746027193
"97",2018,"Destruction Island",10,"0-10cm",7,0,0,0
"98",2018,"Destruction Island",10,"10cm-1m",7,0.628571428571429,1.27839184692555,0.483186700722507
"99",2018,"Destruction Island",10,"1m-2m",7,0.20952380952381,1.07673816657769,0.406968773699457
"100",2018,"Destruction Island",10,">2m",7,0.161904761904762,0.974598004225983,0.368363421063118
"101",2018,"Neah Bay",5,"0-10cm",7,0.152380952380952,0.950855921855138,0.35938975741168
"102",2018,"Neah Bay",5,"10cm-1m",7,0.747619047619048,1.14925786958091,0.434378645027856
"103",2018,"Neah Bay",5,"1m-2m",7,0.0952380952380952,0.776643163347623,0.293543523950904
"104",2018,"Neah Bay",5,">2m",7,0.00476190476190476,0.182138966656241,0.0688420585466712
"105",2018,"Neah Bay",10,"0-10cm",8,0.0916666666666667,0.81615630311302,0.28855482821968
"106",2018,"Neah Bay",10,"10cm-1m",8,0.833333333333333,1.05409255338946,0.372677996249965
"107",2018,"Neah Bay",10,"1m-2m",8,0.0708333333333333,0.725622338257153,0.256546237981036
"108",2018,"Neah Bay",10,">2m",8,0.00416666666666667,0.182193425908962,0.0644151034739179
"109",2018,"Tatoosh Island",5,"0-10cm",8,0.00416666666666667,0.182193425908962,0.0644151034739179
"110",2018,"Tatoosh Island",5,"10cm-1m",8,0.666666666666667,1.33333333333333,0.471404520791032
"111",2018,"Tatoosh Island",5,"1m-2m",8,0.308333333333333,1.30618188285978,0.46180503341658
"112",2018,"Tatoosh Island",5,">2m",8,0.0208333333333333,0.403973321451361,0.142826137508355
"113",2018,"Tatoosh Island",10,"0-10cm",7,0.0619047619047619,0.637579749135696,0.240982493883428
"114",2018,"Tatoosh Island",10,"10cm-1m",7,0.7,1.21243556529821,0.458257569495584
"115",2018,"Tatoosh Island",10,"1m-2m",7,0.214285714285714,1.08562029668362,0.410325903324145
"116",2018,"Tatoosh Island",10,">2m",7,0.0238095238095238,0.403358913002319,0.152455338986496
"117",2019,"Cape Alava",5,"0-10cm",8,0.0541666666666667,0.640203960555627,0.226346280925684
"118",2019,"Cape Alava",5,"10cm-1m",8,0.595833333333333,1.3879941562477,0.490730040065026
"119",2019,"Cape Alava",5,"1m-2m",8,0.283333333333333,1.27453695295368,0.450616861153192
"120",2019,"Cape Alava",5,">2m",8,0.0666666666666667,0.705533682950558,0.249443825784929
"121",2019,"Cape Alava",10,"0-10cm",8,0.15,1.00995049383621,0.357071421427142
"122",2019,"Cape Alava",10,"10cm-1m",8,0.766666666666667,1.19629056299509,0.422952584681651
"123",2019,"Cape Alava",10,"1m-2m",8,0.0833333333333333,0.781735959970572,0.276385399196283
"124",2019,"Cape Alava",10,">2m",8,0,0,0
"125",2019,"Cape Johnson",5,"0-10cm",8,0.0208333333333333,0.403973321451361,0.142826137508355
"126",2019,"Cape Johnson",5,"10cm-1m",8,0.929166666666667,0.725622338257153,0.256546237981036
"127",2019,"Cape Johnson",5,"1m-2m",8,0.05,0.616441400296898,0.217944947177034
"128",2019,"Cape Johnson",5,">2m",8,0,0,0
"129",2019,"Cape Johnson",10,"0-10cm",7,0.338095238095238,1.25160214785208,0.473061146230128
"130",2019,"Cape Johnson",10,"10cm-1m",7,0.661904761904762,1.25160214785208,0.473061146230128
"131",2019,"Cape Johnson",10,"1m-2m",7,0,0,0
"132",2019,"Cape Johnson",10,">2m",7,0,0,0
"133",2019,"Destruction Island",5,"0-10cm",8,0.0625,0.684653196881458,0.242061459137964
"134",2019,"Destruction Island",5,"10cm-1m",8,0.4,1.3856406460551,0.489897948556636
"135",2019,"Destruction Island",5,"1m-2m",8,0.358333333333333,1.3562612006706,0.479510746027193
"136",2019,"Destruction Island",5,">2m",8,0.179166666666667,1.08467865184938,0.383491815065488
"137",2019,"Destruction Island",10,"0-10cm",8,0.0458333333333333,0.591490584127179,0.20912350152216
"138",2019,"Destruction Island",10,"10cm-1m",8,0.525,1.41244468918255,0.499374608885954
"139",2019,"Destruction Island",10,"1m-2m",8,0.266666666666667,1.25077753595291,0.442216638714053
"140",2019,"Destruction Island",10,">2m",8,0.1625,1.04343183773546,0.368908864084343
"141",2019,"Neah Bay",5,"0-10cm",7,0.438095238095238,1.31269745302358,0.496153001052614
"142",2019,"Neah Bay",5,"10cm-1m",7,0.552380952380952,1.31559630996505,0.497248665988823
"143",2019,"Neah Bay",5,"1m-2m",7,0.00952380952380952,0.256966429775848,0.0971241812112911
"144",2019,"Neah Bay",5,">2m",7,0,0,0
"145",2019,"Neah Bay",10,"0-10cm",8,0.219354838709677,1.1704299840463,0.413809489311602
"146",2019,"Neah Bay",10,"10cm-1m",8,0.747983870967742,1.22801954297105,0.434170473132218
"147",2019,"Neah Bay",10,"1m-2m",8,0.0245967741935484,0.438102936697028,0.154892778698104
"148",2019,"Neah Bay",10,">2m",8,0.00806451612903226,0.252973986150937,0.0894398105355598
"149",2019,"Tatoosh Island",5,"0-10cm",8,0.05,0.616441400296898,0.217944947177034
"150",2019,"Tatoosh Island",5,"10cm-1m",8,0.291666666666667,1.28560405171179,0.454529671443155
"151",2019,"Tatoosh Island",5,"1m-2m",8,0.145833333333333,0.998262379225912,0.352939048877029
"152",2019,"Tatoosh Island",5,">2m",8,0.5125,1.41377155155987,0.499843725578305
"153",2019,"Tatoosh Island",10,"0-10cm",6,0.0888888888888889,0.69708387294925,0.28458329944146
"154",2019,"Tatoosh Island",10,"10cm-1m",6,0.283333333333333,1.1037813793199,0.450616861153192
"155",2019,"Tatoosh Island",10,"1m-2m",6,0.355555555555556,1.1725249740687,0.478681316189734
"156",2019,"Tatoosh Island",10,">2m",6,0.272222222222222,1.09027689313481,0.44510367775454
