YEAR,SITE,ZONE,SIDE,TRANSECT,SUBSTRATE_DIVERSITY
2017,Cape Alava,10,1,1,0.23111111111111104
2017,Cape Alava,10,1,2,0.5244444444444445
2017,Cape Alava,10,1,3,0.18444444444444463
2017,Cape Alava,10,1,4,0
2017,Cape Alava,10,1,5,0
2017,Cape Alava,10,1,6,0.23111111111111104
2017,Cape Alava,10,2,1,0.2911111111111112
2017,Cape Alava,10,2,2,0.37111111111111117
2017,Cape Alava,10,2,3,0.2777777777777779
2017,Cape Alava,10,2,4,0.1266666666666666
2017,Cape Alava,10,2,5,0.18000000000000016
2017,Cape Alava,10,2,6,0.31999999999999984
2017,Tatoosh Island,5,1,1,0
2017,Tatoosh Island,5,1,2,0
2017,Tatoosh Island,5,1,3,0
2017,Tatoosh Island,5,2,1,0
2017,Tatoosh Island,5,2,2,0
2017,Tatoosh Island,5,2,3,0
2017,Tatoosh Island,10,1,1,0.06444444444444475
2017,Tatoosh Island,10,1,2,0
2017,Tatoosh Island,10,1,3,0
2017,Tatoosh Island,10,1,4,0
2017,Tatoosh Island,10,2,1,0.12444444444444436
2017,Tatoosh Island,10,2,2,0.18444444444444463
2017,Tatoosh Island,10,2,3,0.4444444444444444
2017,Neah Bay,5,1,1,0.3844444444444445
2017,Neah Bay,5,1,2,0.18444444444444463
2017,Neah Bay,5,1,3,0.18000000000000016
2017,Neah Bay,5,1,4,0.1266666666666666
2017,Neah Bay,5,2,1,0.46444444444444455
2017,Neah Bay,5,2,2,0.18000000000000016
2017,Neah Bay,5,2,3,0.5533333333333333
2017,Neah Bay,5,2,4,0.6111111111111112
2017,Neah Bay,10,1,1,0.6822222222222222
2017,Neah Bay,10,1,2,0.40666666666666673
2017,Neah Bay,10,1,3,0.7288888888888889
2017,Neah Bay,10,1,4,0.38
2017,Neah Bay,10,2,1,0.6822222222222223
2017,Neah Bay,10,2,2,0.4244444444444443
2017,Neah Bay,10,2,3,0.5511111111111111
2017,Neah Bay,10,2,4,0
2018,Destruction Island,5,N,1,0
2018,Destruction Island,5,N,2,0
2018,Destruction Island,5,N,3,0
2018,Destruction Island,5,N,4,0
2018,Destruction Island,5,S,1,0
2018,Destruction Island,5,S,2,0.2777777777777779
2018,Destruction Island,5,S,3,0
2018,Destruction Island,5,S,4,0.12444444444444436
2018,Destruction Island,10,N,1,0.4444444444444444
2018,Destruction Island,10,N,2,0
2018,Destruction Island,10,N,3,0
2018,Destruction Island,10,S,1,0
2018,Destruction Island,10,S,2,0
2018,Destruction Island,10,S,3,0
2018,Destruction Island,10,S,4,0
2018,Cape Johnson,5,N,1,0.42888888888888876
2018,Cape Johnson,5,N,2,0.38888888888888895
2018,Cape Johnson,5,N,3,0.2955555555555557
2018,Cape Johnson,5,N,4,0.551111111111111
2018,Cape Johnson,5,S,1,0.64
2018,Cape Johnson,5,S,2,0.6844444444444444
2018,Cape Johnson,5,S,3,0.58
2018,Cape Johnson,5,S,4,0.5444444444444445
2018,Cape Johnson,10,N,1,0.5
2018,Cape Johnson,10,N,2,0.6333333333333333
2018,Cape Johnson,10,N,3,0.6244444444444445
2018,Cape Johnson,10,S,1,0.4177777777777777
2018,Cape Johnson,10,S,2,0.46444444444444455
2018,Cape Johnson,10,S,3,0.5444444444444445
2018,Cape Johnson,10,S,4,0.3911111111111112
2018,Cape Alava,5,E,1,0.48
2018,Cape Alava,5,E,2,0.5577777777777778
2018,Cape Alava,5,E,3,0.4866666666666667
2018,Cape Alava,5,E,4,0.43333333333333346
2018,Cape Alava,5,W,1,0.31999999999999984
2018,Cape Alava,5,W,2,0.23777777777777775
2018,Cape Alava,5,W,3,0.331111111111111
2018,Cape Alava,5,W,4,0.12444444444444436
2018,Cape Alava,10,E,1,0.42000000000000004
2018,Cape Alava,10,E,2,0.46444444444444444
2018,Cape Alava,10,E,3,0.18000000000000016
2018,Cape Alava,10,E,4,0.24
2018,Cape Alava,10,W,1,0.38
2018,Cape Alava,10,W,2,0.37111111111111117
2018,Cape Alava,10,W,3,0.4644444444444443
2018,Cape Alava,10,W,4,0.49777777777777776
2018,Tatoosh Island,5,N,1,0
2018,Tatoosh Island,5,N,2,0
2018,Tatoosh Island,5,N,3,0
2018,Tatoosh Island,5,N,4,0
2018,Tatoosh Island,5,S,1,0.23111111111111104
2018,Tatoosh Island,5,S,2,0
2018,Tatoosh Island,5,S,3,0
2018,Tatoosh Island,5,S,4,0.35777777777777786
2018,Tatoosh Island,10,N,1,0.2777777777777779
2018,Tatoosh Island,10,N,2,0.28666666666666685
2018,Tatoosh Island,10,N,3,0
2018,Tatoosh Island,10,N,4,0.28666666666666685
2018,Tatoosh Island,10,S,1,0.5777777777777778
2018,Tatoosh Island,10,S,2,0.4644444444444443
2018,Tatoosh Island,10,S,3,0.5177777777777778
2018,Neah Bay,5,N,1,0.29333333333333345
2018,Neah Bay,5,N,2,0.46444444444444455
2018,Neah Bay,5,N,3,0.6955555555555555
2018,Neah Bay,5,N,4,0.4199999999999998
2018,Neah Bay,5,S,1,0.6044444444444443
2018,Neah Bay,5,S,2,0.48
2018,Neah Bay,5,S,3,0.49111111111111116
2018,Neah Bay,10,N,1,0.33111111111111124
2018,Neah Bay,10,N,2,0.5622222222222223
2018,Neah Bay,10,N,3,0.2955555555555557
2018,Neah Bay,10,N,4,0.23777777777777775
2018,Neah Bay,10,S,1,0.5844444444444444
2018,Neah Bay,10,S,2,0.6733333333333333
2018,Neah Bay,10,S,3,0.6199999999999999
2018,Neah Bay,10,S,4,0.47111111111111115
2019,Destruction Island,5,N,1,0
2019,Destruction Island,5,N,2,0.12444444444444436
2019,Destruction Island,5,N,3,0.18000000000000016
2019,Destruction Island,5,N,4,0.12444444444444436
2019,Destruction Island,5,S,1,0
2019,Destruction Island,5,S,2,0
2019,Destruction Island,5,S,3,0
2019,Destruction Island,5,S,4,0
2019,Destruction Island,10,N,1,0.06444444444444475
2019,Destruction Island,10,N,2,0.46444444444444444
2019,Destruction Island,10,N,3,0
2019,Destruction Island,10,N,4,0.1266666666666666
2019,Destruction Island,10,S,1,0
2019,Destruction Island,10,S,2,0
2019,Destruction Island,10,S,3,0
2019,Destruction Island,10,S,4,0
2019,Cape Johnson,5,N,1,0.06444444444444475
2019,Cape Johnson,5,N,2,0.18000000000000016
2019,Cape Johnson,5,N,3,0.18000000000000016
2019,Cape Johnson,5,N,4,0.06444444444444475
2019,Cape Johnson,5,S,1,0.12444444444444436
2019,Cape Johnson,5,S,2,0.06444444444444475
2019,Cape Johnson,5,S,3,0.06444444444444475
2019,Cape Johnson,5,S,4,0.18000000000000016
2019,Cape Johnson,10,N,1,0.49777777777777776
2019,Cape Johnson,10,N,2,0.38
2019,Cape Johnson,10,N,3,0.651111111111111
2019,Cape Johnson,10,S,1,0.12444444444444436
2019,Cape Johnson,10,S,2,0.2777777777777779
2019,Cape Johnson,10,S,3,0.2777777777777779
2019,Cape Johnson,10,S,4,0.12444444444444436
2019,Cape Alava,5,E,1,0.5711111111111111
2019,Cape Alava,5,E,2,0.5711111111111111
2019,Cape Alava,5,E,3,0.2777777777777779
2019,Cape Alava,5,E,4,0.6199999999999999
2019,Cape Alava,5,W,1,0.12444444444444436
2019,Cape Alava,5,W,2,0.3911111111111112
2019,Cape Alava,5,W,3,0.18444444444444463
2019,Cape Alava,5,W,4,0.46444444444444444
2019,Cape Alava,10,E,1,0.4244444444444445
2019,Cape Alava,10,E,2,0.34444444444444433
2019,Cape Alava,10,E,3,0.331111111111111
2019,Cape Alava,10,E,4,0.6644444444444444
2019,Cape Alava,10,W,1,0.42000000000000004
2019,Cape Alava,10,W,2,0.5044444444444445
2019,Cape Alava,10,W,3,0.6199999999999999
2019,Cape Alava,10,W,4,0.5866666666666667
2019,Tatoosh Island,5,N,1,0
2019,Tatoosh Island,5,N,2,0
2019,Tatoosh Island,5,N,3,0.06444444444444475
2019,Tatoosh Island,5,N,4,0
2019,Tatoosh Island,5,S,1,0
2019,Tatoosh Island,5,S,2,0
2019,Tatoosh Island,5,S,3,0.31999999999999984
2019,Tatoosh Island,5,S,4,0.35777777777777786
2019,Tatoosh Island,10,N,1,0.06444444444444475
2019,Tatoosh Island,10,N,2,0
2019,Tatoosh Island,10,N,3,0
2019,Tatoosh Island,10,S,1,0.3911111111111112
2019,Tatoosh Island,10,S,2,0.4444444444444444
2019,Tatoosh Island,10,S,3,0.49111111111111116
2019,Neah Bay,5,N,1,0.06444444444444475
2019,Neah Bay,5,N,2,0.23777777777777775
2019,Neah Bay,5,N,3,0.3495838287752675
2019,Neah Bay,5,S,1,0.2955555555555557
2019,Neah Bay,5,S,2,0.24
2019,Neah Bay,5,S,3,0
2019,Neah Bay,5,S,4,0
2019,Neah Bay,10,N,1,0.2777777777777779
2019,Neah Bay,10,N,2,0.12444444444444436
2019,Neah Bay,10,N,3,0
2019,Neah Bay,10,N,4,0
2019,Neah Bay,10,S,1,0.2911111111111112
2019,Neah Bay,10,S,2,0.1266666666666666
2019,Neah Bay,10,S,3,0.3844444444444445
2019,Neah Bay,10,S,4,0.6666666666666666
