"","YEAR","SITE","ZONE","SIDE","TRANSECT","RELIEF_SIMPSONS_DIVERSITY",".groups"
"55",2017,"Cape Alava",5,"1",3,0.349583828775268,"keep"
"56",2017,"Cape Alava",5,"1",4,0.344444444444444,"keep"
"57",2017,"Cape Alava",5,"2",1,0.655555555555556,"keep"
"58",2017,"Cape Alava",5,"2",2,0.648888888888889,"keep"
"59",2017,"Cape Alava",5,"2",3,0.608888888888889,"keep"
"60",2017,"Cape Alava",5,"2",4,0.513333333333333,"keep"
"61",2017,"Cape Alava",10,"1",1,0.433333333333333,"keep"
"62",2017,"Cape Alava",10,"1",2,0.58,"keep"
"63",2017,"Cape Alava",10,"1",3,0.522222222222222,"keep"
"64",2017,"Cape Alava",10,"1",4,0.393333333333333,"keep"
"65",2017,"Cape Alava",10,"1",5,0.437777777777778,"keep"
"66",2017,"Cape Alava",10,"1",6,0.464444444444445,"keep"
"67",2017,"Cape Alava",10,"2",1,0.575555555555556,"keep"
"68",2017,"Cape Alava",10,"2",2,0.571111111111111,"keep"
"69",2017,"Cape Alava",10,"2",3,0.628888888888889,"keep"
"70",2017,"Cape Alava",10,"2",4,0.575555555555556,"keep"
"71",2017,"Cape Alava",10,"2",5,0.557777777777778,"keep"
"72",2017,"Cape Alava",10,"2",6,0.526666666666667,"keep"
"73",2017,"Cape Johnson",5,"1",1,0.631111111111111,"keep"
"74",2017,"Cape Johnson",5,"1",2,0.495555555555556,"keep"
"75",2017,"Cape Johnson",5,"1",3,0.426666666666667,"keep"
"76",2017,"Cape Johnson",5,"2",1,0.424444444444445,"keep"
"77",2017,"Cape Johnson",5,"2",2,0.451111111111111,"keep"
"78",2017,"Cape Johnson",5,"2",3,0.526666666666667,"keep"
"79",2017,"Cape Johnson",5,"2",4,0.637777777777778,"keep"
"80",2017,"Cape Johnson",5,"2",5,0.504444444444444,"keep"
"81",2017,"Cape Johnson",10,"1",1,0.668888888888889,"keep"
"82",2017,"Cape Johnson",10,"1",2,0.58,"keep"
"83",2017,"Cape Johnson",10,"1",3,0.42,"keep"
"84",2017,"Cape Johnson",10,"1",4,0.62,"keep"
"85",2017,"Cape Johnson",10,"2",1,0.624444444444444,"keep"
"86",2017,"Cape Johnson",10,"2",2,0.631111111111111,"keep"
"87",2017,"Cape Johnson",10,"2",3,0.444444444444444,"keep"
"88",2017,"Cape Johnson",10,"2",4,0.482222222222222,"keep"
"89",2017,"Destruction Island",5,"1",1,0.604444444444444,"keep"
"90",2017,"Destruction Island",5,"1",2,0.637777777777778,"keep"
"91",2017,"Destruction Island",5,"1",3,0.555555555555556,"keep"
"92",2017,"Destruction Island",5,"1",4,0.68,"keep"
"93",2017,"Destruction Island",5,"2",1,0.433333333333333,"keep"
"94",2017,"Destruction Island",5,"2",2,0.548888888888889,"keep"
"95",2017,"Destruction Island",5,"2",3,0.428888888888889,"keep"
"96",2017,"Destruction Island",5,"2",4,0.13265306122449,"keep"
"97",2017,"Neah Bay",5,"1",1,0.758620689655172,"keep"
"98",2017,"Neah Bay",5,"1",2,0.771111111111111,"keep"
"99",2017,"Neah Bay",5,"1",3,0.611111111111111,"keep"
"100",2017,"Neah Bay",5,"1",4,0.8,"keep"
"101",2017,"Neah Bay",5,"2",1,0.804444444444445,"keep"
"102",2017,"Neah Bay",5,"2",2,0.76,"keep"
"103",2017,"Neah Bay",5,"2",3,0.755555555555556,"keep"
"104",2017,"Neah Bay",5,"2",4,0.66,"keep"
"105",2017,"Neah Bay",10,"1",1,0.524444444444444,"keep"
"106",2017,"Neah Bay",10,"1",2,0.7,"keep"
"107",2017,"Neah Bay",10,"1",3,0.637777777777778,"keep"
"108",2017,"Neah Bay",10,"1",4,0.513333333333333,"keep"
"109",2017,"Neah Bay",10,"2",1,0.664444444444444,"keep"
"110",2017,"Neah Bay",10,"2",2,0.782222222222222,"keep"
"111",2017,"Neah Bay",10,"2",3,0.717777777777778,"keep"
"112",2017,"Neah Bay",10,"2",4,0.533333333333333,"keep"
"113",2017,"Tatoosh Island",5,"1",1,0.62,"keep"
"114",2017,"Tatoosh Island",5,"1",2,0.606666666666667,"keep"
"115",2017,"Tatoosh Island",5,"1",3,0.755555555555556,"keep"
"116",2017,"Tatoosh Island",5,"2",1,0.693333333333333,"keep"
"117",2017,"Tatoosh Island",5,"2",2,0.706666666666667,"keep"
"118",2017,"Tatoosh Island",5,"2",3,0.66,"keep"
"119",2017,"Tatoosh Island",10,"1",1,0.642222222222222,"keep"
"120",2017,"Tatoosh Island",10,"1",2,0.666666666666667,"keep"
"121",2017,"Tatoosh Island",10,"1",3,0.56,"keep"
"122",2017,"Tatoosh Island",10,"1",4,0.680142687277051,"keep"
"123",2017,"Tatoosh Island",10,"2",1,0.584444444444444,"keep"
"124",2017,"Tatoosh Island",10,"2",2,0.666666666666667,"keep"
"125",2017,"Tatoosh Island",10,"2",3,0.62,"keep"
"126",2018,"Cape Alava",5,"E",1,0.557777777777778,"keep"
"127",2018,"Cape Alava",5,"E",2,0.72,"keep"
"128",2018,"Cape Alava",5,"E",3,0.58,"keep"
"129",2018,"Cape Alava",5,"E",4,0.624444444444444,"keep"
"130",2018,"Cape Alava",5,"W",1,0.562222222222222,"keep"
"131",2018,"Cape Alava",5,"W",2,0.631111111111111,"keep"
"132",2018,"Cape Alava",5,"W",3,0.651111111111111,"keep"
"133",2018,"Cape Alava",5,"W",4,0.64,"keep"
"134",2018,"Cape Alava",10,"E",1,0.72,"keep"
"135",2018,"Cape Alava",10,"E",2,0.657777777777778,"keep"
"136",2018,"Cape Alava",10,"E",3,0.564444444444445,"keep"
"137",2018,"Cape Alava",10,"E",4,0.622222222222222,"keep"
"138",2018,"Cape Alava",10,"W",1,0.557777777777778,"keep"
"139",2018,"Cape Alava",10,"W",2,0.34,"keep"
"140",2018,"Cape Alava",10,"W",3,0.406666666666667,"keep"
"141",2018,"Cape Alava",10,"W",4,0.428888888888889,"keep"
"142",2018,"Cape Johnson",5,"N",1,0.653485952133195,"keep"
"143",2018,"Cape Johnson",5,"N",2,0.655555555555556,"keep"
"144",2018,"Cape Johnson",5,"N",3,0.595555555555556,"keep"
"145",2018,"Cape Johnson",5,"N",4,0.673333333333333,"keep"
"146",2018,"Cape Johnson",5,"S",1,0.664444444444444,"keep"
"147",2018,"Cape Johnson",5,"S",2,0.655555555555556,"keep"
"148",2018,"Cape Johnson",5,"S",3,0.346666666666667,"keep"
"149",2018,"Cape Johnson",5,"S",4,0.677777777777778,"keep"
"150",2018,"Cape Johnson",10,"N",1,0.637777777777778,"keep"
"151",2018,"Cape Johnson",10,"N",2,0.66,"keep"
"152",2018,"Cape Johnson",10,"N",3,0.666666666666667,"keep"
"153",2018,"Cape Johnson",10,"S",1,0.477777777777778,"keep"
"154",2018,"Cape Johnson",10,"S",2,0.544444444444445,"keep"
"155",2018,"Cape Johnson",10,"S",3,0.388888888888889,"keep"
"156",2018,"Cape Johnson",10,"S",4,0.435555555555556,"keep"
"157",2018,"Destruction Island",5,"N",1,0.346666666666667,"keep"
"158",2018,"Destruction Island",5,"N",2,0.56,"keep"
"159",2018,"Destruction Island",5,"N",3,0.46,"keep"
"160",2018,"Destruction Island",5,"N",4,0.0644444444444445,"keep"
"161",2018,"Destruction Island",5,"S",1,0.594530321046373,"keep"
"162",2018,"Destruction Island",5,"S",2,0.704444444444444,"keep"
"163",2018,"Destruction Island",5,"S",3,0.668888888888889,"keep"
"164",2018,"Destruction Island",5,"S",4,0.686666666666667,"keep"
"165",2018,"Destruction Island",10,"N",1,0.508888888888889,"keep"
"166",2018,"Destruction Island",10,"N",2,0.471111111111111,"keep"
"167",2018,"Destruction Island",10,"N",3,0.593333333333333,"keep"
"168",2018,"Destruction Island",10,"S",1,0.464444444444445,"keep"
"169",2018,"Destruction Island",10,"S",2,0.584444444444444,"keep"
"170",2018,"Destruction Island",10,"S",3,0.577777777777778,"keep"
"171",2018,"Destruction Island",10,"S",4,0.716836734693878,"keep"
"172",2018,"Neah Bay",5,"N",1,0.486666666666667,"keep"
"173",2018,"Neah Bay",5,"N",2,0.54,"keep"
"174",2018,"Neah Bay",5,"N",3,0.604444444444444,"keep"
"175",2018,"Neah Bay",5,"N",4,0.531111111111111,"keep"
"176",2018,"Neah Bay",5,"S",1,0.757777777777778,"keep"
"177",2018,"Neah Bay",5,"S",2,0.613333333333333,"keep"
"178",2018,"Neah Bay",5,"S",3,0.615555555555556,"keep"
"179",2018,"Neah Bay",10,"N",1,0.577777777777778,"keep"
"180",2018,"Neah Bay",10,"N",2,0.628888888888889,"keep"
"181",2018,"Neah Bay",10,"N",3,0.593333333333333,"keep"
"182",2018,"Neah Bay",10,"N",4,0.48,"keep"
"183",2018,"Neah Bay",10,"S",1,0.597777777777778,"keep"
"184",2018,"Neah Bay",10,"S",2,0.631111111111111,"keep"
"185",2018,"Neah Bay",10,"S",3,0.597777777777778,"keep"
"186",2018,"Neah Bay",10,"S",4,0.637777777777778,"keep"
"187",2018,"Tatoosh Island",5,"N",1,0.571111111111111,"keep"
"188",2018,"Tatoosh Island",5,"N",2,0.577777777777778,"keep"
"189",2018,"Tatoosh Island",5,"N",3,0.291111111111111,"keep"
"190",2018,"Tatoosh Island",5,"N",4,0.277777777777778,"keep"
"191",2018,"Tatoosh Island",5,"S",1,0.551111111111111,"keep"
"192",2018,"Tatoosh Island",5,"S",2,0.633333333333333,"keep"
"193",2018,"Tatoosh Island",5,"S",3,0.524444444444444,"keep"
"194",2018,"Tatoosh Island",5,"S",4,0.611111111111111,"keep"
"195",2018,"Tatoosh Island",10,"N",1,0.717777777777778,"keep"
"196",2018,"Tatoosh Island",10,"N",2,0.684444444444444,"keep"
"197",2018,"Tatoosh Island",10,"N",3,0.637777777777778,"keep"
"198",2018,"Tatoosh Island",10,"N",4,0.606666666666667,"keep"
"199",2018,"Tatoosh Island",10,"S",1,0.58,"keep"
"200",2018,"Tatoosh Island",10,"S",2,0.7,"keep"
"201",2018,"Tatoosh Island",10,"S",3,0.722222222222222,"keep"
"202",2019,"Cape Alava",5,"E",1,0.557777777777778,"keep"
"203",2019,"Cape Alava",5,"E",2,0.551111111111111,"keep"
"204",2019,"Cape Alava",5,"E",3,0.517777777777778,"keep"
"205",2019,"Cape Alava",5,"E",4,0.624444444444444,"keep"
"206",2019,"Cape Alava",5,"W",1,0.184444444444444,"keep"
"207",2019,"Cape Alava",5,"W",2,0.184444444444444,"keep"
"208",2019,"Cape Alava",5,"W",3,0.331111111111111,"keep"
"209",2019,"Cape Alava",5,"W",4,0.0644444444444445,"keep"
"210",2019,"Cape Alava",10,"E",1,0.671111111111111,"keep"
"211",2019,"Cape Alava",10,"E",2,0.34,"keep"
"212",2019,"Cape Alava",10,"E",3,0.504444444444444,"keep"
"213",2019,"Cape Alava",10,"E",4,0.695555555555555,"keep"
"214",2019,"Cape Alava",10,"W",1,0.331111111111111,"keep"
"215",2019,"Cape Alava",10,"W",2,0.184444444444444,"keep"
"216",2019,"Cape Alava",10,"W",3,0.437777777777778,"keep"
"217",2019,"Cape Alava",10,"W",4,0.416171224732461,"keep"
"218",2019,"Cape Johnson",5,"N",1,0.593333333333333,"keep"
"219",2019,"Cape Johnson",5,"N",2,0.606666666666667,"keep"
"220",2019,"Cape Johnson",5,"N",3,0.64,"keep"
"221",2019,"Cape Johnson",5,"N",4,0.337777777777778,"keep"
"222",2019,"Cape Johnson",5,"S",1,0.648888888888889,"keep"
"223",2019,"Cape Johnson",5,"S",2,0.606666666666667,"keep"
"224",2019,"Cape Johnson",5,"S",3,0.295555555555555,"keep"
"225",2019,"Cape Johnson",5,"S",4,0.633333333333333,"keep"
"226",2019,"Cape Johnson",10,"N",1,0.291111111111111,"keep"
"227",2019,"Cape Johnson",10,"N",2,0.237777777777778,"keep"
"228",2019,"Cape Johnson",10,"N",3,0.651111111111111,"keep"
"229",2019,"Cape Johnson",10,"S",1,0.48,"keep"
"230",2019,"Cape Johnson",10,"S",2,0.624444444444444,"keep"
"231",2019,"Cape Johnson",10,"S",3,0.424444444444445,"keep"
"232",2019,"Cape Johnson",10,"S",4,0.34,"keep"
"233",2019,"Destruction Island",5,"N",1,0.0644444444444445,"keep"
"234",2019,"Destruction Island",5,"N",2,0.291111111111111,"keep"
"235",2019,"Destruction Island",5,"N",3,0.44,"keep"
"236",2019,"Destruction Island",5,"N",4,0.551111111111111,"keep"
"237",2019,"Destruction Island",5,"S",1,0.517777777777778,"keep"
"238",2019,"Destruction Island",5,"S",2,0.395555555555555,"keep"
"239",2019,"Destruction Island",5,"S",3,0.611111111111111,"keep"
"240",2019,"Destruction Island",5,"S",4,0.497777777777778,"keep"
"241",2019,"Destruction Island",10,"N",1,0.4,"keep"
"242",2019,"Destruction Island",10,"N",2,0.706302021403092,"keep"
"243",2019,"Destruction Island",10,"N",3,0.517777777777778,"keep"
"244",2019,"Destruction Island",10,"N",4,0.677777777777778,"keep"
"245",2019,"Destruction Island",10,"S",1,0.537777777777778,"keep"
"246",2019,"Destruction Island",10,"S",2,0.668888888888889,"keep"
"247",2019,"Destruction Island",10,"S",3,0.608888888888889,"keep"
"248",2019,"Destruction Island",10,"S",4,0.684444444444444,"keep"
"249",2019,"Neah Bay",5,"N",1,0.630593132154006,"keep"
"250",2019,"Neah Bay",5,"N",2,0.633333333333333,"keep"
"251",2019,"Neah Bay",5,"N",3,0.673333333333333,"keep"
"252",2019,"Neah Bay",5,"S",1,0.66,"keep"
"253",2019,"Neah Bay",5,"S",2,0.691111111111111,"keep"
"254",2019,"Neah Bay",5,"S",3,0.391111111111111,"keep"
"255",2019,"Neah Bay",5,"S",4,0.391111111111111,"keep"
"256",2019,"Neah Bay",10,"N",1,0.611111111111111,"keep"
"257",2019,"Neah Bay",10,"N",2,0.684444444444444,"keep"
"258",2019,"Neah Bay",10,"N",3,0.611111111111111,"keep"
"259",2019,"Neah Bay",10,"N",4,0.615555555555556,"keep"
"260",2019,"Neah Bay",10,"S",1,0.726326742976067,"keep"
"261",2019,"Neah Bay",10,"S",2,0.627551020408163,"keep"
"262",2019,"Neah Bay",10,"S",3,0.628888888888889,"keep"
"263",2019,"Neah Bay",10,"S",4,0.666666666666667,"keep"
"264",2019,"Tatoosh Island",5,"N",1,0.66,"keep"
"265",2019,"Tatoosh Island",5,"N",2,0.606666666666667,"keep"
"266",2019,"Tatoosh Island",5,"N",3,0.677777777777778,"keep"
"267",2019,"Tatoosh Island",5,"N",4,0.606666666666667,"keep"
"268",2019,"Tatoosh Island",5,"S",1,0.566666666666667,"keep"
"269",2019,"Tatoosh Island",5,"S",2,0.731111111111111,"keep"
"270",2019,"Tatoosh Island",5,"S",3,0.464444444444445,"keep"
"271",2019,"Tatoosh Island",5,"S",4,0.62,"keep"
"272",2019,"Tatoosh Island",10,"N",1,0.742214532871972,"keep"
"273",2019,"Tatoosh Island",10,"N",2,0.606666666666667,"keep"
"274",2019,"Tatoosh Island",10,"N",3,0.728888888888889,"keep"
"275",2019,"Tatoosh Island",10,"S",1,0.533333333333333,"keep"
"276",2019,"Tatoosh Island",10,"S",2,0.725326991676575,"keep"
"277",2019,"Tatoosh Island",10,"S",3,0.605619146722164,"keep"
