"","SITE","YEAR","SIDE","ZONE","TRANSECT","Sum","CLASSCODE","COUNT","percent_cover"
"70","Cape Johnson",2016,"1",5,6,30,">2m",0,0
"71","Cape Johnson",2016,"1",10,1,30,">2m",0,0
"72","Cape Johnson",2016,"1",10,2,30,">2m",0,0
"73","Cape Johnson",2016,"1",10,3,30,">2m",0,0
"74","Cape Johnson",2016,"1",10,4,30,">2m",0,0
"75","Cape Johnson",2016,"1",10,5,30,">2m",0,0
"76","Cape Johnson",2016,"1",10,6,30,">2m",0,0
"77","Cape Johnson",2017,"1",5,1,30,">2m",0,0
"78","Cape Johnson",2017,"1",5,2,30,">2m",0,0
"79","Cape Johnson",2017,"1",5,3,30,">2m",0,0
"80","Cape Johnson",2017,"1",10,1,30,">2m",0,0
"81","Cape Johnson",2017,"1",10,2,30,">2m",0,0
"82","Cape Johnson",2017,"1",10,3,30,">2m",0,0
"83","Cape Johnson",2017,"1",10,4,30,">2m",0,0
"84","Cape Johnson",2017,"2",5,1,30,">2m",0,0
"85","Cape Johnson",2017,"2",5,2,30,">2m",0,0
"86","Cape Johnson",2017,"2",5,3,30,">2m",0,0
"87","Cape Johnson",2017,"2",5,4,30,">2m",0,0
"88","Cape Johnson",2017,"2",5,5,30,">2m",0,0
"89","Cape Johnson",2017,"2",10,1,30,">2m",0,0
"90","Cape Johnson",2017,"2",10,2,30,">2m",0,0
"91","Cape Johnson",2017,"2",10,3,30,">2m",0,0
"92","Cape Johnson",2017,"2",10,4,30,">2m",0,0
"93","Cape Johnson",2018,"N",5,1,30,">2m",0,0
"94","Cape Johnson",2018,"N",5,2,30,">2m",0,0
"95","Cape Johnson",2018,"N",5,3,30,">2m",0,0
"96","Cape Johnson",2018,"N",5,4,30,">2m",0,0
"97","Cape Johnson",2018,"N",10,1,30,">2m",0,0
"98","Cape Johnson",2018,"N",10,2,30,">2m",0,0
"99","Cape Johnson",2018,"N",10,3,30,">2m",0,0
"100","Cape Johnson",2018,"S",5,1,30,">2m",0,0
"101","Cape Johnson",2018,"S",5,2,30,">2m",0,0
"102","Cape Johnson",2018,"S",5,3,30,">2m",0,0
"103","Cape Johnson",2018,"S",5,4,30,">2m",0,0
"104","Cape Johnson",2018,"S",10,1,30,">2m",0,0
"105","Cape Johnson",2018,"S",10,2,30,">2m",0,0
"106","Cape Johnson",2018,"S",10,3,30,">2m",0,0
"107","Cape Johnson",2018,"S",10,4,30,">2m",0,0
"108","Cape Johnson",2019,"N",5,1,30,">2m",0,0
"109","Cape Johnson",2019,"N",5,2,30,">2m",0,0
"110","Cape Johnson",2019,"N",5,3,30,">2m",0,0
"111","Cape Johnson",2019,"N",5,4,30,">2m",0,0
"112","Cape Johnson",2019,"N",10,1,30,">2m",0,0
"113","Cape Johnson",2019,"N",10,2,30,">2m",0,0
"114","Cape Johnson",2019,"N",10,3,30,">2m",0,0
"115","Cape Johnson",2019,"S",5,1,30,">2m",0,0
"116","Cape Johnson",2019,"S",5,2,30,">2m",0,0
"117","Cape Johnson",2019,"S",5,3,30,">2m",0,0
"118","Cape Johnson",2019,"S",5,4,30,">2m",0,0
"119","Cape Johnson",2019,"S",10,1,30,">2m",0,0
"120","Cape Johnson",2019,"S",10,2,30,">2m",0,0
"121","Cape Johnson",2019,"S",10,3,30,">2m",0,0
"122","Cape Johnson",2019,"S",10,4,30,">2m",0,0
"123","Destruction Island",2016,"1",5,1,30,">2m",30,1
"124","Destruction Island",2016,"1",10,1,30,">2m",0,0
"125","Destruction Island",2016,"1",10,2,30,">2m",5,0.166666666666667
"126","Destruction Island",2016,"1",10,3,30,">2m",8,0.266666666666667
"127","Destruction Island",2016,"2",5,1,40,">2m",40,1
"128","Destruction Island",2016,"2",5,2,30,">2m",12,0.4
"129","Destruction Island",2016,"2",5,3,30,">2m",20,0.666666666666667
"130","Destruction Island",2016,"2",10,1,30,">2m",21,0.7
"131","Destruction Island",2016,"2",10,2,30,">2m",8,0.266666666666667
"132","Destruction Island",2016,"2",10,3,30,">2m",15,0.5
"133","Destruction Island",2017,"1",5,1,30,">2m",26,0.866666666666667
"134","Destruction Island",2017,"1",5,2,30,">2m",17,0.566666666666667
"135","Destruction Island",2017,"1",5,3,30,">2m",8,0.266666666666667
"136","Destruction Island",2017,"1",5,4,30,">2m",14,0.466666666666667
"137","Destruction Island",2017,"2",5,1,30,">2m",12,0.4
"138","Destruction Island",2017,"2",5,2,30,">2m",15,0.5
"139","Destruction Island",2017,"2",5,3,30,">2m",2,0.0666666666666667
"140","Destruction Island",2017,"2",5,4,30,">2m",17,0.566666666666667
"141","Destruction Island",2018,"N",5,1,30,">2m",3,0.1
"142","Destruction Island",2018,"N",5,2,30,">2m",20,0.666666666666667
"143","Destruction Island",2018,"N",5,3,30,">2m",12,0.4
"144","Destruction Island",2018,"N",5,4,30,">2m",15,0.5
"145","Destruction Island",2018,"N",10,1,30,">2m",6,0.2
"146","Destruction Island",2018,"N",10,2,30,">2m",3,0.1
"147","Destruction Island",2018,"N",10,3,30,">2m",16,0.533333333333333
"148","Destruction Island",2018,"S",5,1,30,">2m",30,1
"149","Destruction Island",2018,"S",5,2,30,">2m",21,0.7
"150","Destruction Island",2018,"S",5,3,30,">2m",30,1
"151","Destruction Island",2018,"S",5,4,30,">2m",23,0.766666666666667
"152","Destruction Island",2018,"S",10,1,30,">2m",2,0.0666666666666667
"153","Destruction Island",2018,"S",10,2,30,">2m",6,0.2
"154","Destruction Island",2018,"S",10,3,30,">2m",0,0
"155","Destruction Island",2018,"S",10,4,30,">2m",1,0.0333333333333333
"156","Destruction Island",2019,"N",5,1,30,">2m",6,0.2
"157","Destruction Island",2019,"N",5,2,30,">2m",12,0.4
"158","Destruction Island",2019,"N",5,3,30,">2m",7,0.233333333333333
"159","Destruction Island",2019,"N",5,4,30,">2m",1,0.0333333333333333
"160","Destruction Island",2019,"N",10,1,30,">2m",4,0.133333333333333
"161","Destruction Island",2019,"N",10,2,30,">2m",10,0.333333333333333
"162","Destruction Island",2019,"N",10,3,30,">2m",6,0.2
"163","Destruction Island",2019,"N",10,4,30,">2m",0,0
"164","Destruction Island",2019,"S",5,1,30,">2m",4,0.133333333333333
"165","Destruction Island",2019,"S",5,2,30,">2m",6,0.2
"166","Destruction Island",2019,"S",5,3,30,">2m",3,0.1
"167","Destruction Island",2019,"S",5,4,30,">2m",4,0.133333333333333
"168","Destruction Island",2019,"S",10,1,30,">2m",5,0.166666666666667
"169","Destruction Island",2019,"S",10,2,30,">2m",7,0.233333333333333
"170","Destruction Island",2019,"S",10,3,30,">2m",4,0.133333333333333
"171","Destruction Island",2019,"S",10,4,30,">2m",3,0.1
"172","Neah Bay",2016,"1",5,1,30,">2m",0,0
"173","Neah Bay",2016,"1",5,2,30,">2m",0,0
"174","Neah Bay",2016,"1",5,3,30,">2m",0,0
"175","Neah Bay",2016,"1",5,4,30,">2m",0,0
"176","Neah Bay",2016,"1",10,1,30,">2m",0,0
"177","Neah Bay",2016,"1",10,2,30,">2m",0,0
"178","Neah Bay",2016,"1",10,3,30,">2m",0,0
"179","Neah Bay",2016,"1",10,4,30,">2m",0,0
"180","Neah Bay",2016,"1",10,5,30,">2m",0,0
"181","Neah Bay",2016,"1",10,6,30,">2m",0,0
"182","Neah Bay",2017,"1",5,1,30,">2m",0,0
"183","Neah Bay",2017,"1",5,2,30,">2m",0,0
"184","Neah Bay",2017,"1",5,3,30,">2m",0,0
"185","Neah Bay",2017,"1",5,4,30,">2m",0,0
"186","Neah Bay",2017,"1",10,1,30,">2m",0,0
"187","Neah Bay",2017,"1",10,2,30,">2m",0,0
"188","Neah Bay",2017,"1",10,3,30,">2m",0,0
"189","Neah Bay",2017,"1",10,4,30,">2m",0,0
"190","Neah Bay",2017,"2",5,1,30,">2m",0,0
"191","Neah Bay",2017,"2",5,2,30,">2m",0,0
"192","Neah Bay",2017,"2",5,3,30,">2m",0,0
"193","Neah Bay",2017,"2",5,4,30,">2m",0,0
"194","Neah Bay",2017,"2",10,1,30,">2m",0,0
"195","Neah Bay",2017,"2",10,2,30,">2m",4,0.133333333333333
"196","Neah Bay",2017,"2",10,3,30,">2m",0,0
"197","Neah Bay",2017,"2",10,4,30,">2m",0,0
"198","Neah Bay",2018,"N",5,1,30,">2m",0,0
"199","Neah Bay",2018,"N",5,2,30,">2m",0,0
"200","Neah Bay",2018,"N",5,3,30,">2m",0,0
"201","Neah Bay",2018,"N",5,4,30,">2m",1,0.0333333333333333
"202","Neah Bay",2018,"N",10,1,30,">2m",0,0
"203","Neah Bay",2018,"N",10,2,30,">2m",0,0
"204","Neah Bay",2018,"N",10,3,30,">2m",0,0
"205","Neah Bay",2018,"N",10,4,30,">2m",0,0
"206","Neah Bay",2018,"S",5,1,30,">2m",0,0
"207","Neah Bay",2018,"S",5,2,30,">2m",0,0
"208","Neah Bay",2018,"S",5,3,30,">2m",0,0
"209","Neah Bay",2018,"S",10,1,30,">2m",0,0
"210","Neah Bay",2018,"S",10,2,30,">2m",0,0
"211","Neah Bay",2018,"S",10,3,30,">2m",1,0.0333333333333333
"212","Neah Bay",2018,"S",10,4,30,">2m",0,0
"213","Neah Bay",2019,"N",5,1,30,">2m",0,0
"214","Neah Bay",2019,"N",5,2,30,">2m",0,0
"215","Neah Bay",2019,"N",5,3,30,">2m",0,0
"216","Neah Bay",2019,"N",10,1,30,">2m",0,0
"217","Neah Bay",2019,"N",10,2,30,">2m",0,0
"218","Neah Bay",2019,"N",10,3,30,">2m",0,0
"219","Neah Bay",2019,"N",10,4,30,">2m",0,0
"220","Neah Bay",2019,"S",5,1,30,">2m",0,0
"221","Neah Bay",2019,"S",5,2,30,">2m",0,0
"222","Neah Bay",2019,"S",5,3,30,">2m",0,0
"223","Neah Bay",2019,"S",5,4,30,">2m",0,0
"224","Neah Bay",2019,"S",10,1,30,">2m",0,0
"225","Neah Bay",2019,"S",10,2,31,">2m",2,0.0645161290322581
"226","Neah Bay",2019,"S",10,3,30,">2m",0,0
"227","Neah Bay",2019,"S",10,4,30,">2m",0,0
"228","Tatoosh Island",2016,"1",5,1,30,">2m",30,1
"229","Tatoosh Island",2016,"1",5,2,30,">2m",5,0.166666666666667
"230","Tatoosh Island",2016,"1",5,3,30,">2m",25,0.833333333333333
"231","Tatoosh Island",2016,"1",5,4,30,">2m",20,0.666666666666667
"232","Tatoosh Island",2016,"1",5,5,30,">2m",30,1
"233","Tatoosh Island",2016,"1",5,6,30,">2m",27,0.9
"234","Tatoosh Island",2016,"1",10,1,30,">2m",0,0
"235","Tatoosh Island",2016,"1",10,2,30,">2m",0,0
"236","Tatoosh Island",2017,"1",5,1,30,">2m",22,0.733333333333333
"237","Tatoosh Island",2017,"1",5,2,30,">2m",2,0.0666666666666667
"238","Tatoosh Island",2017,"1",5,3,30,">2m",12,0.4
"239","Tatoosh Island",2017,"1",10,1,30,">2m",8,0.266666666666667
"240","Tatoosh Island",2017,"1",10,2,30,">2m",1,0.0333333333333333
"241","Tatoosh Island",2017,"1",10,3,30,">2m",2,0.0666666666666667
"242","Tatoosh Island",2017,"1",10,4,30,">2m",10,0.333333333333333
"243","Tatoosh Island",2017,"2",5,1,30,">2m",29,0.966666666666667
"244","Tatoosh Island",2017,"2",5,2,30,">2m",19,0.633333333333333
"245","Tatoosh Island",2017,"2",5,3,30,">2m",24,0.8
"246","Tatoosh Island",2017,"2",10,1,30,">2m",21,0.7
"247","Tatoosh Island",2017,"2",10,2,30,">2m",11,0.366666666666667
"248","Tatoosh Island",2017,"2",10,3,30,">2m",2,0.0666666666666667
"249","Tatoosh Island",2018,"N",5,1,30,">2m",1,0.0333333333333333
"250","Tatoosh Island",2018,"N",5,2,30,">2m",0,0
"251","Tatoosh Island",2018,"N",5,3,30,">2m",0,0
"252","Tatoosh Island",2018,"N",5,4,30,">2m",0,0
"253","Tatoosh Island",2018,"N",10,1,30,">2m",2,0.0666666666666667
"254","Tatoosh Island",2018,"N",10,2,30,">2m",0,0
"255","Tatoosh Island",2018,"N",10,3,30,">2m",0,0
"256","Tatoosh Island",2018,"N",10,4,30,">2m",0,0
"257","Tatoosh Island",2018,"S",5,1,30,">2m",4,0.133333333333333
"258","Tatoosh Island",2018,"S",5,2,30,">2m",0,0
"259","Tatoosh Island",2018,"S",5,3,30,">2m",0,0
"260","Tatoosh Island",2018,"S",5,4,30,">2m",0,0
"261","Tatoosh Island",2018,"S",10,1,30,">2m",1,0.0333333333333333
"262","Tatoosh Island",2018,"S",10,2,30,">2m",1,0.0333333333333333
"263","Tatoosh Island",2018,"S",10,3,30,">2m",1,0.0333333333333333
"264","Tatoosh Island",2019,"N",5,1,30,">2m",11,0.366666666666667
"265","Tatoosh Island",2019,"N",5,2,30,">2m",27,0.9
"266","Tatoosh Island",2019,"N",5,3,30,">2m",22,0.733333333333333
"267","Tatoosh Island",2019,"N",5,4,30,">2m",16,0.533333333333333
"268","Tatoosh Island",2019,"N",10,1,30,">2m",0,0
"269","Tatoosh Island",2019,"N",10,2,30,">2m",20,0.666666666666667
"270","Tatoosh Island",2019,"N",10,3,30,">2m",11,0.366666666666667
"271","Tatoosh Island",2019,"S",5,1,30,">2m",30,1
"272","Tatoosh Island",2019,"S",5,2,30,">2m",14,0.466666666666667
"273","Tatoosh Island",2019,"S",5,3,30,">2m",3,0.1
"274","Tatoosh Island",2019,"S",5,4,30,">2m",0,0
"275","Tatoosh Island",2019,"S",10,1,30,">2m",2,0.0666666666666667
"276","Tatoosh Island",2019,"S",10,2,30,">2m",7,0.233333333333333
"277","Tatoosh Island",2019,"S",10,3,30,">2m",9,0.3
"278","Cape Alava",2016,"1",5,1,30,"0-10cm",0,0
"279","Cape Alava",2016,"1",5,2,30,"0-10cm",0,0
"280","Cape Alava",2016,"1",5,3,30,"0-10cm",5,0.166666666666667
"281","Cape Alava",2016,"1",5,4,30,"0-10cm",0,0
"282","Cape Alava",2016,"1",5,5,30,"0-10cm",0,0
"283","Cape Alava",2016,"1",5,6,30,"0-10cm",0,0
"284","Cape Alava",2016,"1",10,1,30,"0-10cm",0,0
"285","Cape Alava",2016,"1",10,2,30,"0-10cm",2,0.0666666666666667
"286","Cape Alava",2016,"1",10,3,30,"0-10cm",0,0
"287","Cape Alava",2016,"1",10,4,30,"0-10cm",0,0
"288","Cape Alava",2016,"1",10,5,30,"0-10cm",1,0.0333333333333333
"289","Cape Alava",2016,"1",10,6,30,"0-10cm",0,0
"290","Cape Alava",2017,"1",5,1,30,"0-10cm",0,0
"291","Cape Alava",2017,"1",5,2,30,"0-10cm",0,0
"292","Cape Alava",2017,"1",5,3,30,"0-10cm",0,0
"293","Cape Alava",2017,"1",5,4,30,"0-10cm",0,0
"294","Cape Alava",2017,"1",10,1,30,"0-10cm",12,0.4
"295","Cape Alava",2017,"1",10,2,30,"0-10cm",2,0.0666666666666667
"296","Cape Alava",2017,"1",10,3,30,"0-10cm",1,0.0333333333333333
"297","Cape Alava",2017,"1",10,4,30,"0-10cm",0,0
"298","Cape Alava",2017,"1",10,5,30,"0-10cm",0,0
"299","Cape Alava",2017,"1",10,6,30,"0-10cm",0,0
"300","Cape Alava",2017,"2",5,1,30,"0-10cm",0,0
"301","Cape Alava",2017,"2",5,2,30,"0-10cm",0,0
"302","Cape Alava",2017,"2",5,3,30,"0-10cm",0,0
"303","Cape Alava",2017,"2",5,4,30,"0-10cm",0,0
"304","Cape Alava",2017,"2",10,1,30,"0-10cm",0,0
"305","Cape Alava",2017,"2",10,2,30,"0-10cm",2,0.0666666666666667
"306","Cape Alava",2017,"2",10,3,30,"0-10cm",0,0
"307","Cape Alava",2017,"2",10,4,30,"0-10cm",0,0
"308","Cape Alava",2017,"2",10,5,30,"0-10cm",0,0
"309","Cape Alava",2017,"2",10,6,30,"0-10cm",0,0
"310","Cape Alava",2018,"E",5,1,30,"0-10cm",0,0
"311","Cape Alava",2018,"E",5,2,30,"0-10cm",2,0.0666666666666667
"312","Cape Alava",2018,"E",5,3,30,"0-10cm",0,0
"313","Cape Alava",2018,"E",5,4,30,"0-10cm",0,0
"314","Cape Alava",2018,"E",10,1,30,"0-10cm",4,0.133333333333333
"315","Cape Alava",2018,"E",10,2,30,"0-10cm",0,0
"316","Cape Alava",2018,"E",10,3,30,"0-10cm",0,0
"317","Cape Alava",2018,"E",10,4,30,"0-10cm",0,0
"318","Cape Alava",2018,"W",5,1,30,"0-10cm",0,0
"319","Cape Alava",2018,"W",5,2,30,"0-10cm",0,0
"320","Cape Alava",2018,"W",5,3,30,"0-10cm",0,0
"321","Cape Alava",2018,"W",5,4,30,"0-10cm",0,0
"322","Cape Alava",2018,"W",10,1,30,"0-10cm",0,0
"323","Cape Alava",2018,"W",10,2,30,"0-10cm",0,0
"324","Cape Alava",2018,"W",10,3,30,"0-10cm",0,0
"325","Cape Alava",2018,"W",10,4,30,"0-10cm",0,0
"326","Cape Alava",2019,"E",5,1,30,"0-10cm",3,0.1
"327","Cape Alava",2019,"E",5,2,30,"0-10cm",0,0
"328","Cape Alava",2019,"E",5,3,30,"0-10cm",1,0.0333333333333333
"329","Cape Alava",2019,"E",5,4,30,"0-10cm",4,0.133333333333333
"330","Cape Alava",2019,"E",10,1,30,"0-10cm",6,0.2
"331","Cape Alava",2019,"E",10,2,30,"0-10cm",0,0
"332","Cape Alava",2019,"E",10,3,30,"0-10cm",1,0.0333333333333333
"333","Cape Alava",2019,"E",10,4,30,"0-10cm",11,0.366666666666667
"334","Cape Alava",2019,"W",5,1,30,"0-10cm",4,0.133333333333333
"335","Cape Alava",2019,"W",5,2,30,"0-10cm",1,0.0333333333333333
"336","Cape Alava",2019,"W",5,3,30,"0-10cm",0,0
"337","Cape Alava",2019,"W",5,4,30,"0-10cm",0,0
"338","Cape Alava",2019,"W",10,1,30,"0-10cm",14,0.466666666666667
"339","Cape Alava",2019,"W",10,2,20,"0-10cm",0,0
"340","Cape Alava",2019,"W",10,3,30,"0-10cm",2,0.0666666666666667
"341","Cape Alava",2019,"W",10,4,30,"0-10cm",2,0.0666666666666667
"342","Cape Johnson",2016,"1",5,1,30,"0-10cm",1,0.0333333333333333
"343","Cape Johnson",2016,"1",5,2,30,"0-10cm",0,0
"344","Cape Johnson",2016,"1",5,3,30,"0-10cm",1,0.0333333333333333
"345","Cape Johnson",2016,"1",5,4,30,"0-10cm",1,0.0333333333333333
"346","Cape Johnson",2016,"1",5,5,30,"0-10cm",2,0.0666666666666667
"347","Cape Johnson",2016,"1",5,6,30,"0-10cm",0,0
"348","Cape Johnson",2016,"1",10,1,30,"0-10cm",29,0.966666666666667
"349","Cape Johnson",2016,"1",10,2,30,"0-10cm",20,0.666666666666667
"350","Cape Johnson",2016,"1",10,3,30,"0-10cm",6,0.2
"351","Cape Johnson",2016,"1",10,4,30,"0-10cm",19,0.633333333333333
"352","Cape Johnson",2016,"1",10,5,30,"0-10cm",14,0.466666666666667
"353","Cape Johnson",2016,"1",10,6,30,"0-10cm",21,0.7
"354","Cape Johnson",2017,"1",5,1,30,"0-10cm",29,0.966666666666667
"355","Cape Johnson",2017,"1",5,2,30,"0-10cm",27,0.9
"356","Cape Johnson",2017,"1",5,3,30,"0-10cm",30,1
"357","Cape Johnson",2017,"1",10,1,30,"0-10cm",23,0.766666666666667
"358","Cape Johnson",2017,"1",10,2,30,"0-10cm",28,0.933333333333333
"359","Cape Johnson",2017,"1",10,3,30,"0-10cm",28,0.933333333333333
"360","Cape Johnson",2017,"1",10,4,30,"0-10cm",23,0.766666666666667
"361","Cape Johnson",2017,"2",5,1,30,"0-10cm",30,1
"362","Cape Johnson",2017,"2",5,2,30,"0-10cm",30,1
"363","Cape Johnson",2017,"2",5,3,30,"0-10cm",30,1
"364","Cape Johnson",2017,"2",5,4,30,"0-10cm",30,1
"365","Cape Johnson",2017,"2",5,5,30,"0-10cm",30,1
"366","Cape Johnson",2017,"2",10,1,30,"0-10cm",30,1
"367","Cape Johnson",2017,"2",10,2,30,"0-10cm",24,0.8
"368","Cape Johnson",2017,"2",10,3,30,"0-10cm",24,0.8
"369","Cape Johnson",2017,"2",10,4,30,"0-10cm",24,0.8
"370","Cape Johnson",2018,"N",5,1,30,"0-10cm",0,0
"371","Cape Johnson",2018,"N",5,2,30,"0-10cm",0,0
"372","Cape Johnson",2018,"N",5,3,30,"0-10cm",0,0
"373","Cape Johnson",2018,"N",5,4,30,"0-10cm",0,0
"374","Cape Johnson",2018,"N",10,1,30,"0-10cm",0,0
"375","Cape Johnson",2018,"N",10,2,30,"0-10cm",4,0.133333333333333
"376","Cape Johnson",2018,"N",10,3,30,"0-10cm",7,0.233333333333333
"377","Cape Johnson",2018,"S",5,1,30,"0-10cm",0,0
"378","Cape Johnson",2018,"S",5,2,30,"0-10cm",0,0
"379","Cape Johnson",2018,"S",5,3,30,"0-10cm",0,0
"380","Cape Johnson",2018,"S",5,4,30,"0-10cm",0,0
"381","Cape Johnson",2018,"S",10,1,30,"0-10cm",0,0
"382","Cape Johnson",2018,"S",10,2,30,"0-10cm",0,0
"383","Cape Johnson",2018,"S",10,3,30,"0-10cm",0,0
"384","Cape Johnson",2018,"S",10,4,30,"0-10cm",0,0
"385","Cape Johnson",2019,"N",5,1,30,"0-10cm",1,0.0333333333333333
"386","Cape Johnson",2019,"N",5,2,30,"0-10cm",2,0.0666666666666667
"387","Cape Johnson",2019,"N",5,3,30,"0-10cm",0,0
"388","Cape Johnson",2019,"N",5,4,30,"0-10cm",0,0
"389","Cape Johnson",2019,"N",10,1,30,"0-10cm",15,0.5
"390","Cape Johnson",2019,"N",10,2,30,"0-10cm",25,0.833333333333333
"391","Cape Johnson",2019,"N",10,3,30,"0-10cm",28,0.933333333333333
"392","Cape Johnson",2019,"S",5,1,30,"0-10cm",2,0.0666666666666667
"393","Cape Johnson",2019,"S",5,2,30,"0-10cm",0,0
"394","Cape Johnson",2019,"S",5,3,30,"0-10cm",0,0
"395","Cape Johnson",2019,"S",5,4,30,"0-10cm",0,0
"396","Cape Johnson",2019,"S",10,1,30,"0-10cm",0,0
"397","Cape Johnson",2019,"S",10,2,30,"0-10cm",0,0
"398","Cape Johnson",2019,"S",10,3,30,"0-10cm",2,0.0666666666666667
"399","Cape Johnson",2019,"S",10,4,30,"0-10cm",1,0.0333333333333333
"400","Destruction Island",2016,"1",5,1,30,"0-10cm",0,0
"401","Destruction Island",2016,"1",10,1,30,"0-10cm",0,0
"402","Destruction Island",2016,"1",10,2,30,"0-10cm",0,0
"403","Destruction Island",2016,"1",10,3,30,"0-10cm",0,0
"404","Destruction Island",2016,"2",5,1,40,"0-10cm",0,0
"405","Destruction Island",2016,"2",5,2,30,"0-10cm",14,0.466666666666667
"406","Destruction Island",2016,"2",5,3,30,"0-10cm",6,0.2
"407","Destruction Island",2016,"2",10,1,30,"0-10cm",4,0.133333333333333
"408","Destruction Island",2016,"2",10,2,30,"0-10cm",15,0.5
"409","Destruction Island",2016,"2",10,3,30,"0-10cm",12,0.4
"410","Destruction Island",2017,"1",5,1,30,"0-10cm",0,0
"411","Destruction Island",2017,"1",5,2,30,"0-10cm",0,0
"412","Destruction Island",2017,"1",5,3,30,"0-10cm",3,0.1
"413","Destruction Island",2017,"1",5,4,30,"0-10cm",1,0.0333333333333333
"414","Destruction Island",2017,"2",5,1,30,"0-10cm",0,0
"415","Destruction Island",2017,"2",5,2,30,"0-10cm",0,0
"416","Destruction Island",2017,"2",5,3,30,"0-10cm",0,0
