"","SITE","YEAR","Functional_Group","N","MEAN","SD","SE"
"52","Cape Johnson",2017,"Non-living Substrate",16,0.0979166666666667,1.18880775943333,0.297201939858332
"53","Cape Johnson",2017,"Non-mobile Invertebrate",16,0.0166666666666667,0.51207638319124,0.12801909579781
"54","Cape Johnson",2017,"Red Algae",16,0.60625,1.95432213311931,0.488580533279827
"55","Cape Johnson",2018,"Brown Algae",15,0.0422222222222222,0.778840543752437,0.201095763686955
"56","Cape Johnson",2018,"Diatom Layer",15,0,0,0
"57","Cape Johnson",2018,"Eelgrass_Surfgrass",15,0.00222222222222222,0.182371212803061,0.0470880446675935
"58","Cape Johnson",2018,"Encrusting Species",15,0.214623655913979,1.59009595104869,0.410561009152229
"59","Cape Johnson",2018,"Green algae",15,0,0,0
"60","Cape Johnson",2018,"Mobile Invertebrate",15,0,0,0
"61","Cape Johnson",2018,"Non-living Substrate",15,0.148602150537634,1.3776041778749,0.355695869238349
"62","Cape Johnson",2018,"Non-mobile Invertebrate",15,0.0465232974910394,0.815710245261144,0.210615479681812
"63","Cape Johnson",2018,"Red Algae",15,0.545806451612903,1.92834813632278,0.497897347844548
"64","Cape Johnson",2019,"Brown Algae",15,0.0288888888888889,0.648702408516274,0.167494241655211
"65","Cape Johnson",2019,"Diatom Layer",15,0,0,0
"66","Cape Johnson",2019,"Eelgrass_Surfgrass",15,0,0,0
"67","Cape Johnson",2019,"Encrusting Species",15,0.222222222222222,1.61015297179883,0.415739709641549
"68","Cape Johnson",2019,"Green algae",15,0,0,0
"69","Cape Johnson",2019,"Mobile Invertebrate",15,0,0,0
"70","Cape Johnson",2019,"Non-living Substrate",15,0.104444444444444,1.18449864374639,0.305836234722336
"71","Cape Johnson",2019,"Non-mobile Invertebrate",15,0.0333333333333333,0.695221787153807,0.17950549357115
"72","Cape Johnson",2019,"Red Algae",15,0.611111111111111,1.88807171866294,0.487498021521785
"73","Destruction Island",2016,"Brown Algae",10,0.100833333333333,0.952186810569345,0.301107907937042
"74","Destruction Island",2016,"Diatom Layer",10,0,0,0
"75","Destruction Island",2016,"Eelgrass_Surfgrass",10,0.0733333333333333,0.82435159704798,0.260682863946895
"76","Destruction Island",2016,"Encrusting Species",10,0.0833333333333333,0.874007373475126,0.276385399196283
"77","Destruction Island",2016,"Green algae",10,0,0,0
"78","Destruction Island",2016,"Mobile Invertebrate",10,0.00333333333333333,0.182269641526564,0.0576387215526353
"79","Destruction Island",2016,"Non-living Substrate",10,0.112241379310345,0.998214666696779,0.315663194054765
"80","Destruction Island",2016,"Non-mobile Invertebrate",10,0.15,1.12915897906362,0.357071421427142
"81","Destruction Island",2016,"Red Algae",10,0.476925287356322,1.57945420204706,0.499467273839249
"82","Destruction Island",2017,"Brown Algae",8,0.229166666666667,1.18877855147393,0.420296687538167
"83","Destruction Island",2017,"Diatom Layer",8,0,0,0
"84","Destruction Island",2017,"Eelgrass_Surfgrass",8,0,0,0
"85","Destruction Island",2017,"Encrusting Species",8,0.0672619047619048,0.7084503704831,0.250475030551361
"86","Destruction Island",2017,"Green algae",8,0.00416666666666667,0.182193425908962,0.0644151034739179
"87","Destruction Island",2017,"Mobile Invertebrate",8,0,0,0
"88","Destruction Island",2017,"Non-living Substrate",8,0.025,0.441588043316392,0.15612494995996
"89","Destruction Island",2017,"Non-mobile Invertebrate",8,0.1375,0.974037986938908,0.344374432848898
"90","Destruction Island",2017,"Red Algae",8,0.536904761904762,1.41035609276169,0.498636178539777
"91","Destruction Island",2018,"Brown Algae",15,0.125210727969349,1.28179367433336,0.330957703597808
"92","Destruction Island",2018,"Diatom Layer",15,0,0,0
"93","Destruction Island",2018,"Eelgrass_Surfgrass",15,0.0155555555555556,0.479274142536089,0.123748051487341
"94","Destruction Island",2018,"Encrusting Species",15,0.132211275314724,1.31185815159859,0.338720318248519
"95","Destruction Island",2018,"Green algae",15,0.00222222222222222,0.182371212803061,0.0470880446675935
"96","Destruction Island",2018,"Mobile Invertebrate",15,0.00222222222222222,0.182371212803061,0.0470880446675935
"97","Destruction Island",2018,"Non-living Substrate",15,0.0295238095238095,0.655577846579009,0.169269472129535
"98","Destruction Island",2018,"Non-mobile Invertebrate",15,0.139365079365079,1.34131905610845,0.346327091083912
"99","Destruction Island",2018,"Red Algae",15,0.553689107827039,1.92529535279942,0.497109122528179
"100","Destruction Island",2019,"Brown Algae",16,0.20632183908046,1.61865691385873,0.404664228464682
"101","Destruction Island",2019,"Diatom Layer",16,0,0,0
"102","Destruction Island",2019,"Eelgrass_Surfgrass",16,0,0,0
"103","Destruction Island",2019,"Encrusting Species",16,0.169468390804598,1.50066041633781,0.375165104084452
"104","Destruction Island",2019,"Green algae",16,0,0,0
"105","Destruction Island",2019,"Mobile Invertebrate",16,0.00625,0.315238005322962,0.0788095013307406
"106","Destruction Island",2019,"Non-living Substrate",16,0.060632183908046,0.954617596172095,0.238654399043024
"107","Destruction Island",2019,"Non-mobile Invertebrate",16,0.0419540229885058,0.801936485700315,0.200484121425079
"108","Destruction Island",2019,"Red Algae",16,0.515373563218391,1.99905439067163,0.499763597667908
"109","Neah Bay",2016,"Brown Algae",10,0.379032258064516,1.5341668925219,0.485146169119195
"110","Neah Bay",2016,"Diatom Layer",10,0,0,0
"111","Neah Bay",2016,"Eelgrass_Surfgrass",10,0.00666666666666667,0.257336787541584,0.0813770374382247
"112","Neah Bay",2016,"Encrusting Species",10,0.0796774193548387,0.856323117752825,0.27079314651555
"113","Neah Bay",2016,"Green algae",10,0,0,0
"114","Neah Bay",2016,"Mobile Invertebrate",10,0,0,0
"115","Neah Bay",2016,"Non-living Substrate",10,0.153225806451613,1.13906829772787,0.360205023131085
"116","Neah Bay",2016,"Non-mobile Invertebrate",10,0.00666666666666667,0.257336787541584,0.0813770374382247
"117","Neah Bay",2016,"Red Algae",10,0.374731182795699,1.53071134913228,0.48405343035272
"118","Neah Bay",2017,"Brown Algae",16,0.198204022988506,1.59458678414028,0.39864669603507
"119","Neah Bay",2017,"Diatom Layer",16,0.065014367816092,0.986204845200557,0.246551211300139
"120","Neah Bay",2017,"Eelgrass_Surfgrass",16,0.0145833333333333,0.479510746027193,0.119877686506798
"121","Neah Bay",2017,"Encrusting Species",16,0.139942528735632,1.38770957991481,0.346927394978703
"122","Neah Bay",2017,"Green algae",16,0.00208333333333333,0.182383905235327,0.0455959763088319
"123","Neah Bay",2017,"Mobile Invertebrate",16,0,0,0
"124","Neah Bay",2017,"Non-living Substrate",16,0.0938218390804598,1.1663227792821,0.291580694820525
"125","Neah Bay",2017,"Non-mobile Invertebrate",16,0.0959770114942529,1.17823885360404,0.29455971340101
"126","Neah Bay",2017,"Red Algae",16,0.390373563218391,1.95133613448249,0.487834033620624
"127","Neah Bay",2018,"Brown Algae",15,0.457777777777778,1.92957489081384,0.498214094492134
"128","Neah Bay",2018,"Diatom Layer",15,0,0,0
"129","Neah Bay",2018,"Eelgrass_Surfgrass",15,0.00666666666666667,0.315171910761942,0.0813770374382247
"130","Neah Bay",2018,"Encrusting Species",15,0.0777777777777778,1.0372684926893,0.267821573182088
"131","Neah Bay",2018,"Green algae",15,0,0,0
"132","Neah Bay",2018,"Mobile Invertebrate",15,0,0,0
"133","Neah Bay",2018,"Non-living Substrate",15,0.104444444444444,1.18449864374639,0.305836234722336
"134","Neah Bay",2018,"Non-mobile Invertebrate",15,0.00444444444444444,0.257624475487812,0.0665183535426478
"135","Neah Bay",2018,"Red Algae",15,0.348888888888889,1.8459364781816,0.476618749210273
"136","Neah Bay",2019,"Brown Algae",15,0.325709165386585,1.81503183843876,0.468639205540637
"137","Neah Bay",2019,"Diatom Layer",15,0,0,0
"138","Neah Bay",2019,"Eelgrass_Surfgrass",15,0,0,0
"139","Neah Bay",2019,"Encrusting Species",15,0.10205325140809,1.17242303767749,0.302718326642322
"140","Neah Bay",2019,"Green algae",15,0,0,0
"141","Neah Bay",2019,"Mobile Invertebrate",15,0,0,0
"142","Neah Bay",2019,"Non-living Substrate",15,0.104562211981567,1.18508832460131,0.30598848966438
"143","Neah Bay",2019,"Non-mobile Invertebrate",15,0.0247772657450077,0.602038447865362,0.155445658823941
"144","Neah Bay",2019,"Red Algae",15,0.442898105478751,1.92382187445493,0.496728672055564
"145","Tatoosh Island",2016,"Brown Algae",8,0.229940674823878,1.1901864085442,0.420794440178833
"146","Tatoosh Island",2016,"Diatom Layer",8,0,0,0
"147","Tatoosh Island",2016,"Eelgrass_Surfgrass",8,0,0,0
"148","Tatoosh Island",2016,"Encrusting Species",8,0.299652391546162,1.29571859842121,0.458105703726583
"149","Tatoosh Island",2016,"Green algae",8,0,0,0
"150","Tatoosh Island",2016,"Mobile Invertebrate",8,0,0,0
"151","Tatoosh Island",2016,"Non-living Substrate",8,0.0126436781609195,0.316022980980594,0.111730996431083
"152","Tatoosh Island",2016,"Non-mobile Invertebrate",8,0.223540044493882,1.1783713947701,0.416617201999096
"153","Tatoosh Island",2016,"Red Algae",8,0.234223210975158,1.19787377770997,0.423512335612133
"154","Tatoosh Island",2017,"Brown Algae",13,0.225729442970822,1.50734322571528,0.418061791541519
"155","Tatoosh Island",2017,"Diatom Layer",13,0,0,0
"156","Tatoosh Island",2017,"Eelgrass_Surfgrass",13,0.00256410256410256,0.182339966128831,0.0505720074956821
"157","Tatoosh Island",2017,"Encrusting Species",13,0.259593280282935,1.5807150022991,0.438411460975738
"158","Tatoosh Island",2017,"Green algae",13,0,0,0
"159","Tatoosh Island",2017,"Mobile Invertebrate",13,0.00512820512820513,0.257535990348507,0.0714276321906878
"160","Tatoosh Island",2017,"Non-living Substrate",13,0.0103448275862069,0.364817156489989,0.101182074145664
"161","Tatoosh Island",2017,"Non-mobile Invertebrate",13,0.177541998231653,1.37777751550907,0.382126729103795
"162","Tatoosh Island",2017,"Red Algae",13,0.319098143236074,1.68064533345133,0.466127148125234
"163","Tatoosh Island",2018,"Brown Algae",15,0.34,1.83466618217048,0.47370877129308
"164","Tatoosh Island",2018,"Diatom Layer",15,0,0,0
"165","Tatoosh Island",2018,"Eelgrass_Surfgrass",15,0,0,0
"166","Tatoosh Island",2018,"Encrusting Species",15,0.304444444444444,1.78223746183565,0.460171733911763
"167","Tatoosh Island",2018,"Green algae",15,0,0,0
"168","Tatoosh Island",2018,"Mobile Invertebrate",15,0,0,0
"169","Tatoosh Island",2018,"Non-living Substrate",15,0.04,0.758946638440411,0.195959179422654
"170","Tatoosh Island",2018,"Non-mobile Invertebrate",15,0.04,0.758946638440411,0.195959179422654
"171","Tatoosh Island",2018,"Red Algae",15,0.275555555555556,1.73042491035305,0.446793790643989
"172","Tatoosh Island",2019,"Brown Algae",14,0.217227825501725,1.54290588261671,0.412358942342126
"173","Tatoosh Island",2019,"Diatom Layer",14,0,0,0
"174","Tatoosh Island",2019,"Eelgrass_Surfgrass",14,0,0,0
"175","Tatoosh Island",2019,"Encrusting Species",14,0.273629117943062,1.66810884914465,0.445820842667504
"176","Tatoosh Island",2019,"Green algae",14,0,0,0
"177","Tatoosh Island",2019,"Mobile Invertebrate",14,0,0,0
"178","Tatoosh Island",2019,"Non-living Substrate",14,0.0168361671698713,0.481391679434317,0.128657338091923
"179","Tatoosh Island",2019,"Non-mobile Invertebrate",14,0.181383142801058,1.441792695335,0.385335306335494
"180","Tatoosh Island",2019,"Red Algae",14,0.310923746584284,1.73190715268454,0.462871656503481
