"","year","quarter","kelp_area_m2","count_cells_kelp","count_cells_no_clouds","count_cells_historic_footprint","region","km2","hectares"
"37",1991,"2",1633044,6556,24612,25149,"WA",1.633044,163.3044
"38",1991,"3",2285699,15047,24924,25149,"WA",2.285699,228.5699
"39",1991,"4",2226590,9392,22265,25149,"WA",2.22659,222.659
"40",1991,"max",3842957,16977,24971,25149,"WA",3.842957,384.2957
"41",1992,"1",0,0,3376,25149,"WA",0,0
"42",1992,"2",3890043,17687,24567,25149,"WA",3.890043,389.0043
"43",1992,"3",2357511,15052,24783,25149,"WA",2.357511,235.7511
"44",1992,"4",294003,2696,21710,25149,"WA",0.294003,29.4003
"45",1992,"max",4815004,20906,25006,25149,"WA",4.815004,481.5004
"46",1993,"1",74052,876,24825,25149,"WA",0.074052,7.4052
"47",1993,"2",1819208,8294,24842,25149,"WA",1.819208,181.9208
"48",1993,"3",1460911,9651,24566,25149,"WA",1.460911,146.0911
"49",1993,"4",46902,477,12679,25149,"WA",0.046902,4.6902
"50",1993,"max",2339289,11888,24967,25149,"WA",2.339289,233.9289
"51",1994,"1",0,0,12627,25149,"WA",0,0
"52",1994,"2",1731121,7881,23138,25149,"WA",1.731121,173.1121
"53",1994,"3",2297407,11419,21065,25149,"WA",2.297407,229.7407
"54",1994,"4",375606,4201,23201,25149,"WA",0.375606,37.5606
"55",1994,"max",3081375,13679,24873,25149,"WA",3.081375,308.1375
"56",1995,"1",31060,128,23866,25149,"WA",0.03106,3.106
"57",1995,"2",1156169,10685,23785,25149,"WA",1.156169,115.6169
"58",1995,"3",3016282,13912,24034,25149,"WA",3.016282,301.6282
"59",1995,"4",260882,3127,22434,25149,"WA",0.260882,26.0882
"60",1995,"max",3254740,16299,25055,25149,"WA",3.25474,325.474
"61",1996,"1",389284,1845,15523,25149,"WA",0.389284,38.9284
"62",1996,"2",497932,4217,22695,25149,"WA",0.497932,49.7932
"63",1996,"3",893718,5435,12228,25149,"WA",0.893718,89.3718
"64",1996,"4",13746,146,10211,25149,"WA",0.013746,1.3746
"65",1996,"max",1496604,8416,23355,25149,"WA",1.496604,149.6604
"66",1997,"1",394,7,13483,25149,"WA",0.000394,0.0394
"67",1997,"2",931080,5521,23136,25149,"WA",0.93108,93.108
"68",1997,"3",1453265,9083,23319,25149,"WA",1.453265,145.3265
"69",1997,"4",51228,742,12163,25149,"WA",0.051228,5.1228
"70",1997,"max",1767002,10460,23406,25149,"WA",1.767002,176.7002
"71",1998,"1",219709,1079,24789,25149,"WA",0.219709,21.9709
"72",1998,"2",703837,4164,23110,25149,"WA",0.703837,70.3837
"73",1998,"3",1825655,10782,23211,25149,"WA",1.825655,182.5655
"74",1998,"4",187856,1650,12559,25149,"WA",0.187856,18.7856
"75",1998,"max",2349191,12641,24909,25149,"WA",2.349191,234.9191
"76",1999,"1",165076,210,6114,25149,"WA",0.165076,16.5076
"77",1999,"2",1063039,5485,23622,25149,"WA",1.063039,106.3039
"78",1999,"3",3450065,14918,23819,25149,"WA",3.450065,345.0065
"79",1999,"4",1039543,9701,24031,25149,"WA",1.039543,103.9543
"80",1999,"max",3988526,16672,24417,25149,"WA",3.988526,398.8526
"81",2000,"1",113808,411,10803,25149,"WA",0.113808,11.3808
"82",2000,"2",2532202,15451,24948,25149,"WA",2.532202,253.2202
"83",2000,"3",2763457,16620,25026,25149,"WA",2.763457,276.3457
"84",2000,"4",230467,3183,24955,25149,"WA",0.230467,23.0467
"85",2000,"max",3811143,20320,25035,25149,"WA",3.811143,381.1143
"86",2001,"1",3369,14,22349,25149,"WA",0.003369,0.3369
"87",2001,"2",813857,6856,25017,25149,"WA",0.813857,81.3857
"88",2001,"3",2224815,14729,23650,25149,"WA",2.224815,222.4815
"89",2001,"4",648377,7848,24379,25149,"WA",0.648377,64.8377
"90",2001,"max",2681480,17094,25033,25149,"WA",2.68148,268.148
"91",2002,"1",138655,637,24405,25149,"WA",0.138655,13.8655
"92",2002,"2",1783034,9908,24819,25149,"WA",1.783034,178.3034
"93",2002,"3",2510301,18760,25020,25149,"WA",2.510301,251.0301
"94",2002,"4",575220,9104,25007,25149,"WA",0.57522,57.522
"95",2002,"max",3424328,20488,25038,25149,"WA",3.424328,342.4328
"96",2003,"1",21488,359,24938,25149,"WA",0.021488,2.1488
"97",2003,"2",205652,1260,23365,25149,"WA",0.205652,20.5652
"98",2003,"3",1647311,13819,24901,25149,"WA",1.647311,164.7311
"99",2003,"4",147541,1664,24929,25149,"WA",0.147541,14.7541
"100",2003,"max",1761743,14213,24994,25149,"WA",1.761743,176.1743
"101",2004,"1",127075,998,24655,25149,"WA",0.127075,12.7075
"102",2004,"2",1390296,10128,24900,25149,"WA",1.390296,139.0296
"103",2004,"3",2464632,16893,24928,25149,"WA",2.464632,246.4632
"104",2004,"4",197995,2175,20450,25149,"WA",0.197995,19.7995
"105",2004,"max",2853590,18303,24931,25149,"WA",2.85359,285.359
"106",2005,"1",127550,1378,24945,25149,"WA",0.12755,12.755
"107",2005,"2",1787057,9438,24652,25149,"WA",1.787057,178.7057
"108",2005,"3",2011229,16805,25026,25149,"WA",2.011229,201.1229
"109",2005,"4",176799,2560,24257,25149,"WA",0.176799,17.6799
"110",2005,"max",2795103,18172,25036,25149,"WA",2.795103,279.5103
"111",2006,"1",3731,62,22065,25149,"WA",0.003731,0.3731
"112",2006,"2",2083549,10635,24889,25149,"WA",2.083549,208.3549
"113",2006,"3",2526700,17144,24930,25149,"WA",2.5267,252.67
"114",2006,"4",1600428,12134,24886,25149,"WA",1.600428,160.0428
"115",2006,"max",3573896,19298,24996,25149,"WA",3.573896,357.3896
"116",2007,"1",69339,483,24980,25149,"WA",0.069339,6.9339
"117",2007,"2",1244785,8874,24966,25149,"WA",1.244785,124.4785
"118",2007,"3",2143823,15711,24955,25149,"WA",2.143823,214.3823
"119",2007,"4",392552,3476,23379,25149,"WA",0.392552,39.2552
"120",2007,"max",2607548,17010,25038,25149,"WA",2.607548,260.7548
"121",2008,"1",39760,426,24190,25149,"WA",0.03976,3.976
"122",2008,"2",1419327,5945,22867,25149,"WA",1.419327,141.9327
"123",2008,"3",2446005,17555,24999,25149,"WA",2.446005,244.6005
"124",2008,"4",255154,1944,20671,25149,"WA",0.255154,25.5154
"125",2008,"max",3278649,18435,25038,25149,"WA",3.278649,327.8649
"126",2009,"1",60045,443,24677,25149,"WA",0.060045,6.0045
"127",2009,"2",2606939,13321,24979,25149,"WA",2.606939,260.6939
"128",2009,"3",1591405,13529,24381,25149,"WA",1.591405,159.1405
"129",2009,"4",112662,2427,24940,25149,"WA",0.112662,11.2662
"130",2009,"max",3236720,18458,25022,25149,"WA",3.23672,323.672
"131",2010,"1",18420,209,24223,25149,"WA",0.01842,1.842
"132",2010,"2",447202,2902,21461,25149,"WA",0.447202,44.7202
"133",2010,"3",1079313,8649,24349,25149,"WA",1.079313,107.9313
"134",2010,"4",694648,7427,25020,25149,"WA",0.694648,69.4648
"135",2010,"max",1767016,12455,25034,25149,"WA",1.767016,176.7016
"136",2011,"1",91536,1178,24876,25149,"WA",0.091536,9.1536
"137",2011,"2",1438354,11171,25027,25149,"WA",1.438354,143.8354
"138",2011,"3",3171679,14591,24905,25149,"WA",3.171679,317.1679
"139",2011,"4",418786,6234,25029,25149,"WA",0.418786,41.8786
"140",2011,"max",3458207,17370,25033,25149,"WA",3.458207,345.8207
"141",2012,"1",143946,1387,23744,25149,"WA",0.143946,14.3946
"142",2012,"2",1187088,5633,18944,25149,"WA",1.187088,118.7088
"143",2012,"3",3054991,12669,24444,25149,"WA",3.054991,305.4991
"144",2012,"4",110056,1056,12277,25149,"WA",0.110056,11.0056
"145",2012,"max",3527719,13999,25019,25149,"WA",3.527719,352.7719
"146",2013,"1",155645,522,18192,25149,"WA",0.155645,15.5645
"147",2013,"2",256897,1685,18652,25149,"WA",0.256897,25.6897
"148",2013,"3",1626310,11532,25145,25149,"WA",1.62631,162.631
"149",2013,"4",241771,3437,25148,25149,"WA",0.241771,24.1771
"150",2013,"max",1857167,12085,25149,25149,"WA",1.857167,185.7167
"151",2014,"1",70562,696,25099,25149,"WA",0.070562,7.0562
"152",2014,"2",2251596,8968,24970,25149,"WA",2.251596,225.1596
"153",2014,"3",1131379,10458,25148,25149,"WA",1.131379,113.1379
"154",2014,"4",54624,1317,24831,25149,"WA",0.054624,5.4624
"155",2014,"max",2522197,12495,25149,25149,"WA",2.522197,252.2197
"156",2015,"1",23079,330,25074,25149,"WA",0.023079,2.3079
"157",2015,"2",2098064,13178,25137,25149,"WA",2.098064,209.8064
"158",2015,"3",2880636,12518,24626,25149,"WA",2.880636,288.0636
"159",2015,"4",357474,7178,25144,25149,"WA",0.357474,35.7474
"160",2015,"max",3447037,16154,25149,25149,"WA",3.447037,344.7037
"161",2016,"1",52646,583,24979,25149,"WA",0.052646,5.2646
"162",2016,"2",852979,6619,25143,25149,"WA",0.852979,85.2979
"163",2016,"3",2067417,12078,25147,25149,"WA",2.067417,206.7417
"164",2016,"4",125159,1981,24201,25149,"WA",0.125159,12.5159
"165",2016,"max",2316384,13905,25149,25149,"WA",2.316384,231.6384
"166",2017,"1",86571,854,24978,25149,"WA",0.086571,8.6571
"167",2017,"2",1355041,6586,24981,25149,"WA",1.355041,135.5041
"168",2017,"3",2674981,14300,25148,25149,"WA",2.674981,267.4981
"169",2017,"4",440334,7298,25066,25149,"WA",0.440334,44.0334
"170",2017,"max",3009218,15646,25149,25149,"WA",3.009218,300.9218
"171",2018,"1",107231,735,21436,25149,"WA",0.107231,10.7231
"172",2018,"2",514836,4579,24817,25149,"WA",0.514836,51.4836
"173",2018,"3",2743884,15351,25149,25149,"WA",2.743884,274.3884
"174",2018,"4",459979,7526,25079,25149,"WA",0.459979,45.9979
"175",2018,"max",2834516,16072,25149,25149,"WA",2.834516,283.4516
"176",2019,"1",135356,1868,25148,25149,"WA",0.135356,13.5356
"177",2019,"2",2451053,10069,25142,25149,"WA",2.451053,245.1053
"178",2019,"3",2961329,16288,25136,25149,"WA",2.961329,296.1329
"179",2019,"4",188312,3212,24867,25149,"WA",0.188312,18.8312
"180",2019,"max",4113611,18370,25149,25149,"WA",4.113611,411.3611
"181",2020,"1",292805,2160,25065,25149,"WA",0.292805,29.2805
"182",2020,"2",881730,5760,25143,25149,"WA",0.88173,88.173
"183",2020,"3",2149137,14068,25149,25149,"WA",2.149137,214.9137
"184",2020,"4",281838,3872,25105,25149,"WA",0.281838,28.1838
"185",2020,"max",2492421,15339,25149,25149,"WA",2.492421,249.2421
"186",2021,"1",40043,186,23337,25149,"WA",0.040043,4.0043
"187",2021,"2",1332518,8809,25149,25149,"WA",1.332518,133.2518
"188",2021,"3",2889751,15713,25148,25149,"WA",2.889751,288.9751
"189",2021,"4",549497,6588,25119,25149,"WA",0.549497,54.9497
"190",2021,"max",3321621,17180,25149,25149,"WA",3.321621,332.1621
"191",2022,"1",88924,704,25096,25149,"WA",0.088924,8.8924
"192",2022,"2",1024339,5871,25146,25149,"WA",1.024339,102.4339
"193",2022,"3",1173839,8910,25149,25149,"WA",1.173839,117.3839
"194",2022,"4",344717,5096,25106,25149,"WA",0.344717,34.4717
"195",2022,"max",1666653,10725,25149,25149,"WA",1.666653,166.6653
"196",2023,"1",12757,99,23263,25149,"WA",0.012757,1.2757
"197",2023,"2",1589545,8172,25145,25149,"WA",1.589545,158.9545
"198",2023,"3",2090367,11707,25148,25149,"WA",2.090367,209.0367
"199",2023,"4",519629,3937,24916,25149,"WA",0.519629,51.9629
"200",2023,"max",2806636,13541,25149,25149,"WA",2.806636,280.6636
"201",2024,"1",48549,308,25124,25149,"WA",0.048549,4.8549
"202",2024,"2",917805,6566,25148,25149,"WA",0.917805,91.7805
"203",2024,"3",2033855,10910,25147,25149,"WA",2.033855,203.3855
"204",2024,"4",257277,3486,24742,25149,"WA",0.257277,25.7277
"205",2024,"max",2350202,12366,25149,25149,"WA",2.350202,235.0202
"206",1984,"1",0,0,0,12625,"OR",0,0
"207",1984,"2",105297,781,12557,12625,"OR",0.105297,10.5297
"208",1984,"3",311258,2784,12115,12625,"OR",0.311258,31.1258
"209",1984,"4",113582,533,5456,12625,"OR",0.113582,11.3582
"210",1984,"max",466863,3411,12608,12625,"OR",0.466863,46.6863
"211",1985,"1",85092,645,12146,12625,"OR",0.085092,8.5092
"212",1985,"2",75319,635,12554,12625,"OR",0.075319,7.5319
"213",1985,"3",1183518,5418,11975,12625,"OR",1.183518,118.3518
"214",1985,"4",613426,4242,12134,12625,"OR",0.613426,61.3426
"215",1985,"max",1332531,6402,12620,12625,"OR",1.332531,133.2531
"216",1986,"1",5124,43,10904,12625,"OR",0.005124,0.5124
"217",1986,"2",65042,471,12470,12625,"OR",0.065042,6.5042
"218",1986,"3",871291,5499,12299,12625,"OR",0.871291,87.1291
"219",1986,"4",102845,1198,12174,12625,"OR",0.102845,10.2845
"220",1986,"max",950113,5932,12602,12625,"OR",0.950113,95.0113
"221",1987,"1",6095,53,11743,12625,"OR",0.006095,0.6095
"222",1987,"2",29997,197,11586,12625,"OR",0.029997,2.9997
"223",1987,"3",136291,1071,12212,12625,"OR",0.136291,13.6291
"224",1987,"4",361,3,9412,12625,"OR",0.000361,0.0361
"225",1987,"max",164053,1220,12585,12625,"OR",0.164053,16.4053
"226",1988,"1",0,0,8996,12625,"OR",0,0
"227",1988,"2",100766,658,12500,12625,"OR",0.100766,10.0766
"228",1988,"3",622427,4337,12345,12625,"OR",0.622427,62.2427
"229",1988,"4",747,3,443,12625,"OR",0.000747,0.0747
"230",1988,"max",713220,4863,12599,12625,"OR",0.71322,71.322
"231",1989,"1",0,0,6,12625,"OR",0,0
"232",1989,"2",290492,1906,12004,12625,"OR",0.290492,29.0492
"233",1989,"3",1042189,6544,12480,12625,"OR",1.042189,104.2189
"234",1989,"4",788709,4710,11587,12625,"OR",0.788709,78.8709
"235",1989,"max",1436202,7880,12611,12625,"OR",1.436202,143.6202
"236",1990,"1",34520,164,3411,12625,"OR",0.03452,3.452
"237",1990,"2",107468,576,12400,12625,"OR",0.107468,10.7468
"238",1990,"3",1457007,6795,11988,12625,"OR",1.457007,145.7007
"239",1990,"4",1679257,6569,11007,12625,"OR",1.679257,167.9257
"240",1990,"max",2194616,8669,12559,12625,"OR",2.194616,219.4616
"241",1991,"1",102942,446,6975,12625,"OR",0.102942,10.2942
"242",1991,"2",347492,2102,12465,12625,"OR",0.347492,34.7492
"243",1991,"3",170727,1677,12411,12625,"OR",0.170727,17.0727
"244",1991,"4",42423,354,10277,12625,"OR",0.042423,4.2423
"245",1991,"max",484593,2967,12596,12625,"OR",0.484593,48.4593
"246",1992,"1",11172,72,11570,12625,"OR",0.011172,1.1172
"247",1992,"2",240804,1207,12249,12625,"OR",0.240804,24.0804
"248",1992,"3",125122,1913,12289,12625,"OR",0.125122,12.5122
"249",1992,"4",86654,1010,12439,12625,"OR",0.086654,8.6654
"250",1992,"max",411813,3235,12598,12625,"OR",0.411813,41.1813
"251",1993,"1",84055,617,12411,12625,"OR",0.084055,8.4055
"252",1993,"2",149579,1146,12486,12625,"OR",0.149579,14.9579
"253",1993,"3",82091,516,11893,12625,"OR",0.082091,8.2091
"254",1993,"4",80156,1315,12528,12625,"OR",0.080156,8.0156
"255",1993,"max",321040,2809,12619,12625,"OR",0.32104,32.104
"256",1994,"1",116220,772,12534,12625,"OR",0.11622,11.622
"257",1994,"2",79647,472,11850,12625,"OR",0.079647,7.9647
"258",1994,"3",391680,3574,11756,12625,"OR",0.39168,39.168
"259",1994,"4",317613,4323,12575,12625,"OR",0.317613,31.7613
"260",1994,"max",709219,6092,12618,12625,"OR",0.709219,70.9219
"261",1995,"1",105873,1008,12412,12625,"OR",0.105873,10.5873
"262",1995,"2",37907,448,11874,12625,"OR",0.037907,3.7907
"263",1995,"3",71441,1045,12428,12625,"OR",0.071441,7.1441
"264",1995,"4",12783,116,12232,12625,"OR",0.012783,1.2783
"265",1995,"max",189201,1845,12621,12625,"OR",0.189201,18.9201
"266",1996,"1",8893,40,12592,12625,"OR",0.008893,0.8893
"267",1996,"2",45482,332,12459,12625,"OR",0.045482,4.5482
"268",1996,"3",62747,609,11312,12625,"OR",0.062747,6.2747
"269",1996,"4",4933,31,10092,12625,"OR",0.004933,0.4933
"270",1996,"max",105756,842,12617,12625,"OR",0.105756,10.5756
"271",1997,"1",2714,16,11757,12625,"OR",0.002714,0.2714
"272",1997,"2",20285,136,12432,12625,"OR",0.020285,2.0285
"273",1997,"3",86821,1041,12434,12625,"OR",0.086821,8.6821
"274",1997,"4",15003,132,12549,12625,"OR",0.015003,1.5003
"275",1997,"max",120649,1272,12615,12625,"OR",0.120649,12.0649
"276",1998,"1",10014,18,11450,12625,"OR",0.010014,1.0014
"277",1998,"2",14024,97,12393,12625,"OR",0.014024,1.4024
"278",1998,"3",254958,1880,11975,12625,"OR",0.254958,25.4958
"279",1998,"4",176310,1985,12189,12625,"OR",0.17631,17.631
"280",1998,"max",343154,2726,12599,12625,"OR",0.343154,34.3154
"281",1999,"1",29360,255,12410,12625,"OR",0.02936,2.936
"282",1999,"2",17680,193,12099,12625,"OR",0.01768,1.768
"283",1999,"3",789425,7289,12558,12625,"OR",0.789425,78.9425
"284",1999,"4",984974,8122,12575,12625,"OR",0.984974,98.4974
"285",1999,"max",1254359,9230,12619,12625,"OR",1.254359,125.4359
"286",2000,"1",96795,474,11806,12625,"OR",0.096795,9.6795
"287",2000,"2",140008,1303,12439,12625,"OR",0.140008,14.0008
"288",2000,"3",618652,5334,12554,12625,"OR",0.618652,61.8652
"289",2000,"4",227466,2886,12557,12625,"OR",0.227466,22.7466
"290",2000,"max",764981,5911,12621,12625,"OR",0.764981,76.4981
"291",2001,"1",5515,65,12341,12625,"OR",0.005515,0.5515
"292",2001,"2",31707,355,12552,12625,"OR",0.031707,3.1707
"293",2001,"3",117212,1512,12555,12625,"OR",0.117212,11.7212
"294",2001,"4",26251,470,12468,12625,"OR",0.026251,2.6251
"295",2001,"max",144150,1776,12620,12625,"OR",0.14415,14.415
"296",2002,"1",9163,92,12560,12625,"OR",0.009163,0.9163
"297",2002,"2",18322,157,12520,12625,"OR",0.018322,1.8322
"298",2002,"3",61487,927,12413,12625,"OR",0.061487,6.1487
"299",2002,"4",30157,447,12585,12625,"OR",0.030157,3.0157
"300",2002,"max",91086,1157,12623,12625,"OR",0.091086,9.1086
"301",2003,"1",5872,38,12593,12625,"OR",0.005872,0.5872
"302",2003,"2",31750,346,12581,12625,"OR",0.03175,3.175
"303",2003,"3",150261,2118,12511,12625,"OR",0.150261,15.0261
"304",2003,"4",16148,157,12324,12625,"OR",0.016148,1.6148
"305",2003,"max",184315,2345,12624,12625,"OR",0.184315,18.4315
"306",2004,"1",58059,396,12479,12625,"OR",0.058059,5.8059
"307",2004,"2",49756,424,12437,12625,"OR",0.049756,4.9756
"308",2004,"3",66440,1106,12524,12625,"OR",0.06644,6.644
"309",2004,"4",34919,478,12573,12625,"OR",0.034919,3.4919
"310",2004,"max",171197,1713,12621,12625,"OR",0.171197,17.1197
"311",2005,"1",27944,310,12601,12625,"OR",0.027944,2.7944
"312",2005,"2",34033,173,12289,12625,"OR",0.034033,3.4033
"313",2005,"3",116606,1916,12430,12625,"OR",0.116606,11.6606
"314",2005,"4",95481,1139,12596,12625,"OR",0.095481,9.5481
"315",2005,"max",218169,2605,12622,12625,"OR",0.218169,21.8169
"316",2006,"1",14359,123,12177,12625,"OR",0.014359,1.4359
"317",2006,"2",43866,660,12553,12625,"OR",0.043866,4.3866
"318",2006,"3",126226,2123,12488,12625,"OR",0.126226,12.6226
"319",2006,"4",388395,3464,12517,12625,"OR",0.388395,38.8395
"320",2006,"max",461965,4331,12622,12625,"OR",0.461965,46.1965
"321",2007,"1",11004,52,12547,12625,"OR",0.011004,1.1004
"322",2007,"2",50935,464,12553,12625,"OR",0.050935,5.0935
"323",2007,"3",25041,467,12530,12625,"OR",0.025041,2.5041
"324",2007,"4",2236,26,10144,12625,"OR",0.002236,0.2236
"325",2007,"max",81902,868,12622,12625,"OR",0.081902,8.1902
"326",2008,"1",30957,133,12418,12625,"OR",0.030957,3.0957
"327",2008,"2",62650,781,12571,12625,"OR",0.06265,6.265
"328",2008,"3",273722,2528,12126,12625,"OR",0.273722,27.3722
"329",2008,"4",238348,1252,12147,12625,"OR",0.238348,23.8348
"330",2008,"max",440237,3288,12620,12625,"OR",0.440237,44.0237
"331",2009,"1",49442,262,12557,12625,"OR",0.049442,4.9442
"332",2009,"2",69274,423,12416,12625,"OR",0.069274,6.9274
"333",2009,"3",38285,603,12441,12625,"OR",0.038285,3.8285
"334",2009,"4",33149,210,12566,12625,"OR",0.033149,3.3149
"335",2009,"max",166537,1251,12621,12625,"OR",0.166537,16.6537
"336",2010,"1",27588,108,11924,12625,"OR",0.027588,2.7588
"337",2010,"2",122214,420,12329,12625,"OR",0.122214,12.2214
"338",2010,"3",91521,1027,12560,12625,"OR",0.091521,9.1521
"339",2010,"4",317104,2390,12480,12625,"OR",0.317104,31.7104
"340",2010,"max",469706,3183,12619,12625,"OR",0.469706,46.9706
"341",2011,"1",14332,135,12502,12625,"OR",0.014332,1.4332
"342",2011,"2",47014,349,11744,12625,"OR",0.047014,4.7014
"343",2011,"3",292050,4039,12541,12625,"OR",0.29205,29.205
"344",2011,"4",51023,508,12595,12625,"OR",0.051023,5.1023
"345",2011,"max",364404,4412,12619,12625,"OR",0.364404,36.4404
"346",2012,"1",4974,21,11790,12625,"OR",0.004974,0.4974
"347",2012,"2",18214,106,12097,12625,"OR",0.018214,1.8214
"348",2012,"3",134328,1535,12181,12625,"OR",0.134328,13.4328
"349",2012,"4",227967,1122,9091,12625,"OR",0.227967,22.7967
"350",2012,"max",316948,2002,12598,12625,"OR",0.316948,31.6948
"351",2013,"1",14835,80,11862,12625,"OR",0.014835,1.4835
"352",2013,"2",104362,607,12548,12625,"OR",0.104362,10.4362
"353",2013,"3",411084,4371,12532,12625,"OR",0.411084,41.1084
"354",2013,"4",98829,1125,12625,12625,"OR",0.098829,9.8829
"355",2013,"max",570090,5149,12625,12625,"OR",0.57009,57.009
"356",2014,"1",19405,138,12143,12625,"OR",0.019405,1.9405
"357",2014,"2",31921,370,12604,12625,"OR",0.031921,3.1921
"358",2014,"3",262967,2756,12541,12625,"OR",0.262967,26.2967
"359",2014,"4",187168,2156,12625,12625,"OR",0.187168,18.7168
"360",2014,"max",377365,3575,12625,12625,"OR",0.377365,37.7365
"361",2015,"1",14612,118,12625,12625,"OR",0.014612,1.4612
"362",2015,"2",22471,225,12585,12625,"OR",0.022471,2.2471
"363",2015,"3",114728,1445,12619,12625,"OR",0.114728,11.4728
"364",2015,"4",125533,1483,12625,12625,"OR",0.125533,12.5533
"365",2015,"max",189429,1989,12625,12625,"OR",0.189429,18.9429
"366",2016,"1",19241,51,12504,12625,"OR",0.019241,1.9241
"367",2016,"2",17150,176,12546,12625,"OR",0.01715,1.715
"368",2016,"3",236589,1607,12610,12625,"OR",0.236589,23.6589
"369",2016,"4",67116,619,12380,12625,"OR",0.067116,6.7116
"370",2016,"max",276218,1776,12625,12625,"OR",0.276218,27.6218
"371",2017,"1",3539,16,11801,12625,"OR",0.003539,0.3539
"372",2017,"2",38767,277,12480,12625,"OR",0.038767,3.8767
"373",2017,"3",402951,2618,12614,12625,"OR",0.402951,40.2951
"374",2017,"4",107317,1655,12625,12625,"OR",0.107317,10.7317
"375",2017,"max",445990,2885,12625,12625,"OR",0.44599,44.599
"376",2018,"1",41517,371,12606,12625,"OR",0.041517,4.1517
"377",2018,"2",59070,356,12603,12625,"OR",0.05907,5.907
"378",2018,"3",237493,1786,12616,12625,"OR",0.237493,23.7493
"379",2018,"4",190877,1552,12625,12625,"OR",0.190877,19.0877
"380",2018,"max",366174,2467,12625,12625,"OR",0.366174,36.6174
"381",2019,"1",26852,123,12625,12625,"OR",0.026852,2.6852
"382",2019,"2",53760,399,12523,12625,"OR",0.05376,5.376
"383",2019,"3",78776,711,12613,12625,"OR",0.078776,7.8776
"384",2019,"4",28325,363,12610,12625,"OR",0.028325,2.8325
"385",2019,"max",160584,1176,12625,12625,"OR",0.160584,16.0584
"386",2020,"1",23733,118,12277,12625,"OR",0.023733,2.3733
"387",2020,"2",39034,355,12601,12625,"OR",0.039034,3.9034
"388",2020,"3",303605,1592,12621,12625,"OR",0.303605,30.3605
"389",2020,"4",135007,1046,12614,12625,"OR",0.135007,13.5007
"390",2020,"max",360160,1895,12624,12625,"OR",0.36016,36.016
"391",2021,"1",7622,62,12551,12625,"OR",0.007622,0.7622
"392",2021,"2",33786,441,12587,12625,"OR",0.033786,3.3786
"393",2021,"3",126028,1073,12559,12625,"OR",0.126028,12.6028
"394",2021,"4",28673,337,12599,12625,"OR",0.028673,2.8673
"395",2021,"max",164103,1459,12625,12625,"OR",0.164103,16.4103
"396",2022,"1",23944,176,12607,12625,"OR",0.023944,2.3944
"397",2022,"2",26577,237,12609,12625,"OR",0.026577,2.6577
"398",2022,"3",86927,745,12621,12625,"OR",0.086927,8.6927
"399",2022,"4",22391,364,12568,12625,"OR",0.022391,2.2391
