sort order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,LEVEL,TRANSECT,DEPTH_M,DEPTH_FT,VIS_M,SURGE,HEADING,TEMP_C,TEMP_F,SPECIES,SEGMENT,QUANTITY,SIZE (MIN),SIZE (MAX),Cntrl+a,Notes
37,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3,L,30,,,EMLA,ALL,2,9,9,,
38,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3,L,30,,,EMLA,ALL,1,32,32,,
39,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,SEME,ALL,2,27,27,,
40,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,SEME,ALL,1,30,30,,
41,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,SEME,ALL,100,6,7,,
42,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,SEFL,ALL,5,6,6,,
43,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,SEMY,ALL,1,8,8,,
44,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,EMLA,ALL,3,9,9,,
45,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,EMLA,ALL,1,25,25,,
46,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3,L,30,,,EMLA,ALL,3,30,30,,
47,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,SEME,ALL,2,32,32,,
48,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,SEME,ALL,117,6,7,,
49,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,SEME,ALL,1,26,26,,
50,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,SEME,ALL,1,37,37,,
51,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,SEFL,ALL,20,6,6,,
52,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,SEMY,ALL,2,7,7,,
53,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,RHVA,ALL,1,27,27,,
54,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,EMLA,ALL,1,29,29,,
55,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,EMLA,ALL,3,9,9,,
56,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,HEDE,ALL,1,36,36,,
57,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3,L,30,,,HEDE,ALL,1,34,34,,
58,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,4,,20,3,L,30,,,SEME,ALL,70,6,7,,
59,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,4,,20,3,L,30,,,EMLA,ALL,3,9,9,,
60,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,SEME,ALL,2,38,38,,
61,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,SEME,ALL,1,29,29,,
62,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,SEME,ALL,35,6,6,,
63,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,SEFL,ALL,23,7,7,,
64,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,SCMA,ALL,1,39,39,,
65,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,EMLA,ALL,1,9,9,,
66,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,EMLA,ALL,1,30,30,,
67,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3,L,240,,,CHNU,ALL,1,12,12,,
68,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,SEME,ALL,1,30,30,,
69,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,SEME,ALL,1,32,32,,
70,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,SEME,ALL,2,35,35,,
71,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,SEME,ALL,1,40,40,,
72,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,SEME,ALL,78,6,6,,
73,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,SEFL,ALL,15,7,7,,
74,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,SEPI,ALL,3,5,5,,
75,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,EMLA,ALL,3,9,9,,
76,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,EMLA,ALL,1,7,7,,
77,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3,L,240,,,OPEL,ALL,1,67,67,,
78,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3,L,NE,,,SEBYT,ALL,3,6,6,,
79,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3,L,NE,,,EMLA,ALL,6,8,8,,
80,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3,L,NE,,,OPEL,ALL,1,65,65,,
81,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3,L,NE,,,HEDE,ALL,1,12,12,,
82,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,SEBYT,ALL,11,6,6,,
83,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,SEME,ALL,1,25,25,,
84,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,SEME,ALL,1,30,30,,
85,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,EMLA,ALL,2,7,7,,
86,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,EMLA,ALL,2,15,15,,
87,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,EMLA,ALL,2,20,20,,
88,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,EMLA,ALL,5,25,25,,
89,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,HEDE,ALL,1,12,12,,
90,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,HEDE,ALL,1,30,30,,
91,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,HEDE,ALL,1,50,50,,
92,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3,M,NE,,,HEDE,ALL,1,55,55,,
93,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,3,,26,3,M,NE,,,SEBYT,ALL,2,5,8,,
94,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,3,,26,3,M,NE,,,SEME,ALL,1,7,7,,
95,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,3,,26,3,M,NE,,,OPEL,ALL,1,80,80,,
96,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,SEBYT,ALL,29,6,6,,
97,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,SEME,ALL,1,25,25,,
98,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,SEME,ALL,3,30,30,,
99,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,SEME,ALL,4,35,35,,
100,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,RHVA,ALL,1,20,20,,
101,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,RHVA,ALL,1,25,25,,
102,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,EMLA,ALL,2,8,8,,
103,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,EMLA,ALL,1,15,15,,
104,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,EMLA,ALL,1,25,25,,
105,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,OPEL,ALL,1,45,45,,
106,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,HEDE,ALL,1,14,14,,
107,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,HEDE,ALL,1,45,45,,
108,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,4,,27,3,M,NE,,,HEDE,ALL,1,60,60,,
109,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,SEBYT,ALL,5,6,8,,
110,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,SEME,ALL,1,25,25,,
111,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,SEME,ALL,1,35,35,,
112,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,SEME,ALL,3,30,30,,
113,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,SEPI,ALL,1,10,10,,
114,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,EMLA,ALL,3,8,8,,
115,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,EMLA,ALL,2,15,15,,
116,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,EMLA,ALL,3,20,20,,
117,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,HEDE,ALL,1,35,35,,
118,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,5,,27,3,M,NE,,,HEDE,ALL,1,60,60,,
119,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,6,,25,3,M,NE,,,SEME,ALL,3,25,25,,
120,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,6,,25,3,M,NE,,,SEME,ALL,7,30,30,,
121,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,6,,25,3,M,NE,,,SEME,ALL,4,35,35,,
122,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,6,,25,3,M,NE,,,EMLA,ALL,3,10,10,,
123,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,6,,25,3,M,NE,,,EMLA,ALL,1,15,15,,
124,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,6,,25,3,M,NE,,,EMLA,ALL,4,25,25,,
125,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,6,,25,3,M,NE,,,HEDE,ALL,1,30,30,,
126,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,15,3,L,240,,,SEME,ALL,52,6,6,,
127,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,15,3,L,240,,,SEFL,ALL,170,7,7,,
128,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,15,3,L,240,,,SEMY,ALL,4,8,8,,
129,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,15,3,M,240,,,SEME,ALL,1,22,22,,
130,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,15,3,M,240,,,EMLA,ALL,1,22,22,,
131,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,15,3,M,240,,,HEDE,ALL,2,32,32,,
132,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,15,3,M,240,,,HEDE,ALL,1,16,16,,
133,2016,8,11,Tatoosh Island,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,15,3,M,240,,,HEDE,ALL,1,37,37,,
=======
31,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,SEME,ALL,1,28,28,,
32,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,SEME,ALL,1,35,35,,
33,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,SEME,ALL,2,38,38,,
34,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,SEME,ALL,2,42,42,,
35,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,SEFL,ALL,1,6,6,,
36,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,EMLA,ALL,1,27,27,,
37,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,EMLA,ALL,2,9,9,,
38,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,19,3.0,L,30,,,EMLA,ALL,1,32,32,,
39,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,SEME,ALL,2,27,27,,
40,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,SEME,ALL,1,30,30,,
41,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,SEME,ALL,100,6,7,,
42,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,SEFL,ALL,5,6,6,,
43,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,SEMY,ALL,1,8,8,,
44,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,EMLA,ALL,3,9,9,,
45,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,EMLA,ALL,1,25,25,,
46,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,16,3.0,L,30,,,EMLA,ALL,3,30,30,,
47,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,SEME,ALL,2,32,32,,
48,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,SEME,ALL,117,6,7,,
49,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,SEME,ALL,1,26,26,,
50,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,SEME,ALL,1,37,37,,
51,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,SEFL,ALL,20,6,6,,
52,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,SEMY,ALL,2,7,7,,
53,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,RHVA,ALL,1,27,27,,
54,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,EMLA,ALL,1,29,29,,
55,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,EMLA,ALL,3,9,9,,
56,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,HEDE,ALL,1,36,36,,
57,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,16,3.0,L,30,,,HEDE,ALL,1,34,34,,
58,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,4,,20,3.0,L,30,,,SEME,ALL,70,6,7,,
59,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,4,,20,3.0,L,30,,,EMLA,ALL,3,9,9,,
60,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,SEME,ALL,2,38,38,,
61,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,SEME,ALL,1,29,29,,
62,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,SEME,ALL,35,6,6,,
63,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,SEFL,ALL,23,7,7,,
64,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,SCMA,ALL,1,39,39,,
65,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,EMLA,ALL,1,9,9,,
66,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,EMLA,ALL,1,30,30,,
67,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,19,3.0,L,240,,,CHNU,ALL,1,12,12,,
68,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,SEME,ALL,1,30,30,,
69,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,SEME,ALL,1,32,32,,
70,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,SEME,ALL,2,35,35,,
71,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,SEME,ALL,1,40,40,,
72,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,SEME,ALL,78,6,6,,
73,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,SEFL,ALL,15,7,7,,
74,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,SEPI,ALL,3,5,5,,
75,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,EMLA,ALL,3,9,9,,
76,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,EMLA,ALL,1,7,7,,
77,2016,8,10,Cape Alava,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,18,3.0,L,240,,,OPEL,ALL,1,67,67,,
78,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.0,L,NE,,,SEBYT,ALL,3,6,6,,
79,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.0,L,NE,,,EMLA,ALL,6,8,8,,
80,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.0,L,NE,,,OPEL,ALL,1,65,65,,
81,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.0,L,NE,,,HEDE,ALL,1,12,12,,
82,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3.0,M,NE,,,SEBYT,ALL,11,6,6,,
83,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3.0,M,NE,,,SEME,ALL,1,25,25,,
84,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3.0,M,NE,,,SEME,ALL,1,30,30,,
85,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3.0,M,NE,,,EMLA,ALL,2,7,7,,
86,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3.0,M,NE,,,EMLA,ALL,2,15,15,,
87,2016,8,10,Cape Alava,Greg Williams,Chris Harvey,1,10,BOT,2,,28,3.0,M,NE,,,EMLA,ALL,2,20,20,,
