CLASSCODE,species,common_name,total_count,group,functional_group,group_rare,notes
ORTKOE,Orthasterias koehleri,rainbow star,62,large_seastar,seastar,large_seastar,
PAGSPP,Pagurus spp,hermit crabs,48,hermit_crabs,crabs,mobile_invert,
PARCAL,Parastichopus californicus,California sea cucumber,23,Cal_cuc,sea_cucumber,sea_cucumber,
PATMIN,Patiria miniata,bat star,135,med_seastar,seastar,med_seastar,
PELNOB,Peltodoris nobilis,Pacific sea lemon,64,large_nudibranch,large_nudibranch,mollusk,
PISBRE,Pisaster brevispinus,short spined star,7,large_sea_star,seastar,large_seastar,
PISGIG,Pisaster giganteus,giant spined star,1,large_sea_star,seastar,large_seastar,
PISOCH,Pisaster ochraceous,ochre star,266,P_ochraceous,seastar,large_seastar,
PODSPP,Pododesmus spp. ,jungle shells,6,bivalve,shelled_mollusk,mollusk,
PUGGRA,Pugettia gracilis,graceful kelp crab,25,kelp_crab,crabs,mobile_invert,
PUGPRO,Pugettia producta,kelp crab,23,kelp_crab,crabs,mobile_invert,
PYCHEL,Pycnopodia helianthoides,sunflower star,8,large_seastar,seastar,large_seastar,
SCALLOP,scallop,scallop,1,bivalve,shelled_mollusk,mollusk,
SCYDEC,Scyra spp.,decorator crab - moss crab,109,crabs,crabs,mobile_invert,
SOLSTI,Solaster stimpsoni,orange sun star,14,large_sea_star,seastar,large_seastar,
STARREC,sea star recruits,sea star recruits,69,sea_star_YOY,seastar,med_seastar,
STRDRO,Strongylocentrotus droebachiensis,green urchin,840,green_urchin,urchin,urchin,
STRPUR,Strongylocentrotus purpuratus,purple urchin,3611,purple_urchin,urchin,urchin,
STYMON,Styela montereyensis,stalked tunicate,1215,tunicate,tunicate,tunicate,
TEGSPP,Tegula spp.,turban snails,23,shelled_gastropod,shelled_mollusk,mollusk,
TRICAT,Triopha catalinae,sea clown nudibranch,31,med_nudibranch,med_nudibranch,mollusk,
UNIDSP,mobile_invert_unident,mobile_invert_unident,6,mobile_invert,mobile_invert,mobile_invert,
URTCRA,Urticina crassicornis,Christmas anemone,10,large_anemone,large_anemone,anemone,
URTLOF,Urticina lofotensis,white-spotted rose anemone,12,large_anemone,large_anemone,anemone,
URTPIS,Urticina piscivora,fish-eating anemone,9,large_anemone,large_anemone,anemone,
URTSPP,Urticina spp.,Urticina spp.,297,large_anemone,large_anemone,anemone,
