entry order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,HEADING,DEPTH (M),DEPTH (FT),SEGMENT,CATEGORY,CLASSCODE,COUNT,Cntrl a,notes,problems,,,,,,,,,,,,,,,,,,,,
17,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
18,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,10-20m,COVER,ZOSTERA,1,,,,,,,,,,,,,,,,,,,,,,,
19,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,SUBSTRATE,BEDRK,2,,,,,,,,,,,,,,,,,,,,,,,
20,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,SUBSTRATE,BOULD,1,,,,,,,,,,,,,,,,,,,,,,,
21,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,SUBSTRATE,SAND,7,,,,,,,,,,,,,,,,,,,,,,,
22,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,RELIEF,0-10cm,7,,,,,,,,,,,,,,,,,,,,,,,
23,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,RELIEF,10cm-1m,3,,,,,,,,,,,,,,,,,,,,,,,
24,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,COVER,BARSAN,7,,,,,,,,,,,,,,,,,,,,,,,
25,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
26,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,1,,,18,20-30m,COVER,PTERO,2,,,,,,,,,,,,,,,,,,,,,,,
27,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,0-10m,SUBSTRATE,BOULD,1,,,,,,,,,,,,,,,,,,,,,,,
28,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,0-10m,SUBSTRATE,SAND,9,,,,,,,,,,,,,,,,,,,,,,,
29,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,0-10m,RELIEF,0-10cm,10,,,,,,,,,,,,,,,,,,,,,,,
30,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,0-10m,COVER,BARSAN,7,,,,,,,,,,,,,,,,,,,,,,,
31,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,0-10m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
32,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,0-10m,COVER,BROWNUN,2,,,,,,,,,,,,,,,,,,,,,,,
33,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,10-20m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
34,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,10-20m,RELIEF,10cm-1m,10,,,,,,,,,,,,,,,,,,,,,,,
35,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,10-20m,COVER,LEAFYRED,6,,,,,,,,,,,,,,,,,,,,,,,
36,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,10-20m,COVER,CRUCOR,3,,,,,,,,,,,,,,,,,,,,,,,
37,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,10-20m,COVER,PTERO,1,,,,,,,,,,,,,,,,,,,,,,,
38,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,SUBSTRATE,BEDRK,8,,,,,,,,,,,,,,,,,,,,,,,
39,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,SUBSTRATE,COB,2,,,,,,,,,,,,,,,,,,,,,,,
40,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,RELIEF,10cm-1m,10,,,,,,,,,,,,,,,,,,,,,,,
41,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
42,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
43,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,COVER,MACPYR_HF,2,,,,,,,,,,,,,,,,,,,,,,,
44,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,COVER,BROWNUN,2,,,,,,,,,,,,,,,,,,,,,,,
45,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,2,,,20,20-30m,COVER,HYDROID,1,,,,,,,,,,,,,,,,,,,,,,,
46,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,0-10m,SUBSTRATE,SAND,10,,,,,,,,,,,,,,,,,,,,,,,
47,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,0-10m,RELIEF,0-10cm,7,,,,,,,,,,,,,,,,,,,,,,,
48,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,0-10m,RELIEF,10cm-1m,3,,,,,,,,,,,,,,,,,,,,,,,
49,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,0-10m,COVER,BARSAN,2,,,,,,,,,,,,,,,,,,,,,,,
50,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,0-10m,COVER,LEAFYRED,1,,,,,,,,,,,,,,,,,,,,,,,
51,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,0-10m,COVER,BROWNUN,7,,,,,,,,,,,,,,,,,,,,,,,
52,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,10-20m,SUBSTRATE,BOULD,1,,,,,,,,,,,,,,,,,,,,,,,
53,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,10-20m,SUBSTRATE,SAND,9,,,,,,,,,,,,,,,,,,,,,,,
54,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,10-20m,RELIEF,0-10cm,8,,,,,,,,,,,,,,,,,,,,,,,
55,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,10-20m,RELIEF,10cm-1m,2,,,,,,,,,,,,,,,,,,,,,,,
56,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,10-20m,COVER,BARSAN,8,,,,,,,,,,,,,,,,,,,,,,,
57,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,10-20m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
58,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,10-20m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
59,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,SUBSTRATE,BEDRK,7,,,,,,,,,,,,,,,,,,,,,,,
60,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,SUBSTRATE,BOULD,2,,,,,,,,,,,,,,,,,,,,,,,
61,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,SUBSTRATE,SAND,1,,,,,,,,,,,,,,,,,,,,,,,
62,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,RELIEF,0-10cm,2,,,,,,,,,,,,,,,,,,,,,,,
63,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,RELIEF,10cm-1m,8,,,,,,,,,,,,,,,,,,,,,,,
64,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
65,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,COVER,NEREO_HF,1,,,,,,,,,,,,,,,,,,,,,,,
66,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,COVER,PTERO,1,,,,,,,,,,,,,,,,,,,,,,,
67,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,3,,,15,20-30m,COVER,BROWNUN,5,,,,,,,,,,,,,,,,,,,,,,,
68,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,0-10m,SUBSTRATE,BEDRK,3,,,,,,,,,,,,,,,,,,,,,,,
69,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,0-10m,SUBSTRATE,BOULD,7,,,,,,,,,,,,,,,,,,,,,,,
70,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,0-10m,RELIEF,0-10cm,1,,,,,,,,,,,,,,,,,,,,,,,
71,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,0-10m,RELIEF,10cm-1m,9,,,,,,,,,,,,,,,,,,,,,,,
72,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,0-10m,COVER,LEAFYRED,5,,,,,,,,,,,,,,,,,,,,,,,
73,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,0-10m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
74,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,0-10m,COVER,BROWNUN,4,,,,,,,,,,,,,,,,,,,,,,,
75,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,SUBSTRATE,BEDRK,4,,,,,,,,,,,,,,,,,,,,,,,
76,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,SUBSTRATE,BOULD,5,,,,,,,,,,,,,,,,,,,,,,,
77,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,SUBSTRATE,COB,1,,,,,,,,,,,,,,,,,,,,,,,
78,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,RELIEF,10cm-1m,4,,,,,,,,,,,,,,,,,,,,,,,
79,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,RELIEF,1m-2m,6,,,,,,,,,,,,,,,,,,,,,,,
80,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
81,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,COVER,LACY,1,,,,,,,,,,,,,,,,,,,,,,,
82,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
83,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,COVER,BROWNUN,4,,,,,,,,,,,,,,,,,,,,,,,
84,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,10-20m,COVER,HYDROID,1,,,,,,,,,,,,,,,,,,,,,,,
85,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,SUBSTRATE,BEDRK,4,,,,,,,,,,,,,,,,,,,,,,,
86,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,SUBSTRATE,BOULD,6,,,,,,,,,,,,,,,,,,,,,,,
87,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,RELIEF,10cm-1m,5,,,,,,,,,,,,,,,,,,,,,,,
88,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,RELIEF,1m-2m,5,,,,,,,,,,,,,,,,,,,,,,,
89,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,COVER,LEAFYRED,4,,,,,,,,,,,,,,,,,,,,,,,
90,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,COVER,LACY,2,,,,,,,,,,,,,,,,,,,,,,,
91,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
92,2016,8,12,Neah Bay,Kinsey Frick,Steve Lonhart,1,5,4,,,17,20-30m,COVER,BROWNUN,3,,,,,,,,,,,,,,,,,,,,,,,
93,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,0-10m,SUBSTRATE,BEDRK,8,,,,,,,,,,,,,,,,,,,,,,,
94,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,0-10m,SUBSTRATE,SAND,2,,,,,,,,,,,,,,,,,,,,,,,
95,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,0-10m,RELIEF,0-10cm,9,,,,,,,,,,,,,,,,,,,,,,,
96,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,0-10m,RELIEF,10cm-1m,1,,,,,,,,,,,,,,,,,,,,,,,
97,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,0-10m,COVER,SHELL,5,,,,,,,,,,,,,,,,,,,,,,,
98,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,0-10m,COVER,BRANCH,2,,,,,,,,,,,,,,,,,,,,,,,
99,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,0-10m,COVER,BROWNUN,3,,,,,,,,,,,,,,,,,,,,,,,
100,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,SUBSTRATE,BEDRK,8,,,,,,,,,,,,,,,,,,,,,,,
101,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,SUBSTRATE,SAND,2,,,,,,,,,,,,,,,,,,,,,,,
102,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,RELIEF,0-10cm,9,,,,,,,,,,,,,,,,,,,,,,,
103,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,RELIEF,10cm-1m,1,,,,,,,,,,,,,,,,,,,,,,,
104,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,COVER,SHELL,2,,,,,,,,,,,,,,,,,,,,,,,
105,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,COVER,BRANCH,5,,,,,,,,,,,,,,,,,,,,,,,
106,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,COVER,LEAFYRED,1,,,,,,,,,,,,,,,,,,,,,,,
107,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,COVER,LACY,1,,,,,,,,,,,,,,,,,,,,,,,
108,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,10-20m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
109,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,SUBSTRATE,BEDRK,8,,,,,,,,,,,,,,,,,,,,,,,
110,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,SUBSTRATE,BOULD,1,,,,,,,,,,,,,,,,,,,,,,,
111,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,SUBSTRATE,sand,1,,,,,,,,,,,,,,,,,,,,,,,
112,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,RELIEF,0-10cm,10,,,,,,,,,,,,,,,,,,,,,,,
113,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,COVER,SHELL,1,,,,,,,,,,,,,,,,,,,,,,,
114,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,COVER,BRANCH,5,,,,,,,,,,,,,,,,,,,,,,,
115,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
116,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,COVER,PTERO,1,,,,,,,,,,,,,,,,,,,,,,,
117,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,,,30,20-30m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
118,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,0-10m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
119,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,0-10m,RELIEF,0-10cm,10,,,,,,,,,,,,,,,,,,,,,,,
120,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,0-10m,COVER,SHELL,1,,,,,,,,,,,,,,,,,,,,,,,
121,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,0-10m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
122,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,0-10m,COVER,LACY,2,,,,,,,,,,,,,,,,,,,,,,,
123,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,0-10m,COVER,BROWNUN,4,,,,,,,,,,,,,,,,,,,,,,,
124,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,10-20m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
125,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,10-20m,RELIEF,0-10cm,9,,,,,,,,,,,,,,,,,,,,,,,
126,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,10-20m,RELIEF,10cm-1m,1,,,,,,,,,,,,,,,,,,,,,,,
127,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,10-20m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
128,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,10-20m,COVER,LACY,2,,,,,,,,,,,,,,,,,,,,,,,
129,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,10-20m,COVER,NEREO_HF,1,,,,,,,,,,,,,,,,,,,,,,,
130,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,10-20m,COVER,BROWNUN,4,,,,,,,,,,,,,,,,,,,,,,,
131,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,20-30m,SUBSTRATE,BEDRK,9,,,,,,,,,,,,,,,,,,,,,,,
132,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,20-30m,SUBSTRATE,COB,1,,,,,,,,,,,,,,,,,,,,,,,
133,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,20-30m,RELIEF,0-10cm,10,,,,,,,,,,,,,,,,,,,,,,,
134,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,20-30m,COVER,BARROC,1,,,,,,,,,,,,,,,,,,,,,,,
135,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,20-30m,COVER,BRANCH,2,,,,,,,,,,,,,,,,,,,,,,,
136,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,20-30m,COVER,LACY,2,,,,,,,,,,,,,,,,,,,,,,,
137,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,,,32,20-30m,COVER,BROWNUN,5,,,,,,,,,,,,,,,,,,,,,,,
138,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,SUBSTRATE,BEDRK,9,,,,,,,,,,,,,,,,,,,,,,,
139,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,SUBSTRATE,SAND,1,,,,,,,,,,,,,,,,,,,,,,,
140,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,RELIEF,0-10cm,10,,,,,,,,,,,,,,,,,,,,,,,
141,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,COVER,BARSAN,1,,,,,,,,,,,,,,,,,,,,,,,
142,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,COVER,BRANCH,4,,,,,,,,,,,,,,,,,,,,,,,
143,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
144,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,COVER,NEREO_HF,1,,,,,,,,,,,,,,,,,,,,,,,
145,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,0-10m,COVER,BROWNUN,3,,,,,,,,,,,,,,,,,,,,,,,
146,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,10-20m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
147,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,10-20m,RELIEF,0-10cm,8,,,,,,,,,,,,,,,,,,,,,,,
148,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,10-20m,RELIEF,10cm-1m,2,,,,,,,,,,,,,,,,,,,,,,,
149,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,10-20m,COVER,BRANCH,3,,,,,,,,,,,,,,,,,,,,,,,
150,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,10-20m,COVER,LACY,3,,,,,,,,,,,,,,,,,,,,,,,
151,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,10-20m,COVER,ARTCOR,1,,,,,,,,,,,,,,,,,,,,,,,
152,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,10-20m,COVER,BROWNUN,3,,,,,,,,,,,,,,,,,,,,,,,
153,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,20-30m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
154,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,20-30m,RELIEF,0-10cm,6,,,,,,,,,,,,,,,,,,,,,,,
155,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,20-30m,RELIEF,10cm-1m,2,,,,,,,,,,,,,,,,,,,,,,,
156,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,20-30m,RELIEF,1m-2m,2,,,,,,,,,,,,,,,,,,,,,,,
157,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,20-30m,COVER,BRANCH,3,,,,,,,,,,,,,,,,,,,,,,,
158,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,20-30m,COVER,LACY,5,,,,,,,,,,,,,,,,,,,,,,,
159,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,,,33,20-30m,COVER,BROWNUN,2,,,,,,,,,,,,,,,,,,,,,,,
160,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,4,,,34,0-10m,SUBSTRATE,BEDRK,9,,,,,,,,,,,,,,,,,,,,,,,
161,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,4,,,34,0-10m,SUBSTRATE,BOULD,1,,,,,,,,,,,,,,,,,,,,,,,
162,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,4,,,34,0-10m,RELIEF,0-10cm,3,,,,,,,,,,,,,,,,,,,,,,,
