Site,Date,Observer,Transect,Quadrat,Quadrat.loc,Depth.ft,Species,Count,Size.cm,Percent.cover,Categorical.abundance,Notes,Transect area (inverts),Transect area (fish),Transect area (stipes),"Echinoderm size (TD, TR, BD, BR; T=Total, B=Basal, D=Diameter, R=Radius, L=length)",,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,Shell hash,NA,NA,50,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,Coralline encrusting,NA,NA,trace,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,Bryozoan,NA,NA,trace,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,orange cup coral,10,0.5,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,Anthopleura xanthogrammica,1,12,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,Urticina crassicornis,1,8,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,2,14,16,lightbulb tunicate,20,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,3,21,20,Foliose red algae,NA,NA,40,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,3,21,20,Rock,NA,NA,30,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,3,21,20,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,3,21,20,Laminaria,NA,NA,20,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,3,21,20,hermit crab,6,1,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,3,21,20,Calliostoma,1,1,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,3,21,20,lightbulb tunicate,10,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Foliose red algae,NA,NA,50,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Coralline encrusting,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Sponge,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,orange cup coral,50,0.5,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Henricia leviuscula,1,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Tegula,2,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Crossaster papposus,2,1,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,Scyra acutifrons,1,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,hermit crab,1,1,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,lightbulb tunicate,20,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,1,4,28,21,YOY rockfish,6,5,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,Foliose red algae,NA,NA,40,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,Rock,NA,NA,30,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,Shell hash,NA,NA,30,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,Amphissa,12,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,hermit crab,1,3,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,hermit crab,1,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,lightbulb tunicate,30,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,lightbulb tunicate,5,3,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,1,7,11,sculpin,1,8,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,2,14,16,Foliose red algae,NA,NA,90,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,2,14,16,Rock,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,2,14,16,Bryozoan,NA,NA,trace,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,2,14,16,orange cup coral,10,0.5,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,2,14,16,lightbulb tunicate,30,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,Foliose red algae,NA,NA,30,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,Rock,NA,NA,60,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,orange cup coral,10,0.5,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,Amphissa,13,1,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,Amphissa,4,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,Amphissa,2,3,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,hermit crab,2,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,3,21,23,lightbulb tunicate,20,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,Foliose red algae,NA,NA,40,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,Rock,NA,NA,45,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,yellow social tunicate,NA,NA,5,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,Laminaria,NA,NA,trace,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,orange cup coral,25,0.5,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,Triophe catalinidae,1,2,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,Triophe catalinidae,1,3,NA,NA,,,,,,,,,,,,,,
Anderson Point,8/6/15,CH,2,4,28,23,lightbulb tunicate,20,2,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,NA,NA,NA,Henricia leviuscula,1,6,NA,NA,,30,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,NA,NA,NA,Cucumaria,1,10,NA,NA,,30,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,1,21,17,Laminaria,NA,NA,60,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,1,21,17,Rock,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,1,21,17,Coralline encrusting,NA,NA,20,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,1,21,17,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,Foliose red algae,NA,NA,5,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,Laminaria,NA,NA,20,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,Pterygophora californica,NA,NA,20,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,Sand,NA,NA,20,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,Phyllospadix,NA,NA,5,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,1,2,28,17,hermit crab,2,2,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,Foliose red algae,NA,NA,5,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,Laminaria,NA,NA,40,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,Nereocystis luetkeana,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,Coralline encrusting,NA,NA,20,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,Phyllospadix,NA,NA,5,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,orange cup coral,6,1,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,Diodora aspera,1,2,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,1,1,17,green urchin,1,1,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Foliose red algae,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Laminaria,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Rock,NA,NA,65,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Coralline encrusting,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Phyllospadix,NA,NA,5,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,orange cup coral,6,1,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Diodora aspera,1,1,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Hermissenda crassicornis,1,2,NA,NA,Flabellina trilineata field ID,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Chiton,1,2,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,tube worm,1,NA,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,2,5,21,Nucella spp.,1,1,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Foliose red algae,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Laminaria,NA,NA,30,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Rock,NA,NA,30,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Sand,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Coralline encrusting,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Phyllospadix,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,orange cup coral,5,0.5,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Nucella spp.,1,2,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Lirabuccinum dirum,1,3,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Lirabuccinum dirum,2,2,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,3,14,21,Snail,10,0.2,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,4,21,20,Foliose red algae,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,4,21,20,Laminaria,NA,NA,60,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,4,21,20,Rock,NA,NA,30,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,4,21,20,Coralline encrusting,NA,NA,10,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,4,21,20,orange cup coral,3,0.5,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,4,21,20,Bittium,1,1,NA,NA,,,,,,,,,,,,,,
Chibadehl Rocks,8/7/15,CH,2,4,21,20,Nucella spp.,1,2,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Henricia leviuscula,2,4,NA,NA,"There were also several large limpets on the stipes of Macrocystis but I missed them, not sure what species, size, count",30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Henricia leviuscula,1,8,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Henricia leviuscula,2,10,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Styela,1,10,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Styela,1,20,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Scyra acutifrons,1,6,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Cucumaria,1,NA,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Montereina nobilis,1,8,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Doris odhneri,1,5,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Mesocentrotus purpuratus,2,6,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,NA,NA,NA,Mesocentrotus purpuratus,1,4,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Henricia leviuscula,1,6,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Henricia leviuscula,1,3,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Scyra acutifrons,1,5,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Montereina nobilis,2,10,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Montereina nobilis,1,8,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Triophe catalinidae,1,10,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Triophe catalinidae,1,8,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,NA,NA,NA,Gumboot chiton,1,25,NA,NA,,30,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Pleurophycus gardneri,NA,NA,5,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Foliose red algae,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Coralline encrusting,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Bryozoan,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Shell hash,NA,NA,5,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Sponge,NA,NA,trace,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Leptasterias hexactis,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Calliostoma,2,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Calliostoma,1,2,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,orange cup coral,50,0.2,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,orange cup coral,2,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,1,7,15,Lirabuccinum dirum,2,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,Macrocystis pyrifera,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,Foliose red algae,NA,NA,50,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,Coralline encrusting,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,hermit crab,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,hermit crab,1,2,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,Calliostoma,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,orange cup coral,2,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,2,15,17,Little white seastar,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,3,20,17,Pterygophora californica,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,3,20,17,Rock,NA,NA,50,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,3,20,17,Foliose red algae,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,3,20,17,Shell hash,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,3,20,17,Ceratostoma,1,4,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,3,20,17,Lirabuccinum dirum,2,3,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,Foliose red algae,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,Coralline encrusting,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,Bryozoan,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,Chiton,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,Little white seastar,2,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,orange cup coral,20,0.2,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,1,4,27,16,tube worm,2,NA,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Pterygophora californica,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Foliose red algae,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Coralline encrusting,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Sand,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Pleurophycus gardneri,NA,NA,trace,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Bryozoan,NA,NA,trace,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Sponge,NA,NA,trace,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Leptasterias hexactis,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Seastar,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,1,6,18,Bittium,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,2,13,16,Laminaria,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,2,13,16,Foliose red algae,NA,NA,50,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,2,13,16,Coralline encrusting,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,2,13,16,Sand,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,2,13,16,Bryozoan,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,2,13,16,Acmaea mitra,1,6,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,3,19,16,Pterygophora californica,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,3,19,16,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,3,19,16,Foliose red algae,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,3,19,16,Macrocystis pyrifera,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,3,19,16,Coralline encrusting,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,3,19,16,Bryozoan,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,3,19,16,Calliostoma,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Macrocystis pyrifera,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Foliose red algae,NA,NA,10,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Coralline encrusting,NA,NA,30,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Sand,NA,NA,20,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Sponge,NA,NA,trace,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Leptasterias hexactis,1,1,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,Diodora aspera,1,2,NA,NA,,,,,,,,,,,,,,
Neah Bay,8/7/15,CH,2,4,27,14,orange cup coral,50,0.5,NA,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,1,7,21,Bacterial mat,NA,NA,80,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,1,7,21,Nereocystis luetkeana,NA,NA,10,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,1,7,21,Coralline encrusting,NA,NA,10,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,1,7,21,Calliostoma,4,2,NA,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,1,7,21,Alia,300,1,NA,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Foliose red algae,NA,NA,20,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Sand,NA,NA,10,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Pterygophora californica,NA,NA,10,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Nereocystis luetkeana,NA,NA,10,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Rock,NA,NA,50,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Calliostoma,1,2,NA,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,hermit crab,1,1,NA,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Seastar,1,1,NA,NA,small white 5 arm,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,orange cup coral,4,1,NA,NA,,,,,,,,,,,,,,
Tatoosh,8/6/15,CH,1,2,14,22,Kelp greenling,1,5,NA,NA,,,,,,,,,,,,,,
