SITE,Year,Survey,Source,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,n.quad,urchins.n.per.m2,urchins.n.per.m2.sd,sea.cucs.n.per.m2,sea.cucs.n.per.m2.sd,crabs.n.per.m2,crabs.n.per.m2.sd,chitons.n.per.m2,chitons.n.per.m2.sd,scallops.n.per.m2,scallops.n.per.m2.sd,nudis.n.per.m2,nudis.n.per.m2.sd,limpets.n.per.m2,limpets.n.per.m2.sd,gastropod.n.per.m2,gastropod.n.per.m2.sd,seastar.DI.n.per.m2.mean,seastar.Et.n.per.m2.mean,seastar.Hl.n.per.m2.mean,seastar.Lh.n.per.m2.mean,seastar.Ok.n.per.m2.mean,seastar.Ph.n.per.m2.mean,seastar.Po.n.per.m2.mean,seastar.Sod.n.per.m2.mean,seastar.Ss.n.per.m2.mean,seastar.DI.n.per.m2.sd,seastar.Et.n.per.m2.sd,seastar.Hl.n.per.m2.sd,seastar.Lh.n.per.m2.sd,seastar.Ok.n.per.m2.sd,seastar.Ph.n.per.m2.sd,seastar.Po.n.per.m2.sd,seastar.Sod.n.per.m2.sd,seastar.Ss.n.per.m2.sd
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,18-21,32,6.25,12.1,0,0,0,0,0,0,0.13,0.71,0,0,,,,,,,,,,,,,,,,,,,,,,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-horiz,13,1.23,4.44,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-slope,27,13.33,15.21,0,0,0,0,0.15,0.77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,12,30,35.33,16.21,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,19.061,124,40.307,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,18.387,124,40.307,6,30,0,0,0,0.56,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,30,0,0,0.27,1.02,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,58.385,124,41.037,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,57.026,124,40.201,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,52.16,124,36.324,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,18,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,6,28,0,0,0,0,0,0,0.14,0.76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,12,32,0.25,0.98,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,18,30,0,0,0.13,0.73,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,12,30,0,0,0.13,0.73,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,18,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,12,25,0,0,3.04,4.66,0,0,0,0,0.32,1.11,0,0,,,,,,,,,,,,,,,,,,,,,,
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.892,124,28.452,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,6,30,0,0,0.13,0.73,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,50,21.14,9.36,0.24,0.59,0,0,0.04,0.2,0,0,,,0.24,,0.7,2.17,0.06,0,0.24,0,0.14,0.22,0.02,0,0,0.2,0,0.5,0,0.4,0.5,0.1,0,0
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,50,12.3,9.93,0.36,0.66,0,0,0.04,0.2,0,0,,,0.4,,0.56,1.07,0.1,0,0.2,0,0.12,0.28,0.04,0.02,0,0.3,0,0.5,0,0.4,0.6,0.3,0.1,0
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,99,3.33,2.611,0.3,0.61,0,0,0.06,,0.02,0.14,,,0.06,,0.29,0.7,0.08,0.01,0.21,0.04,0,0.11,0.01,0,0,0.3,0.1,0.5,0.2,0,0.3,0.1,0,0
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,49,6.69,3.63,0.1,0.31,0,0,0.39,,0,0,,,0.67,,0.59,1.72,0,0,0.18,0.04,0,0.02,0.06,0,0,0,0,0.4,0.2,0,0.1,0.2,0,0
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,35,4.42,5.022,0,0,0,0,0.11,0,0,0,,,0,,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,100,0.49,0.141,0.99,1.67,0.18,0.5,0.59,,0.03,0.22,,,0.65,,3.95,4.79,0,0.16,0.35,0.56,0,0.05,0.1,0,0,0,0.5,0.7,1.2,0,0.2,0.4,0,0
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,50,0.12,0,0.22,0.62,0,0,0.22,,0.14,0.76,,,0.16,,0.32,0.55,0.02,0.06,0.14,0.02,0,0.06,0,0,0.02,0.1,0.2,0.4,0.1,0,0.2,0,0,0.1
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,50,0.48,0.303,1.06,1.62,0.02,0.14,0.4,,0.1,0.36,,,0.96,,1.18,1.79,0,0.08,0.36,0.1,0,0.02,0.04,0.02,0,0,0.3,0.7,0.6,0,0.1,0.2,0.1,0
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,100,0.33,0.753,1.31,2.21,0.15,0.5,0.36,,0.19,0.46,,,0.06,,2.01,3.77,0.03,0.07,0.51,0.12,0,0.01,0.13,0.01,0,0.2,0.3,0.9,0.6,0,0.1,0.4,0.1,0
