Site,Duplicate,match.2015.name,Latitude,Longitude,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,n.quad,urchins.n.per.m2,urchins.n.per.m2.sd,sea.cucs.n.per.m2,sea.cucs.n.per.m2.sd,crabs.n.per.m2,crabs.n.per.m2.sd,chitons.n.per.m2,chitons.n.per.m2.sd,scallops.n.per.m2,scallops.n.per.m2.sd,nudis.n.per.m2,nudis.n.per.m2.sd,limpets.n.per.m2,limpets.n.per.m2.sd,gastropod.n.per.m2,gastropod.n.per.m2.sd,Year,Survey,Source
Rock #305,,Rock 305,47. 57.026'N,124. 40.201'W,47,57.026,124,40.201,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Teawhit Head,,Teahwhit Head,47. 52.160'N,124. 36.324'W,47,52.16,124,36.324,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Cape Flattery,,,48. 23.304'N,124. 43.382'W,48,23.304,124,43.382,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Cape Flattery,,,48. 23.304'N,124. 43.382'W,48,23.304,124,43.382,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Cape Flattery,,,48. 23.304'N,124. 43.382'W,48,23.304,124,43.382,18,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Tatoosh Island,,Tatoosh Island,48. 23.428' N,124. 44.283'W,48,23.428,124,44.283,6,28,0,0,0,0,0,0,0.14,0.76,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Tatoosh Island,,,48. 23.428' N,124. 44.283'W,48,23.428,124,44.283,12,32,0.25,0.98,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
W. Chibahdehl,,Chibadehl Rocks,48. 23.583'N,124. 40.721'W,48,23.583,124,40.721,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
W. Chibahdehl,,,48. 23.583'N,124. 40.721'W,48,23.583,124,40.721,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
W. Chibahdehl,,,48. 23.583'N,124. 40.721'W,48,23.583,124,40.721,18,30,0,0,0.13,0.73,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Umatilla Reef,,,48. 11.045' N,124. 47.093'W,48,11.045,124,47.093,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Umatilla Reef,,,48. 11.045' N,124. 47.093'W,48,11.045,124,47.093,12,30,0,0,0.13,0.73,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Umatilla Reef,,,48. 11.045' N,124. 47.093'W,48,11.045,124,47.093,18,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Perkins Reef,,,47. 46.3'N,124. 30.2'W,47,46.3,124,30.2,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Perkins Reef,,,47. 46.3'N,124. 30.2'W,47,46.3,124,30.2,12,25,0,0,3.04,4.66,0,0,0,0,0.32,1.11,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Destruction Island E,,,47. 40.892'N,124. 28.452'W,47,40.892,124,28.452,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Destruction Island SW,,Destruction Island SW,47. 40.294'N,124. 29.148'W,47,40.294,124,29.148,6,30,0,0,0.13,0.73,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Destruction Island SW,,,47. 40.294'N,124. 29.148'W,47,40.294,124,29.148,12,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1999,Quadrat,"Kvitek 1999, Appx B1-99"
Neah Bay (in),,Neah Bay,,,,,,,,50,21.14,9.36,0.24,0.59,0,0,0.04,0.2,0,0,,,0.24,,0.7,2.17,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Neah Bay (out),,,,,,,,,,50,12.3,9.93,0.36,0.66,0,0,0.04,0.2,0,0,,,0.4,,0.56,1.07,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Anderson Pt. (Osprey I),,Anderson Point,48. 18.387' N,124. 40.307'W,48,18.387,124,40.307,,99,3.33,2.611,0.3,0.61,0,0,0.06,,0.02,0.14,,,0.06,,0.29,0.7,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Makah Bay,,,48. 19.061' N,124. 40.307'W,48,19.061,124,40.307,,49,6.69,3.63,0.1,0.31,0,0,0.39,,0,0,,,0.67,,0.59,1.72,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Pt. of the Arches,,,,,,,,,,35,4.42,5.022,0,0,0,0,0.11,0,0,0,,,0,,0,0,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Alava,,Cape Alava,,,,,,,,100,0.49,0.141,0.99,1.67,0.18,0.5,0.59,,0.03,0.22,,,0.65,,3.95,4.79,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Cape Johnson,,Cape Johnson,47. 58.385'N,124. 41.037'W,47,58.385,124,41.037,,50,0.12,0,0.22,0.62,0,0,0.22,,0.14,0.76,,,0.16,,0.32,0.55,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Rock #305,,Rock 305,47. 57.026'N ,124. 40.201'W,47,57.026,124,40.201,,50,0.48,0.303,1.06,1.62,0.02,0.14,0.4,,0.1,0.36,,,0.96,,1.18,1.79,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
Teawhit Head,,Teahwhit Head,47. 52.160'N ,124. 36.324'W,47,52.16,124,36.324,,100,0.33,0.753,1.31,2.21,0.15,0.5,0.36,,0.19,0.46,,,0.06,,2.01,3.77,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
