Year,Site,Region,Count.Independent,Count.Pups,Count.Total,Site code for analysis,Notes
2007,OZETTE I.,Central,1,0,1,CA,
2007,OZETTE/CAPE ALAVA/BODELTEH*,Central,31,11,42,CA,
2008,OZETTE I.,Central,9,1,10,CA,
2008,OZETTE/CAPE ALAVA/BODELTEH*,Central,43,8,51,CA,
2010,OZETTE ISLAND,Central,4,0,4,CA,
2010,OZETTE RIVER,Central,0,0,0,CA,
2010,OZETTE/CAPE ALAVA/BODELTEH*,Central,54,14,68,CA,
2011,OZETTE ISLAND,Central,5,1,6,CA,
2011,OZETTE RIVER,Central,2,0,2,CA,
2011,OZETTE/CAPE ALAVA/BODELTEH*,Central,8,3,11,CA,
2012,OZETTE I.,Central,14,1,15,CA,
2012,OZETTE RIVER,Central,0,0,0,CA,
2012,OZETTE/CAPE ALAVA/BODELTEH,Central,3,1,4,CA,
2012,UMATILLA REEF,Central,0,0,0,CA,
2012,WEST END OF BODELTEH,Central,0,0,0,CA,
2013,OZETTE/CAPE ALAVA/BODELTEH,Central,30,6,36,CA,
2013,SOUTH OF OZETTE RIVER,Central,2,0,2,CA,
2015,OZETTE/CAPE ALAVA/BODELTEH*,Central,48,4,52,CA,
2015,S. OF OZETTE RIVER,Central,1,0,1,CA,
1977,Bluff Point,Central,NA,NA,0,CJR3,
1977,Cape Johnson,Central,NA,NA,1,CJR3,
1977,S. Cape Johnson,Central,NA,NA,0,CJR3,
1978,Bluff Point,Central,NA,NA,0,CJR3,
1978,Cape Johnson,Central,NA,NA,0,CJR3,
1978,S. Cape Johnson,Central,NA,NA,0,CJR3,
1981,Bluff Point,Central,NA,NA,0,CJR3,
1981,Cape Johnson,Central,NA,NA,11,CJR3,
1981,S. Cape Johnson,Central,NA,NA,0,CJR3,
1983,Bluff Point,Central,NA,NA,0,CJR3,
1983,Cape Johnson,Central,NA,NA,9,CJR3,
1983,S. Cape Johnson,Central,NA,NA,0,CJR3,
1985,Bluff Point,Central,NA,NA,0,CJR3,
1985,Cape Johnson,Central,NA,NA,4,CJR3,
1985,S. Cape Johnson,Central,NA,NA,0,CJR3,
1987,Bluff Point,Central,NA,NA,0,CJR3,
1987,Cape Johnson,Central,NA,NA,25,CJR3,
1987,S. Cape Johnson,Central,NA,NA,2,CJR3,
1989,Bluff Point,Central,NA,NA,0,CJR3,
1989,Cape Johnson,Central,NA,NA,8,CJR3,
1989,S. Cape Johnson,Central,NA,NA,0,CJR3,
1990,Bluff Point,Central,NA,NA,0,CJR3,
1990,Cape Johnson,Central,NA,NA,0,CJR3,
1990,S. Cape Johnson,Central,NA,NA,0,CJR3,
1991,Bluff Point,Central,NA,NA,0,CJR3,
1991,Cape Johnson,Central,NA,NA,18,CJR3,
1991,S. Cape Johnson,Central,NA,NA,12,CJR3,
1992,Bluff Point,Central,NA,NA,21,CJR3,
1992,Cape Johnson,Central,NA,NA,30,CJR3,
1992,S. Cape Johnson,Central,NA,NA,0,CJR3,
1993,Bluff Point,Central,NA,NA,0,CJR3,
1993,Cape Johnson,Central,NA,NA,41,CJR3,
1993,S. Cape Johnson,Central,NA,NA,5,CJR3,
1994,Bluff Point,Central,NA,NA,0,CJR3,
1994,Cape Johnson,Central,NA,NA,13,CJR3,
1994,S. Cape Johnson,Central,NA,NA,0,CJR3,
1995,Bluff Point,Central,NA,NA,0,CJR3,
1995,Cape Johnson,Central,NA,NA,2,CJR3,
1995,S. Cape Johnson,Central,NA,NA,0,CJR3,
1996,Bluff Point,Central,NA,NA,0,CJR3,
1996,Cape Johnson,Central,NA,NA,7,CJR3,
1996,S. Cape Johnson,Central,NA,NA,0,CJR3,
1997,Bluff Point,Central,NA,NA,0,CJR3,
1997,Cape Johnson,Central,NA,NA,63,CJR3,
1997,S. Cape Johnson,Central,NA,NA,14,CJR3,
1998,Bluff Point,Central,NA,NA,0,CJR3,
1998,Cape Johnson,Central,NA,NA,35,CJR3,
1998,S. Cape Johnson,Central,NA,NA,0,CJR3,
1999,Bluff Point,Central,NA,NA,56,CJR3,
1999,Cape Johnson,Central,NA,NA,15,CJR3,
1999,S. Cape Johnson,Central,NA,NA,13,CJR3,
2000,Bluff Point,Central,NA,NA,0,CJR3,
2000,Cape Johnson,Central,NA,NA,95,CJR3,
2000,S. Cape Johnson,Central,NA,NA,0,CJR3,
2001,Bluff Point,Central,NA,NA,0,CJR3,
2001,Cape Johnson,Central,59,0,59,CJR3,
2001,S. Cape Johnson,Central,6,1,7,CJR3,
2002,Bluff Point,Central,NA,NA,1,CJR3,also called Carrol Island/Sea lion rock?
2002,Cape Johnson,Central,45,0,45,CJR3,also called Cape Johnson/Bluff Point
2002,S. Cape Johnson,Central,2,0,2,CJR3,also called Cape Johnson/Chilean Memorial
2003,Bluff Point,Central,NA,NA,0,CJR3,
2003,Cape Johnson,Central,64,0,64,CJR3,
2003,S. Cape Johnson,Central,1,0,1,CJR3,
2004,Bluff Point,Central,NA,NA,0,CJR3,
2004,Cape Johnson,Central,71,0,71,CJR3,
2004,S. Cape Johnson,Central,2,1,3,CJR3,
2005,"CAPE JOHNSON/BLUFF PT.*1,2",Central,103,1,104,CJR3,
2005,S. CAPE JOHNSON/CHILEAN MEMORIAL,Central,5,0,5,CJR3,
2006,"CAPE JOHNSON/BLUFF PT.*1,2",Central,76,0,76,CJR3,
2006,S. CAPE JOHNSON/CHILEAN MEMORIAL,Central,7,0,7,CJR3,
2007,CAPE JOHNSON/BLUFF PT.1,Central,97,0,97,CJR3,
2007,S. CAPE JOHNSON/CHILEAN MEMORIAL1,Central,1,0,1,CJR3,
2008,CAPE JOHNSON/BLUFF PT.1,Central,144,4,148,CJR3,
2008,S. CAPE JOHNSON/CHILEAN MEMORIAL1,Central,26,2,28,CJR3,
2010,CAPE JOHNSON/BLUFF PT.,Central,171,0,171,CJR3,
2010,S. of CHILEAN MEMORIAL,Central,16,4,20,CJR3,
2011,CAPE JOHNSON/BLUFF PT.,Central,10,1,11,CJR3,
2011,S. of CHILEAN MEMORIAL,Central,0,0,0,CJR3,
2012,CAPE JOHNSON/BLUFF PT.,Central,0,0,0,CJR3,
2013,CAPE JOHNSON/BLUFF POINT,Central,112,4,116,CJR3,
2013,CHILEAN MEMORIAL,Central,1,0,1,CJR3,
2015,BLUFF POINT REEF*,Central,86,0,86,CJR3,
2015,N. OF CAPE JOHNSON,Central,14,2,16,CJR3,
2015,S. OF CHILEAN MEMORIAL,Central,3,1,4,CJR3,
1977,Destruction Is.,South,NA,NA,6,DI,
1978,Destruction Is.,South,NA,NA,6,DI,
1981,Destruction Is.,South,NA,NA,3,DI,
1983,Destruction Is.,South,NA,NA,7,DI,
1985,Destruction Is.,South,NA,NA,8,DI,
1987,Destruction Is.,South,NA,NA,6,DI,
1989,Destruction Is.,South,NA,NA,28,DI,
1990,Destruction Is.,South,NA,NA,30,DI,
1991,Destruction Is.,South,NA,NA,23,DI,
1992,Destruction Is.,South,NA,NA,33,DI,
1993,Destruction Is.,South,NA,NA,27,DI,
1994,Destruction Is.,South,NA,NA,48,DI,
1995,Destruction Is.,South,NA,NA,52,DI,
1996,Destruction Is.,South,NA,NA,26,DI,
1997,Destruction Is.,South,NA,NA,80,DI,
1998,Destruction Is.,South,NA,NA,103,DI,
1999,Destruction Is.,South,NA,NA,171,DI,
2000,Destruction Is.,South,NA,NA,129,DI,
2001,Destruction Is.,South,116,0,116,DI,
2002,Destruction Is.,South,181,0,181,DI,
2003,Destruction Is.,South,270,0,270,DI,
2004,Destruction Is.,South,342,0,342,DI,
2005,DESTRUCTION I.1,South,303,4,307,DI,
2006,DESTRUCTION I.1,South,298,4,302,DI,
2007,DESTRUCTION I.1,South,470,4,474,DI,
2008,DESTRUCTION I.1,South,388,14,402,DI,
2010,DESTRUCTION ISLAND,South,391,5,396,DI,
2011,DESTRUCTION ISLAND,South,492,0,492,DI,
2012,DESTRUCTION I.,South,531,4,535,DI,
2013,DESTRUCTION ISLAND,South,451,3,454,DI,
2015,DESTRUCTION I.  EAST END,South,240,0,240,DI,
2015,DESTRUCTION ISLAND WEST END,South,144,2,146,DI,
1977,Carroll Island,Central,NA,NA,0,Other_Central,
1977,Cedar Creek,Central,NA,NA,0,Other_Central,
1977,Jagged Island,Central,NA,NA,0,Other_Central,
1977,James Island,Central,NA,NA,0,Other_Central,
1977,Kayostla Beach,Central,NA,NA,0,Other_Central,
1977,North Point,Central,NA,NA,0,Other_Central,
1977,Off Yellow B,Central,NA,NA,0,Other_Central,
1977,Sand Point,Central,NA,NA,0,Other_Central,
1977,Sandy Island,Central,NA,NA,0,Other_Central,
1977,Submarine Rock,Central,NA,NA,0,Other_Central,
1977,White Rock,Central,NA,NA,0,Other_Central,
1977,Yellow B Area,Central,NA,NA,0,Other_Central,
1978,Carroll Island,Central,NA,NA,0,Other_Central,
1978,Cedar Creek,Central,NA,NA,0,Other_Central,
1978,Jagged Island,Central,NA,NA,0,Other_Central,
1978,James Island,Central,NA,NA,0,Other_Central,
1978,Kayostla Beach,Central,NA,NA,0,Other_Central,
1978,North Point,Central,NA,NA,0,Other_Central,
1978,Off Yellow B,Central,NA,NA,0,Other_Central,
1978,Sand Point,Central,NA,NA,0,Other_Central,
1978,Sandy Island,Central,NA,NA,5,Other_Central,
1978,Submarine Rock,Central,NA,NA,0,Other_Central,
1978,White Rock,Central,NA,NA,0,Other_Central,
1978,Yellow B Area,Central,NA,NA,0,Other_Central,
1981,Carroll Island,Central,NA,NA,0,Other_Central,
1981,Cedar Creek,Central,NA,NA,0,Other_Central,
1981,Jagged Island,Central,NA,NA,0,Other_Central,
1981,James Island,Central,NA,NA,0,Other_Central,
1981,Kayostla Beach,Central,NA,NA,0,Other_Central,
1981,North Point,Central,NA,NA,0,Other_Central,
1981,Off Yellow B,Central,NA,NA,0,Other_Central,
1981,Sand Point,Central,NA,NA,1,Other_Central,
1981,Sandy Island,Central,NA,NA,0,Other_Central,
1981,Submarine Rock,Central,NA,NA,0,Other_Central,
1981,White Rock,Central,NA,NA,0,Other_Central,
1981,Yellow B Area,Central,NA,NA,0,Other_Central,
1983,Carroll Island,Central,NA,NA,0,Other_Central,
1983,Cedar Creek,Central,NA,NA,0,Other_Central,
1983,Jagged Island,Central,NA,NA,0,Other_Central,
1983,James Island,Central,NA,NA,0,Other_Central,
1983,Kayostla Beach,Central,NA,NA,0,Other_Central,
1983,North Point,Central,NA,NA,0,Other_Central,
1983,Off Yellow B,Central,NA,NA,0,Other_Central,
1983,Sand Point,Central,NA,NA,2,Other_Central,
1983,Sandy Island,Central,NA,NA,0,Other_Central,
1983,Submarine Rock,Central,NA,NA,0,Other_Central,
1983,White Rock,Central,NA,NA,0,Other_Central,
1983,Yellow B Area,Central,NA,NA,0,Other_Central,
1985,Carroll Island,Central,NA,NA,0,Other_Central,
1985,Cedar Creek,Central,NA,NA,0,Other_Central,
1985,Jagged Island,Central,NA,NA,9,Other_Central,
1985,James Island,Central,NA,NA,0,Other_Central,
1985,Kayostla Beach,Central,NA,NA,0,Other_Central,
1985,North Point,Central,NA,NA,0,Other_Central,
1985,Off Yellow B,Central,NA,NA,0,Other_Central,
1985,Sand Point,Central,NA,NA,33,Other_Central,
1985,Sandy Island,Central,NA,NA,0,Other_Central,
1985,Submarine Rock,Central,NA,NA,0,Other_Central,
1985,White Rock,Central,NA,NA,0,Other_Central,
1985,Yellow B Area,Central,NA,NA,0,Other_Central,
1987,Carroll Island,Central,NA,NA,0,Other_Central,
1987,Cedar Creek,Central,NA,NA,1,Other_Central,
1987,Jagged Island,Central,NA,NA,0,Other_Central,
1987,James Island,Central,NA,NA,0,Other_Central,
1987,Kayostla Beach,Central,NA,NA,1,Other_Central,
1987,North Point,Central,NA,NA,3,Other_Central,
1987,Off Yellow B,Central,NA,NA,3,Other_Central,
1987,Sand Point,Central,NA,NA,22,Other_Central,
1987,Sandy Island,Central,NA,NA,0,Other_Central,
1987,Submarine Rock,Central,NA,NA,0,Other_Central,
1987,White Rock,Central,NA,NA,2,Other_Central,
1987,Yellow B Area,Central,NA,NA,5,Other_Central,
1989,Carroll Island,Central,NA,NA,0,Other_Central,
1989,Cedar Creek,Central,NA,NA,0,Other_Central,
1989,Jagged Island,Central,NA,NA,0,Other_Central,
1989,James Island,Central,NA,NA,0,Other_Central,
1989,Kayostla Beach,Central,NA,NA,0,Other_Central,
1989,North Point,Central,NA,NA,0,Other_Central,
1989,Off Yellow B,Central,NA,NA,0,Other_Central,
1989,Sand Point,Central,NA,NA,34,Other_Central,
1989,Sandy Island,Central,NA,NA,0,Other_Central,
1989,Submarine Rock,Central,NA,NA,0,Other_Central,
1989,White Rock,Central,NA,NA,0,Other_Central,
1989,Yellow B Area,Central,NA,NA,47,Other_Central,
1990,Carroll Island,Central,NA,NA,0,Other_Central,
1990,Cedar Creek,Central,NA,NA,0,Other_Central,
1990,Jagged Island,Central,NA,NA,0,Other_Central,
1990,James Island,Central,NA,NA,10,Other_Central,
1990,Kayostla Beach,Central,NA,NA,0,Other_Central,
1990,North Point,Central,NA,NA,0,Other_Central,
1990,Off Yellow B,Central,NA,NA,0,Other_Central,
1990,Sand Point,Central,NA,NA,36,Other_Central,
1990,Sandy Island,Central,NA,NA,0,Other_Central,
1990,Submarine Rock,Central,NA,NA,0,Other_Central,
1990,White Rock,Central,NA,NA,0,Other_Central,
1990,Yellow B Area,Central,NA,NA,28,Other_Central,
1991,Carroll Island,Central,NA,NA,0,Other_Central,
1991,Cedar Creek,Central,NA,NA,14,Other_Central,
1991,Jagged Island,Central,NA,NA,0,Other_Central,
1991,James Island,Central,NA,NA,0,Other_Central,
1991,Kayostla Beach,Central,NA,NA,0,Other_Central,
1991,North Point,Central,NA,NA,0,Other_Central,
1991,Off Yellow B,Central,NA,NA,0,Other_Central,
1991,Sand Point,Central,NA,NA,34,Other_Central,
1991,Sandy Island,Central,NA,NA,0,Other_Central,
1991,Submarine Rock,Central,NA,NA,0,Other_Central,
1991,White Rock,Central,NA,NA,0,Other_Central,
1991,Yellow B Area,Central,NA,NA,46,Other_Central,
1992,Carroll Island,Central,NA,NA,0,Other_Central,
1992,Cedar Creek,Central,NA,NA,17,Other_Central,
1992,Jagged Island,Central,NA,NA,0,Other_Central,
1992,James Island,Central,NA,NA,0,Other_Central,
1992,Kayostla Beach,Central,NA,NA,36,Other_Central,
1992,North Point,Central,NA,NA,0,Other_Central,
1992,Off Yellow B,Central,NA,NA,0,Other_Central,
1992,Sand Point,Central,NA,NA,21,Other_Central,
1992,Sandy Island,Central,NA,NA,0,Other_Central,
1992,Submarine Rock,Central,NA,NA,0,Other_Central,
1992,White Rock,Central,NA,NA,0,Other_Central,
1992,Yellow B Area,Central,NA,NA,45,Other_Central,
1993,Carroll Island,Central,NA,NA,0,Other_Central,
1993,Cedar Creek,Central,NA,NA,48,Other_Central,
1993,Jagged Island,Central,NA,NA,10,Other_Central,
1993,James Island,Central,NA,NA,0,Other_Central,
1993,Kayostla Beach,Central,NA,NA,0,Other_Central,
1993,North Point,Central,NA,NA,0,Other_Central,
1993,Off Yellow B,Central,NA,NA,0,Other_Central,
1993,Sand Point,Central,NA,NA,26,Other_Central,
1993,Sandy Island,Central,NA,NA,1,Other_Central,
1993,Submarine Rock,Central,NA,NA,15,Other_Central,
1993,White Rock,Central,NA,NA,0,Other_Central,
1993,Yellow B Area,Central,NA,NA,4,Other_Central,
1994,Carroll Island,Central,NA,NA,0,Other_Central,
1994,Cedar Creek,Central,NA,NA,11,Other_Central,
1994,Jagged Island,Central,NA,NA,29,Other_Central,
1994,James Island,Central,NA,NA,0,Other_Central,
1994,Kayostla Beach,Central,NA,NA,0,Other_Central,
1994,North Point,Central,NA,NA,5,Other_Central,
1994,Off Yellow B,Central,NA,NA,0,Other_Central,
1994,Sand Point,Central,NA,NA,34,Other_Central,
1994,Sandy Island,Central,NA,NA,1,Other_Central,
1994,Submarine Rock,Central,NA,NA,1,Other_Central,
1994,White Rock,Central,NA,NA,0,Other_Central,
1994,Yellow B Area,Central,NA,NA,78,Other_Central,
1995,Carroll Island,Central,NA,NA,1,Other_Central,
1995,Cedar Creek,Central,NA,NA,6,Other_Central,
1995,Jagged Island,Central,NA,NA,12,Other_Central,
1995,James Island,Central,NA,NA,2,Other_Central,
1995,Kayostla Beach,Central,NA,NA,0,Other_Central,
1995,North Point,Central,NA,NA,0,Other_Central,
1995,Off Yellow B,Central,NA,NA,0,Other_Central,
1995,Sand Point,Central,NA,NA,8,Other_Central,
1995,Sandy Island,Central,NA,NA,0,Other_Central,
1995,Submarine Rock,Central,NA,NA,1,Other_Central,
1995,White Rock,Central,NA,NA,0,Other_Central,
1995,Yellow B Area,Central,NA,NA,55,Other_Central,
1996,Carroll Island,Central,NA,NA,0,Other_Central,
1996,Cedar Creek,Central,NA,NA,20,Other_Central,
1996,Jagged Island,Central,NA,NA,5,Other_Central,
1996,James Island,Central,NA,NA,0,Other_Central,
1996,Kayostla Beach,Central,NA,NA,0,Other_Central,
1996,North Point,Central,NA,NA,0,Other_Central,
1996,Off Yellow B,Central,NA,NA,0,Other_Central,
1996,Sand Point,Central,NA,NA,112,Other_Central,
1996,Sandy Island,Central,NA,NA,1,Other_Central,
1996,Submarine Rock,Central,NA,NA,0,Other_Central,
1996,White Rock,Central,NA,NA,0,Other_Central,
1996,Yellow B Area,Central,NA,NA,60,Other_Central,
1997,Carroll Island,Central,NA,NA,0,Other_Central,
1997,Cedar Creek,Central,NA,NA,11,Other_Central,
1997,Jagged Island,Central,NA,NA,8,Other_Central,
1997,James Island,Central,NA,NA,0,Other_Central,
1997,Kayostla Beach,Central,NA,NA,0,Other_Central,
1997,North Point,Central,NA,NA,0,Other_Central,
1997,Off Yellow B,Central,NA,NA,0,Other_Central,
1997,Sand Point,Central,NA,NA,48,Other_Central,
1997,Sandy Island,Central,NA,NA,0,Other_Central,
1997,Submarine Rock,Central,NA,NA,0,Other_Central,
1997,White Rock,Central,NA,NA,7,Other_Central,
1997,Yellow B Area,Central,NA,NA,4,Other_Central,
1998,Carroll Island,Central,NA,NA,0,Other_Central,
1998,Cedar Creek,Central,NA,NA,15,Other_Central,
1998,Jagged Island,Central,NA,NA,1,Other_Central,
1998,James Island,Central,NA,NA,0,Other_Central,
1998,Kayostla Beach,Central,NA,NA,0,Other_Central,
1998,North Point,Central,NA,NA,1,Other_Central,
1998,Off Yellow B,Central,NA,NA,35,Other_Central,
1998,Sand Point,Central,NA,NA,33,Other_Central,
1998,Sandy Island,Central,NA,NA,6,Other_Central,
1998,Submarine Rock,Central,NA,NA,0,Other_Central,
1998,White Rock,Central,NA,NA,0,Other_Central,
1998,Yellow B Area,Central,NA,NA,15,Other_Central,
1999,Carroll Island,Central,NA,NA,0,Other_Central,
1999,Cedar Creek,Central,NA,NA,11,Other_Central,
1999,Jagged Island,Central,NA,NA,1,Other_Central,
1999,James Island,Central,NA,NA,0,Other_Central,
1999,Kayostla Beach,Central,NA,NA,3,Other_Central,
1999,North Point,Central,NA,NA,0,Other_Central,
1999,Off Yellow B,Central,NA,NA,0,Other_Central,
