entry order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,SWATH WIDTH,HEADING,DEPTH (m),DEPTH (ft),SEGMENT,CLASSCODE,COUNT,METERS sampled,SIZE,cntrl_a,notes,DATA ENTTRY PROBLEMS,ORG_TYPE
55,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,2,,,,,20-30m,MESFRA,2,10,10,,,,
56,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,2,,,,,20-30m,STRDRO,1,10,5,,,,
57,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,2,,,,,20-30m,STRDRO,1,10,6,,,,
58,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,1,,,,,20-30m,STRPUR,1,10,3,,,,
59,2021,7,29,Tatoosh Island,Ole Shelton,,S,5,1,,,,,20-30m,MESFRA,1,10,10,,,,
60,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,1,,,,,20-30m,STRPUR,1,10,3,,,,
61,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,1,,,,,20-30m,STRPUR,9,10,4,,,,
62,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,1,,,,,20-30m,STRPUR,5,10,5,,,,
63,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,1,,,,,20-30m,STRPUR,2,10,6,,,,
64,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,2,,,,,20-30m,STRPUR,3,10,3,,,,
65,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,2,,,,,20-30m,STRPUR,6,10,5,,,,
66,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,3,,,,,20-30m,STRPUR,1,10,3,,,,
67,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,3,,,,,20-30m,STRPUR,2,10,4,,,,
68,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,3,,,,,20-30m,STRPUR,3,10,5,,,,
69,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,4,,,,,20-30m,STRPUR,2,10,3,,,,
70,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,4,,,,,20-30m,STRPUR,8,10,4,,,,
71,2021,7,29,Tatoosh Island,Ole Shelton,,N,5,4,,,,,20-30m,STRPUR,4,10,5,,,,
72,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,0-10m,STRPUR,8,10,3,,,,
73,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,0-10m,STRPUR,5,10,5,,,,
74,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,0-10m,STRPUR,5,10,6,,,,
75,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,0-10m,STRPUR,1,10,7,,,,
76,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,0-10m,MESFRA,1,10,8,,,,
77,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,0-10m,MESFRA,3,10,10,,,,
78,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,0-10m,STRDRO,1,10,4,,,,
79,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,20-30m,STRPUR,6,10,5,,,,
80,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,20-30m,STRPUR,9,10,6,,,,
81,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,20-30m,STRPUR,7,10,7,,,,
82,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,20-30m,STRPUR,2,10,8,,,,
83,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,20-30m,MESFRA,3,10,8,,,,
84,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,20-30m,MESFRA,1,10,10,,,,
85,2021,7,29,Tatoosh Island,Greg Williams,,S,5,2,,,,,20-30m,STRDRO,2,10,6,,,,
86,2021,7,29,Tatoosh Island,Greg Williams,,S,5,1,,,,,20-30m,STRPUR,1,10,6,,,,
87,2021,7,29,Tatoosh Island,Greg Williams,,S,5,1,,,,,20-30m,STRPUR,1,10,7,,,,
88,2021,7,29,Tatoosh Island,Greg Williams,,S,5,3,,,,,0-10m,STRPUR,2,10,4,,,,
89,2021,7,29,Tatoosh Island,Greg Williams,,S,5,3,,,,,0-10m,STRPUR,8,10,5,,,,
90,2021,7,29,Tatoosh Island,Greg Williams,,S,5,3,,,,,0-10m,STRPUR,5,10,6,,,,
91,2021,7,29,Tatoosh Island,Greg Williams,,S,5,3,,,,,0-10m,STRPUR,4,10,7,,,,
92,2021,7,29,Tatoosh Island,Greg Williams,,S,5,3,,,,,0-10m,MESFRA,1,10,8,,,,
93,2021,7,29,Tatoosh Island,Greg Williams,,S,5,4,,,,,10-20m,STRPUR,4,1.2,4,,,,
94,2021,7,29,Tatoosh Island,Greg Williams,,S,5,4,,,,,10-20m,STRPUR,14,1.2,5,,,,
95,2021,7,29,Tatoosh Island,Greg Williams,,S,5,4,,,,,10-20m,STRPUR,10,1.2,6,,,,
96,2021,7,29,Tatoosh Island,Greg Williams,,S,5,4,,,,,10-20m,STRPUR,4,1.2,7,,,,
97,2021,7,29,Tatoosh Island,Greg Williams,,S,5,4,,,,,10-20m,STRDRO,1,1.2,4,,,,
98,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,STRPUR,9,0.3,4,,,,
99,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,STRPUR,10,0.3,5,,,,
100,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,STRPUR,9,0.3,6,,,,
101,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,STRPUR,6,0.3,7,,,,
102,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,STRPUR,3,0.3,9,,,,
103,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,MESFRA,2,2.5,7,,,,
104,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,MESFRA,10,2.5,10,,,,
105,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,MESFRA,20,2.5,12,,,,
106,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,0-10m,STRDRO,3,10,5,,,,
107,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRPUR,3,0.3,4,,,,
108,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRPUR,5,0.3,5,,,,
109,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRPUR,13,0.3,6,,,,
110,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRPUR,2,0.3,7,,,,
111,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRPUR,3,0.3,8,,,,
112,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRDRO,1,10,4,,,,
113,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRDRO,2,10,5,,,,
114,2021,7,29,Tatoosh Island,Greg Williams,,S,10,1,,,,,10-20m,STRDRO,2,10,6,,,,
115,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRPUR,5,10,4,,,,
116,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRPUR,6,10,5,,,,
117,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRPUR,8,10,6,,,,
118,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRPUR,2,10,7,,,,
119,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRPUR,3,10,8,,,,
120,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,MESFRA,2,10,7,,,,
121,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,MESFRA,3,10,10,,,,
122,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,MESFRA,7,10,12,,,,
123,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRDRO,1,10,4,,,,
124,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRDRO,10,10,5,,,,
125,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRDRO,1,10,6,,,,
126,2021,7,29,Tatoosh Island,Greg Williams,,S,10,2,,,,,0-10m,STRDRO,2,10,7,,,,
127,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,0-10m,STRPUR,5,0.6,3,,,,
128,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,0-10m,STRPUR,15,0.6,4,,,,
129,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,0-10m,STRPUR,8,0.6,5,,,,
130,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,0-10m,STRPUR,9,0.6,6,,,,
131,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,0-10m,STRDRO,1,0.6,3,,,,
132,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,0-10m,STRDRO,1,0.6,5,,,,
133,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,10-20m,STRPUR,3,0.2,3,,,,
134,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,10-20m,STRPUR,13,0.2,4,,,,
135,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,10-20m,STRPUR,9,0.2,5,,,,
136,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,1,2,,,25,10-20m,STRPUR,3,0.2,6,,,,
137,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,2,2,,,21,0-10m,STRPUR,3,2,3,,,,
138,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,2,2,,,21,0-10m,STRPUR,17,2,4,,,,
139,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,2,2,,,21,0-10m,STRPUR,11,2,5,,,,
140,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,2,2,,,21,0-10m,STRPUR,3,2,6,,,,
141,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,3,2,,,22,0-10m,STRPUR,4,10,3,,,,
142,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,3,2,,,22,0-10m,STRPUR,20,10,4,,,,
143,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,3,2,,,22,0-10m,STRPUR,6,10,5,,,,
144,2022,8,1,Tatoosh Island,Emily Bishop,,S,10,3,2,,,22,0-10m,STRPUR,3,10,6,,,,
145,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,1,2,,,,0-10m,STRPUR,1,10,2,,,,
146,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,1,2,,,,0-10m,STRPUR,1,10,4,,,,
147,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,1,2,,,,0-10m,MESFRA,1,10,6,,,,
148,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,1,2,,,,10-20m,STRPUR,1,10,4,,,,
149,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,1,2,,,,10-20m,STRPUR,1,10,6,,,,
150,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,1,2,,,,10-20m,MESFRA,1,10,4,,,,
151,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,2,2,,,,20-30m,MESFRA,1,10,2,,,,
152,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,2,2,,,,20-30m,MESFRA,2,10,6,,,,
153,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,2,2,,,,20-30m,MESFRA,1,10,7,,,,
154,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,2,2,,,,20-30m,MESFRA,1,10,8,,,,
155,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,2,2,,,,20-30m,STRPUR,2,10,2,,,,
156,2022,8,2,Neah Bay,Steve Lonhart,Jameal Samhouri,N,10,2,2,,,,20-30m,STRPUR,1,10,4,,,,
157,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,0-10m,STRPUR,1,10,3,,,,
158,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,0-10m,STRPUR,10,10,4,,,,
159,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,0-10m,STRPUR,3,10,5,,,,
160,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,0-10m,STRPUR,3,10,6,,,,
161,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,0-10m,MESFRA,1,10,4,,,,
162,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,10-20m,STRPUR,6,10,3,,,,
163,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,10-20m,STRPUR,5,10,4,,,,
164,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,10-20m,MESFRA,1,10,3,,,,
165,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,10-20m,MESFRA,3,10,4,,,,
166,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,20-30m,STRPUR,5,10,3,,,,
167,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,20-30m,STRPUR,15,10,4,,,,
168,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,20-30m,STRPUR,7,10,5,,,,
169,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,20-30m,STRPUR,1,10,6,,,,
170,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,20-30m,MESFRA,1,10,3,,,,
171,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,20-30m,MESFRA,1,10,4,,,,
172,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,1,2,,,,20-30m,MESFRA,1,10,6,,,,
173,2022,8,2,Neah Bay,Genoa Sullaway,Greg Williams,S,10,2,2,,,,20-30m,STRPUR,1,10,4,,,,
174,2022,8,2,Neah Bay,Kelly Andrews,Ole Shelton,S,5,3,2,,,14,0-10m,MESFRA,2,10,4,,,,
175,2022,8,2,Neah Bay,Kelly Andrews,Ole Shelton,S,5,2,2,,,14,0-10m,MESFRA,3,10,6,,,,
176,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,1,2,,,,20-30m,STRPUR,9,10,3,,,,
177,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,1,2,,,,20-30m,STRPUR,11,10,5,,,,
178,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,1,2,,,,20-30m,STRPUR,12,10,6,,,,
179,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,0-10m,STRPUR,11,10,3,,,,
180,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,0-10m,STRPUR,4,10,5,,,,
181,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,10-20m,STRPUR,4,10,3,,,,
182,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,10-20m,STRPUR,20,10,5,,,,
183,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,10-20m,STRPUR,1,10,6,,,,
184,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,10-20m,STRPUR,5,10,8,,,,
185,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,20-30m,STRPUR,7,10,3,,,,
186,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,20-30m,STRPUR,18,10,5,,,,
187,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,20-30m,STRPUR,5,10,6,,,,
188,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,20-30m,STRPUR,3,10,8,,,,
189,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,20-30m,MESFRA,3,10,3,,,,
190,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,2,2,,,,20-30m,MESFRA,3,10,6,,,,
191,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,3,2,,,,0-10m,STRPUR,8,10,3,,,,
192,2022,7,29,Destruction Island,Kelly Andrews,Kinsey Frick,S,5,3,2,,,,0-10m,STRPUR,10,10,5,,,,
193,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,0-10m,STRPUR,3,10,4,,,,
194,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,0-10m,STRPUR,1,10,5,,,,
195,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,0-10m,MESFRA,2,10,6,,,,
196,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,STRPUR,6,10,3,,,,
197,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,STRPUR,6,10,4,,,,
198,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,STRPUR,5,10,5,,,,
199,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,MESFRA,1,10,4,,,,
200,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,MESFRA,2,10,5,,,,
201,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,MESFRA,3,10,6,,,,
202,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,MESFRA,2,10,7,,,,
203,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,MESFRA,1,10,8,,,,
204,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,10-20m,STRDRO,1,10,4,,,,
205,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,1,2,,,33,20-30m,STRPUR,1,10,4,,,,
206,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,STRPUR,6,10,3,,,,
207,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,STRPUR,6,10,4,,,,
208,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,STRPUR,4,10,5,,,,
209,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,MESFRA,4,10,3,,,,
210,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,MESFRA,13,10,4,,,,
211,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,MESFRA,7,10,5,,,,
212,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,MESFRA,7,10,6,,,,
213,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,MESFRA,2,10,7,,,,
214,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,STRDRO,1,10,3,,,,
215,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,STRDRO,1,10,4,,,,
216,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,0-10m,STRDRO,1,10,5,,,,
217,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,10-20m,STRPUR,2,10,4,,,,
218,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,10-20m,STRPUR,2,10,5,,,,
219,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,10-20m,MESFRA,1,10,4,,,,
220,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,10-20m,MESFRA,2,10,5,,,,
221,2022,8,1,Tatoosh Island,Genoa Sullaway,Jameal Samhouri,N,10,2,2,,,33,10-20m,MESFRA,1,10,7,,,,
