"","site","transect","observer","common.name","species","size_class","year","Count"
"118","Anderson Point",2,"KA","china rockfish","SENE","small",2015,0
"119","Anderson Point",2,"KA","copper rockfish","SECA","small",2015,0
"120","Anderson Point",2,"KA","greenlings","HEXA",NA,2015,0
"121","Anderson Point",2,"KA","gunnels","PHOL",NA,2015,0
"122","Anderson Point",2,"KA","herring","CLUP",NA,2015,0
"123","Anderson Point",2,"KA","kelp clingfish","RIMU",NA,2015,0
"124","Anderson Point",2,"KA","longfin sculpin","JOZO",NA,2015,0
"125","Anderson Point",2,"KA","manacled sculpin","SYGI",NA,2015,0
"126","Anderson Point",2,"KA","mosshead warbonnet","CHNU",NA,2015,0
"127","Anderson Point",2,"KA","no_transect_no_data","NO_DATA",NA,2015,0
"128","Anderson Point",2,"KA","pile perch","RHVA",NA,2015,0
"129","Anderson Point",2,"KA","quillback rockfish","SEMA","small",2015,0
"130","Anderson Point",2,"KA","rockfish","SEBSPP","large",2015,0
"131","Anderson Point",2,"KA","rockfish","SEBSPP","small",2015,0
"132","Anderson Point",2,"KA","sanddabs","CITH",NA,2015,0
"133","Anderson Point",2,"KA","scalyhead sculpin","ARHA",NA,2015,0
"134","Anderson Point",2,"KA","sculpin","COTT",NA,2015,0
"135","Anderson Point",2,"KA","surfperch","EMBI",NA,2015,0
"136","Anderson Point",2,"KA","unidentified fish","UNID",NA,2015,0
"137","Anderson Point",2,"KA","whitespotted greenling","HEST",NA,2015,0
"138","Anderson Point",2,"KA","yellowtail rockfish","SEFL","large",2015,0
"139","Anderson Point",2,"KA","yellowtail rockfish","SEFL","small",2015,0
"140","Anderson Point",2,"KA","yellowtail-black yoy","SEBYT","small",2015,0
"141","Anderson Point",2,"KA",NA,"AMHE",NA,2015,0
"142","Anderson Point",2,"NT","Black rockfish","SEME","large",2015,0
"143","Anderson Point",2,"NT","Blackeye goby","RHNI",NA,2015,0
"144","Anderson Point",2,"NT","Buffalo sculpin","ENBI",NA,2015,0
"145","Anderson Point",2,"NT","Cabezon","SCMA",NA,2015,0
"146","Anderson Point",2,"NT","Copper rockfish","SECA","large",2015,0
"147","Anderson Point",2,"NT","Great sculpin","MYOP",NA,2015,0
"148","Anderson Point",2,"NT","Kelp greenling","HEDE",NA,2015,1
"149","Anderson Point",2,"NT","Lingcod","OPEL",NA,2015,0
"150","Anderson Point",2,"NT","Painted greenling","OXPI",NA,2015,0
"151","Anderson Point",2,"NT","Quillback rockfish","SEMA","large",2015,0
"152","Anderson Point",2,"NT","Red Irish Lord","HEHE",NA,2015,0
"153","Anderson Point",2,"NT","Rock greenling","HELA",NA,2015,0
"154","Anderson Point",2,"NT","Striped seaperch","EMLA",NA,2015,0
"155","Anderson Point",2,"NT","Tubesnout","AUFL",NA,2015,0
"156","Anderson Point",2,"NT","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"157","Anderson Point",2,"NT","bait-sardines-anchovy","BAITBALL",NA,2015,0
"158","Anderson Point",2,"NT","black rockfish","SEME","small",2015,0
"159","Anderson Point",2,"NT","blue rockfish","SEMY","large",2015,0
"160","Anderson Point",2,"NT","blue rockfish","SEMY","small",2015,0
"161","Anderson Point",2,"NT","c-o sole","PLCO",NA,2015,0
"162","Anderson Point",2,"NT","canary rockfish","SEPI","large",2015,0
"163","Anderson Point",2,"NT","canary rockfish","SEPI","small",2015,0
"164","Anderson Point",2,"NT","china rockfish","SENE","large",2015,0
"165","Anderson Point",2,"NT","china rockfish","SENE","small",2015,0
"166","Anderson Point",2,"NT","copper rockfish","SECA","small",2015,0
"167","Anderson Point",2,"NT","greenlings","HEXA",NA,2015,0
"168","Anderson Point",2,"NT","gunnels","PHOL",NA,2015,0
"169","Anderson Point",2,"NT","herring","CLUP",NA,2015,0
"170","Anderson Point",2,"NT","kelp clingfish","RIMU",NA,2015,0
"171","Anderson Point",2,"NT","longfin sculpin","JOZO",NA,2015,0
"172","Anderson Point",2,"NT","manacled sculpin","SYGI",NA,2015,0
"173","Anderson Point",2,"NT","mosshead warbonnet","CHNU",NA,2015,0
"174","Anderson Point",2,"NT","no_transect_no_data","NO_DATA",NA,2015,0
"175","Anderson Point",2,"NT","pile perch","RHVA",NA,2015,0
"176","Anderson Point",2,"NT","quillback rockfish","SEMA","small",2015,0
"177","Anderson Point",2,"NT","rockfish","SEBSPP","large",2015,0
"178","Anderson Point",2,"NT","rockfish","SEBSPP","small",2015,0
"179","Anderson Point",2,"NT","sanddabs","CITH",NA,2015,0
"180","Anderson Point",2,"NT","scalyhead sculpin","ARHA",NA,2015,0
"181","Anderson Point",2,"NT","sculpin","COTT",NA,2015,0
"182","Anderson Point",2,"NT","surfperch","EMBI",NA,2015,0
"183","Anderson Point",2,"NT","unidentified fish","UNID",NA,2015,0
"184","Anderson Point",2,"NT","whitespotted greenling","HEST",NA,2015,0
"185","Anderson Point",2,"NT","yellowtail rockfish","SEFL","large",2015,0
"186","Anderson Point",2,"NT","yellowtail rockfish","SEFL","small",2015,0
"187","Anderson Point",2,"NT","yellowtail-black yoy","SEBYT","small",2015,0
"188","Anderson Point",2,"NT",NA,"AMHE",NA,2015,0
"189","Cape Alava",1,"JS","Black rockfish","SEME","large",2015,1
"190","Cape Alava",1,"JS","Blackeye goby","RHNI",NA,2015,0
"191","Cape Alava",1,"JS","Buffalo sculpin","ENBI",NA,2015,0
"192","Cape Alava",1,"JS","Cabezon","SCMA",NA,2015,0
"193","Cape Alava",1,"JS","Copper rockfish","SECA","large",2015,0
"194","Cape Alava",1,"JS","Great sculpin","MYOP",NA,2015,0
"195","Cape Alava",1,"JS","Kelp greenling","HEDE",NA,2015,1
"196","Cape Alava",1,"JS","Lingcod","OPEL",NA,2015,0
"197","Cape Alava",1,"JS","Painted greenling","OXPI",NA,2015,0
"198","Cape Alava",1,"JS","Quillback rockfish","SEMA","large",2015,0
"199","Cape Alava",1,"JS","Red Irish Lord","HEHE",NA,2015,0
"200","Cape Alava",1,"JS","Rock greenling","HELA",NA,2015,1
"201","Cape Alava",1,"JS","Striped seaperch","EMLA",NA,2015,0
"202","Cape Alava",1,"JS","Tubesnout","AUFL",NA,2015,0
"203","Cape Alava",1,"JS","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"204","Cape Alava",1,"JS","bait-sardines-anchovy","BAITBALL",NA,2015,0
"205","Cape Alava",1,"JS","black rockfish","SEME","small",2015,0
"206","Cape Alava",1,"JS","blue rockfish","SEMY","large",2015,0
"207","Cape Alava",1,"JS","blue rockfish","SEMY","small",2015,0
"208","Cape Alava",1,"JS","c-o sole","PLCO",NA,2015,0
"209","Cape Alava",1,"JS","canary rockfish","SEPI","large",2015,0
"210","Cape Alava",1,"JS","canary rockfish","SEPI","small",2015,0
"211","Cape Alava",1,"JS","china rockfish","SENE","large",2015,0
"212","Cape Alava",1,"JS","china rockfish","SENE","small",2015,0
"213","Cape Alava",1,"JS","copper rockfish","SECA","small",2015,0
"214","Cape Alava",1,"JS","greenlings","HEXA",NA,2015,0
"215","Cape Alava",1,"JS","gunnels","PHOL",NA,2015,0
"216","Cape Alava",1,"JS","herring","CLUP",NA,2015,0
"217","Cape Alava",1,"JS","kelp clingfish","RIMU",NA,2015,0
"218","Cape Alava",1,"JS","longfin sculpin","JOZO",NA,2015,0
"219","Cape Alava",1,"JS","manacled sculpin","SYGI",NA,2015,0
"220","Cape Alava",1,"JS","mosshead warbonnet","CHNU",NA,2015,0
"221","Cape Alava",1,"JS","no_transect_no_data","NO_DATA",NA,2015,0
"222","Cape Alava",1,"JS","pile perch","RHVA",NA,2015,0
"223","Cape Alava",1,"JS","quillback rockfish","SEMA","small",2015,0
"224","Cape Alava",1,"JS","rockfish","SEBSPP","large",2015,0
"225","Cape Alava",1,"JS","rockfish","SEBSPP","small",2015,0
"226","Cape Alava",1,"JS","sanddabs","CITH",NA,2015,0
"227","Cape Alava",1,"JS","scalyhead sculpin","ARHA",NA,2015,0
"228","Cape Alava",1,"JS","sculpin","COTT",NA,2015,0
"229","Cape Alava",1,"JS","surfperch","EMBI",NA,2015,1
"230","Cape Alava",1,"JS","unidentified fish","UNID",NA,2015,0
"231","Cape Alava",1,"JS","whitespotted greenling","HEST",NA,2015,0
"232","Cape Alava",1,"JS","yellowtail rockfish","SEFL","large",2015,0
"233","Cape Alava",1,"JS","yellowtail rockfish","SEFL","small",2015,0
"234","Cape Alava",1,"JS","yellowtail-black yoy","SEBYT","small",2015,0
"235","Cape Alava",1,"JS",NA,"AMHE",NA,2015,0
"236","Cape Alava",1,"KF","Black rockfish","SEME","large",2015,0
"237","Cape Alava",1,"KF","Blackeye goby","RHNI",NA,2015,0
"238","Cape Alava",1,"KF","Buffalo sculpin","ENBI",NA,2015,0
"239","Cape Alava",1,"KF","Cabezon","SCMA",NA,2015,0
"240","Cape Alava",1,"KF","Copper rockfish","SECA","large",2015,0
"241","Cape Alava",1,"KF","Great sculpin","MYOP",NA,2015,0
"242","Cape Alava",1,"KF","Kelp greenling","HEDE",NA,2015,1
"243","Cape Alava",1,"KF","Lingcod","OPEL",NA,2015,0
"244","Cape Alava",1,"KF","Painted greenling","OXPI",NA,2015,0
"245","Cape Alava",1,"KF","Quillback rockfish","SEMA","large",2015,0
"246","Cape Alava",1,"KF","Red Irish Lord","HEHE",NA,2015,1
"247","Cape Alava",1,"KF","Rock greenling","HELA",NA,2015,0
"248","Cape Alava",1,"KF","Striped seaperch","EMLA",NA,2015,0
"249","Cape Alava",1,"KF","Tubesnout","AUFL",NA,2015,0
"250","Cape Alava",1,"KF","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"251","Cape Alava",1,"KF","bait-sardines-anchovy","BAITBALL",NA,2015,0
"252","Cape Alava",1,"KF","black rockfish","SEME","small",2015,0
"253","Cape Alava",1,"KF","blue rockfish","SEMY","large",2015,0
"254","Cape Alava",1,"KF","blue rockfish","SEMY","small",2015,0
"255","Cape Alava",1,"KF","c-o sole","PLCO",NA,2015,0
"256","Cape Alava",1,"KF","canary rockfish","SEPI","large",2015,0
"257","Cape Alava",1,"KF","canary rockfish","SEPI","small",2015,0
"258","Cape Alava",1,"KF","china rockfish","SENE","large",2015,0
"259","Cape Alava",1,"KF","china rockfish","SENE","small",2015,0
"260","Cape Alava",1,"KF","copper rockfish","SECA","small",2015,0
"261","Cape Alava",1,"KF","greenlings","HEXA",NA,2015,0
"262","Cape Alava",1,"KF","gunnels","PHOL",NA,2015,0
"263","Cape Alava",1,"KF","herring","CLUP",NA,2015,0
"264","Cape Alava",1,"KF","kelp clingfish","RIMU",NA,2015,0
"265","Cape Alava",1,"KF","longfin sculpin","JOZO",NA,2015,0
"266","Cape Alava",1,"KF","manacled sculpin","SYGI",NA,2015,0
"267","Cape Alava",1,"KF","mosshead warbonnet","CHNU",NA,2015,0
"268","Cape Alava",1,"KF","no_transect_no_data","NO_DATA",NA,2015,0
"269","Cape Alava",1,"KF","pile perch","RHVA",NA,2015,0
"270","Cape Alava",1,"KF","quillback rockfish","SEMA","small",2015,0
"271","Cape Alava",1,"KF","rockfish","SEBSPP","large",2015,0
"272","Cape Alava",1,"KF","rockfish","SEBSPP","small",2015,0
"273","Cape Alava",1,"KF","sanddabs","CITH",NA,2015,0
"274","Cape Alava",1,"KF","scalyhead sculpin","ARHA",NA,2015,0
"275","Cape Alava",1,"KF","sculpin","COTT",NA,2015,0
"276","Cape Alava",1,"KF","surfperch","EMBI",NA,2015,0
"277","Cape Alava",1,"KF","unidentified fish","UNID",NA,2015,0
"278","Cape Alava",1,"KF","whitespotted greenling","HEST",NA,2015,0
"279","Cape Alava",1,"KF","yellowtail rockfish","SEFL","large",2015,0
"280","Cape Alava",1,"KF","yellowtail rockfish","SEFL","small",2015,0
"281","Cape Alava",1,"KF","yellowtail-black yoy","SEBYT","small",2015,0
"282","Cape Alava",1,"KF",NA,"AMHE",NA,2015,0
"283","Cape Alava",2,"JS","Black rockfish","SEME","large",2015,4
"284","Cape Alava",2,"JS","Blackeye goby","RHNI",NA,2015,0
"285","Cape Alava",2,"JS","Buffalo sculpin","ENBI",NA,2015,0
"286","Cape Alava",2,"JS","Cabezon","SCMA",NA,2015,0
"287","Cape Alava",2,"JS","Copper rockfish","SECA","large",2015,0
"288","Cape Alava",2,"JS","Great sculpin","MYOP",NA,2015,0
"289","Cape Alava",2,"JS","Kelp greenling","HEDE",NA,2015,0
"290","Cape Alava",2,"JS","Lingcod","OPEL",NA,2015,0
"291","Cape Alava",2,"JS","Painted greenling","OXPI",NA,2015,0
"292","Cape Alava",2,"JS","Quillback rockfish","SEMA","large",2015,0
"293","Cape Alava",2,"JS","Red Irish Lord","HEHE",NA,2015,0
"294","Cape Alava",2,"JS","Rock greenling","HELA",NA,2015,0
"295","Cape Alava",2,"JS","Striped seaperch","EMLA",NA,2015,0
"296","Cape Alava",2,"JS","Tubesnout","AUFL",NA,2015,0
"297","Cape Alava",2,"JS","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"298","Cape Alava",2,"JS","bait-sardines-anchovy","BAITBALL",NA,2015,0
"299","Cape Alava",2,"JS","black rockfish","SEME","small",2015,0
"300","Cape Alava",2,"JS","blue rockfish","SEMY","large",2015,0
"301","Cape Alava",2,"JS","blue rockfish","SEMY","small",2015,0
"302","Cape Alava",2,"JS","c-o sole","PLCO",NA,2015,0
"303","Cape Alava",2,"JS","canary rockfish","SEPI","large",2015,0
"304","Cape Alava",2,"JS","canary rockfish","SEPI","small",2015,0
"305","Cape Alava",2,"JS","china rockfish","SENE","large",2015,0
"306","Cape Alava",2,"JS","china rockfish","SENE","small",2015,0
"307","Cape Alava",2,"JS","copper rockfish","SECA","small",2015,0
"308","Cape Alava",2,"JS","greenlings","HEXA",NA,2015,0
"309","Cape Alava",2,"JS","gunnels","PHOL",NA,2015,0
"310","Cape Alava",2,"JS","herring","CLUP",NA,2015,0
"311","Cape Alava",2,"JS","kelp clingfish","RIMU",NA,2015,0
"312","Cape Alava",2,"JS","longfin sculpin","JOZO",NA,2015,0
"313","Cape Alava",2,"JS","manacled sculpin","SYGI",NA,2015,0
"314","Cape Alava",2,"JS","mosshead warbonnet","CHNU",NA,2015,0
"315","Cape Alava",2,"JS","no_transect_no_data","NO_DATA",NA,2015,0
"316","Cape Alava",2,"JS","pile perch","RHVA",NA,2015,0
"317","Cape Alava",2,"JS","quillback rockfish","SEMA","small",2015,0
"318","Cape Alava",2,"JS","rockfish","SEBSPP","large",2015,0
"319","Cape Alava",2,"JS","rockfish","SEBSPP","small",2015,0
"320","Cape Alava",2,"JS","sanddabs","CITH",NA,2015,0
"321","Cape Alava",2,"JS","scalyhead sculpin","ARHA",NA,2015,0
"322","Cape Alava",2,"JS","sculpin","COTT",NA,2015,0
"323","Cape Alava",2,"JS","surfperch","EMBI",NA,2015,0
"324","Cape Alava",2,"JS","unidentified fish","UNID",NA,2015,0
"325","Cape Alava",2,"JS","whitespotted greenling","HEST",NA,2015,0
"326","Cape Alava",2,"JS","yellowtail rockfish","SEFL","large",2015,0
"327","Cape Alava",2,"JS","yellowtail rockfish","SEFL","small",2015,0
"328","Cape Alava",2,"JS","yellowtail-black yoy","SEBYT","small",2015,0
"329","Cape Alava",2,"JS",NA,"AMHE",NA,2015,0
"330","Cape Alava",2,"NT","Black rockfish","SEME","large",2015,30
"331","Cape Alava",2,"NT","Blackeye goby","RHNI",NA,2015,0
"332","Cape Alava",2,"NT","Buffalo sculpin","ENBI",NA,2015,0
"333","Cape Alava",2,"NT","Cabezon","SCMA",NA,2015,0
"334","Cape Alava",2,"NT","Copper rockfish","SECA","large",2015,0
"335","Cape Alava",2,"NT","Great sculpin","MYOP",NA,2015,0
"336","Cape Alava",2,"NT","Kelp greenling","HEDE",NA,2015,1
"337","Cape Alava",2,"NT","Lingcod","OPEL",NA,2015,0
"338","Cape Alava",2,"NT","Painted greenling","OXPI",NA,2015,0
"339","Cape Alava",2,"NT","Quillback rockfish","SEMA","large",2015,0
"340","Cape Alava",2,"NT","Red Irish Lord","HEHE",NA,2015,1
"341","Cape Alava",2,"NT","Rock greenling","HELA",NA,2015,0
"342","Cape Alava",2,"NT","Striped seaperch","EMLA",NA,2015,0
"343","Cape Alava",2,"NT","Tubesnout","AUFL",NA,2015,0
"344","Cape Alava",2,"NT","YOY rockfish (black dorsal spots)","RYOY","small",2015,0
"345","Cape Alava",2,"NT","bait-sardines-anchovy","BAITBALL",NA,2015,0
"346","Cape Alava",2,"NT","black rockfish","SEME","small",2015,0
"347","Cape Alava",2,"NT","blue rockfish","SEMY","large",2015,0
"348","Cape Alava",2,"NT","blue rockfish","SEMY","small",2015,0
"349","Cape Alava",2,"NT","c-o sole","PLCO",NA,2015,0
"350","Cape Alava",2,"NT","canary rockfish","SEPI","large",2015,0
"351","Cape Alava",2,"NT","canary rockfish","SEPI","small",2015,0
"352","Cape Alava",2,"NT","china rockfish","SENE","large",2015,0
"353","Cape Alava",2,"NT","china rockfish","SENE","small",2015,0
"354","Cape Alava",2,"NT","copper rockfish","SECA","small",2015,0
"355","Cape Alava",2,"NT","greenlings","HEXA",NA,2015,0
"356","Cape Alava",2,"NT","gunnels","PHOL",NA,2015,0
"357","Cape Alava",2,"NT","herring","CLUP",NA,2015,0
"358","Cape Alava",2,"NT","kelp clingfish","RIMU",NA,2015,0
"359","Cape Alava",2,"NT","longfin sculpin","JOZO",NA,2015,0
"360","Cape Alava",2,"NT","manacled sculpin","SYGI",NA,2015,0
"361","Cape Alava",2,"NT","mosshead warbonnet","CHNU",NA,2015,0
"362","Cape Alava",2,"NT","no_transect_no_data","NO_DATA",NA,2015,0
"363","Cape Alava",2,"NT","pile perch","RHVA",NA,2015,0
"364","Cape Alava",2,"NT","quillback rockfish","SEMA","small",2015,0
"365","Cape Alava",2,"NT","rockfish","SEBSPP","large",2015,0
"366","Cape Alava",2,"NT","rockfish","SEBSPP","small",2015,0
"367","Cape Alava",2,"NT","sanddabs","CITH",NA,2015,0
"368","Cape Alava",2,"NT","scalyhead sculpin","ARHA",NA,2015,0
"369","Cape Alava",2,"NT","sculpin","COTT",NA,2015,0
"370","Cape Alava",2,"NT","surfperch","EMBI",NA,2015,2
"371","Cape Alava",2,"NT","unidentified fish","UNID",NA,2015,0
"372","Cape Alava",2,"NT","whitespotted greenling","HEST",NA,2015,0
"373","Cape Alava",2,"NT","yellowtail rockfish","SEFL","large",2015,0
"374","Cape Alava",2,"NT","yellowtail rockfish","SEFL","small",2015,0
"375","Cape Alava",2,"NT","yellowtail-black yoy","SEBYT","small",2015,0
"376","Cape Alava",2,"NT",NA,"AMHE",NA,2015,0
"377","Cape Johnson",1,"JS","Black rockfish","SEME","large",2015,0
"378","Cape Johnson",1,"JS","Blackeye goby","RHNI",NA,2015,0
"379","Cape Johnson",1,"JS","Buffalo sculpin","ENBI",NA,2015,0
"380","Cape Johnson",1,"JS","Cabezon","SCMA",NA,2015,0
"381","Cape Johnson",1,"JS","Copper rockfish","SECA","large",2015,0
"382","Cape Johnson",1,"JS","Great sculpin","MYOP",NA,2015,0
"383","Cape Johnson",1,"JS","Kelp greenling","HEDE",NA,2015,0
"384","Cape Johnson",1,"JS","Lingcod","OPEL",NA,2015,0
"385","Cape Johnson",1,"JS","Painted greenling","OXPI",NA,2015,0
"386","Cape Johnson",1,"JS","Quillback rockfish","SEMA","large",2015,0
