"YEAR","SITE","SIDE","ZONE","TRANSECT","CATEGORY","CLASSCODE","count","transect_id"
2016,"Cape Alava","1",10,1,"COVER","CRUCOR",5,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"COVER","LACY",1,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"COVER","SHELL",1,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"RELIEF","10cm-1m",29,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"RELIEF","1m-2m",1,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"SUBSTRATE","BEDRK",7,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"SUBSTRATE","BOULD",20,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"SUBSTRATE","COB",2,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"SUBSTRATE","SAND",1,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,2,"COVER","BRANCH",15,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"COVER","BRYO",1,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"COVER","CRUCOR",5,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"COVER","LACY",2,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"COVER","LEAFYRED",1,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"COVER","SCUM",2,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"COVER","SHELL",4,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"RELIEF","0-10cm",2,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"RELIEF","10cm-1m",27,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"RELIEF",">2m",1,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"SUBSTRATE","BEDRK",20,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"SUBSTRATE","BOULD",4,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"SUBSTRATE","COB",2,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,2,"SUBSTRATE","SAND",4,"2016_Cape Alava_1_10_2"
2016,"Cape Alava","1",10,3,"COVER","BRANCH",17,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"COVER","BRYO",1,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"COVER","CRUCOR",6,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"COVER","SCUM",1,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"COVER","SHELL",5,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"RELIEF","10cm-1m",26,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"RELIEF","1m-2m",3,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"RELIEF",">2m",1,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"SUBSTRATE","BEDRK",10,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"SUBSTRATE","BOULD",12,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"SUBSTRATE","COB",3,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,3,"SUBSTRATE","SAND",5,"2016_Cape Alava_1_10_3"
2016,"Cape Alava","1",10,4,"COVER","BARNAC",1,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"COVER","BRANCH",17,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"COVER","BROWNUN",2,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"COVER","CRUCOR",6,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"COVER","SHELL",4,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"RELIEF","10cm-1m",23,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"RELIEF","1m-2m",6,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"RELIEF",">2m",1,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"SUBSTRATE","BEDRK",9,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"SUBSTRATE","BOULD",17,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,4,"SUBSTRATE","SAND",4,"2016_Cape Alava_1_10_4"
2016,"Cape Alava","1",10,5,"COVER","BRANCH",18,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"COVER","BROWNUN",1,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"COVER","CRUCOR",5,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"COVER","LEAFYRED",1,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"COVER","SHELL",5,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"RELIEF","0-10cm",1,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"RELIEF","10cm-1m",27,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"RELIEF","1m-2m",2,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"SUBSTRATE","BEDRK",1,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"SUBSTRATE","BOULD",19,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"SUBSTRATE","COB",5,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,5,"SUBSTRATE","SAND",5,"2016_Cape Alava_1_10_5"
2016,"Cape Alava","1",10,6,"COVER","BRANCH",22,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"COVER","CRUCOR",6,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"COVER","SHELL",2,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"RELIEF","10cm-1m",28,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"RELIEF","1m-2m",2,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"SUBSTRATE","BEDRK",2,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"SUBSTRATE","BOULD",24,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"SUBSTRATE","COB",2,"2016_Cape Alava_1_10_6"
2016,"Cape Alava","1",10,6,"SUBSTRATE","SAND",2,"2016_Cape Alava_1_10_6"
2016,"Cape Johnson","1",5,1,"COVER","BRANCH",17,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"COVER","BRYO",2,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"COVER","CRUCOR",7,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"COVER","CUPCOR",1,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"COVER","LEAFYRED",2,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"COVER","MACPYR_HF",1,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"RELIEF","0-10cm",1,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"RELIEF","10cm-1m",29,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"SUBSTRATE","BEDRK",13,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"SUBSTRATE","BOULD",15,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,1,"SUBSTRATE","SAND",2,"2016_Cape Johnson_1_5_1"
2016,"Cape Johnson","1",5,2,"COVER","BRANCH",17,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,2,"COVER","BROWNUN",1,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,2,"COVER","CRUCOR",5,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,2,"COVER","MACPYR_HF",3,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,2,"COVER","PTERO",4,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,2,"RELIEF","10cm-1m",30,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,2,"SUBSTRATE","BEDRK",14,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,2,"SUBSTRATE","BOULD",16,"2016_Cape Johnson_1_5_2"
2016,"Cape Johnson","1",5,3,"COVER","BRANCH",20,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,3,"COVER","CRUCOR",5,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,3,"COVER","MACPYR_HF",2,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,3,"COVER","PTERO",3,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,3,"RELIEF","0-10cm",1,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,3,"RELIEF","10cm-1m",29,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,3,"SUBSTRATE","BEDRK",8,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,3,"SUBSTRATE","BOULD",22,"2016_Cape Johnson_1_5_3"
2016,"Cape Johnson","1",5,4,"COVER","ARTCOR",1,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"COVER","BRANCH",16,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"COVER","CRUCOR",9,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"COVER","MACPYR_HF",1,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"COVER","PTERO",3,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"RELIEF","0-10cm",1,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"RELIEF","10cm-1m",29,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"SUBSTRATE","BEDRK",12,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,4,"SUBSTRATE","BOULD",18,"2016_Cape Johnson_1_5_4"
2016,"Cape Johnson","1",5,5,"COVER","ARTCOR",1,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"COVER","BRANCH",20,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"COVER","CRUCOR",7,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"COVER","MACPYR_HF",1,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"COVER","PTERO",1,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"RELIEF","0-10cm",2,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"RELIEF","10cm-1m",28,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"SUBSTRATE","BEDRK",5,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,5,"SUBSTRATE","BOULD",25,"2016_Cape Johnson_1_5_5"
2016,"Cape Johnson","1",5,6,"COVER","BRANCH",23,"2016_Cape Johnson_1_5_6"
2016,"Cape Johnson","1",5,6,"COVER","CRUCOR",5,"2016_Cape Johnson_1_5_6"
2016,"Cape Johnson","1",5,6,"COVER","PTERO",2,"2016_Cape Johnson_1_5_6"
2016,"Cape Johnson","1",5,6,"RELIEF","10cm-1m",30,"2016_Cape Johnson_1_5_6"
2016,"Cape Johnson","1",5,6,"SUBSTRATE","BEDRK",8,"2016_Cape Johnson_1_5_6"
2016,"Cape Johnson","1",5,6,"SUBSTRATE","BOULD",22,"2016_Cape Johnson_1_5_6"
2016,"Cape Johnson","1",10,1,"COVER","ARTCOR",1,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,1,"COVER","BARROC",7,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,1,"COVER","BRANCH",21,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,1,"COVER","LEAFYRED",1,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,1,"RELIEF","0-10cm",29,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,1,"RELIEF","10cm-1m",1,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,1,"SUBSTRATE","BOULD",21,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,1,"SUBSTRATE","COB",9,"2016_Cape Johnson_1_10_1"
2016,"Cape Johnson","1",10,2,"COVER","BARNAC",2,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"COVER","BARROC",2,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"COVER","BRANCH",24,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"COVER","CRUCOR",2,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"RELIEF","0-10cm",20,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"RELIEF","10cm-1m",5,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"RELIEF","1m-2m",5,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"SUBSTRATE","BEDRK",7,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"SUBSTRATE","BOULD",13,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,2,"SUBSTRATE","COB",10,"2016_Cape Johnson_1_10_2"
2016,"Cape Johnson","1",10,3,"COVER","BRANCH",26,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"COVER","CRUCOR",2,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"COVER","SCUM",2,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"RELIEF","0-10cm",6,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"RELIEF","10cm-1m",19,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"RELIEF","1m-2m",5,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"SUBSTRATE","BEDRK",3,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"SUBSTRATE","BOULD",18,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,3,"SUBSTRATE","COB",9,"2016_Cape Johnson_1_10_3"
2016,"Cape Johnson","1",10,4,"COVER","ARTCOR",2,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"COVER","BRANCH",21,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"COVER","CRUCOR",5,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"COVER","SCUM",2,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"RELIEF","0-10cm",19,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"RELIEF","10cm-1m",8,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"RELIEF","1m-2m",3,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"SUBSTRATE","BEDRK",4,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"SUBSTRATE","BOULD",9,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,4,"SUBSTRATE","COB",17,"2016_Cape Johnson_1_10_4"
2016,"Cape Johnson","1",10,5,"COVER","ARTCOR",1,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"COVER","BRANCH",22,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"COVER","CRUCOR",2,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"COVER","SCUM",1,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"COVER","SHELL",4,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"RELIEF","0-10cm",14,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"RELIEF","10cm-1m",9,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"RELIEF","1m-2m",7,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"SUBSTRATE","BEDRK",8,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"SUBSTRATE","BOULD",5,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"SUBSTRATE","COB",13,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,5,"SUBSTRATE","SAND",4,"2016_Cape Johnson_1_10_5"
2016,"Cape Johnson","1",10,6,"COVER","ARTCOR",1,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"COVER","BRANCH",19,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"COVER","CRUCOR",6,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"COVER","PTERO",1,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"COVER","SHELL",4,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"RELIEF","0-10cm",21,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"RELIEF","10cm-1m",9,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"SUBSTRATE","BOULD",6,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"SUBSTRATE","COB",20,"2016_Cape Johnson_1_10_6"
2016,"Cape Johnson","1",10,6,"SUBSTRATE","SAND",4,"2016_Cape Johnson_1_10_6"
2016,"Destruction Island","1",5,1,"COVER","BARROC",2,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"COVER","BRANCH",7,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"COVER","BROWNUN",11,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"COVER","CRUCOR",6,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"COVER","LAMHOLD",1,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"COVER","NEREO_HF",2,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"COVER","PTERO",1,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"RELIEF",">2m",30,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",5,1,"SUBSTRATE","BEDRK",30,"2016_Destruction Island_1_5_1"
2016,"Destruction Island","1",10,1,"COVER","BARNAC",6,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","BRANCH",13,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","BROWNUN",1,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","BRYO",1,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","CRUCOR",3,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","CUPCOR",1,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","HYDROID",2,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","LEAFYRED",1,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"COVER","SHELL",2,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"RELIEF","10cm-1m",30,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,1,"SUBSTRATE","BEDRK",30,"2016_Destruction Island_1_10_1"
2016,"Destruction Island","1",10,2,"COVER","BARNAC",6,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"COVER","BRANCH",16,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"COVER","CRUCOR",1,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"COVER","CUPCOR",1,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"COVER","LACY",1,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"COVER","LEAFYRED",4,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"COVER","SPONGE",1,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"RELIEF","10cm-1m",14,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"RELIEF","1m-2m",11,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"RELIEF",">2m",5,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,2,"SUBSTRATE","BEDRK",30,"2016_Destruction Island_1_10_2"
2016,"Destruction Island","1",10,3,"COVER","BARNAC",10,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"COVER","BIVALVE",1,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"COVER","BRANCH",11,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"COVER","BROWNUN",1,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"COVER","CRUCOR",3,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"COVER","LEAFYRED",1,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"COVER","SHELL",2,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"COVER","SOLTUN",1,"2016_Destruction Island_1_10_3"
2016,"Destruction Island","1",10,3,"RELIEF","10cm-1m",20,"2016_Destruction Island_1_10_3"
