"entry.order","YEAR","MONTH","DAY","SITE","OBSERVER","BUDDY","SIDE","ZONE","TRANSECT","HEADING","DEPTH..M.","DEPTH..FT.","SEGMENT","CATEGORY","CLASSCODE","COUNT","Cntrl.a","notes","problems"
17,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"10-20m","COVER","BROWNUN",1,NA,NA,NA
18,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"10-20m","COVER","ZOSTERA",1,NA,NA,NA
19,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","SUBSTRATE","BEDRK",2,NA,NA,NA
20,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","SUBSTRATE","BOULD",1,NA,NA,NA
21,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","SUBSTRATE","SAND",7,NA,NA,NA
22,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","RELIEF","0-10cm",7,NA,NA,NA
23,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","RELIEF","10cm-1m",3,NA,NA,NA
24,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","COVER","BARSAN",7,NA,NA,NA
25,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","COVER","CRUCOR",1,NA,NA,NA
26,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,1,NA,NA,18,"20-30m","COVER","PTERO",2,NA,NA,NA
27,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"0-10m","SUBSTRATE","BOULD",1,NA,NA,NA
28,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"0-10m","SUBSTRATE","SAND",9,NA,NA,NA
29,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"0-10m","RELIEF","0-10cm",10,NA,NA,NA
30,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"0-10m","COVER","BARSAN",7,NA,NA,NA
31,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"0-10m","COVER","CRUCOR",1,NA,NA,NA
32,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"0-10m","COVER","BROWNUN",2,NA,NA,NA
33,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"10-20m","SUBSTRATE","BEDRK",10,NA,NA,NA
34,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"10-20m","RELIEF","10cm-1m",10,NA,NA,NA
35,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"10-20m","COVER","LEAFYRED",6,NA,NA,NA
36,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"10-20m","COVER","CRUCOR",3,NA,NA,NA
37,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"10-20m","COVER","PTERO",1,NA,NA,NA
38,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","SUBSTRATE","BEDRK",8,NA,NA,NA
39,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","SUBSTRATE","COB",2,NA,NA,NA
40,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","RELIEF","10cm-1m",10,NA,NA,NA
41,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","COVER","LEAFYRED",3,NA,NA,NA
42,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","COVER","CRUCOR",2,NA,NA,NA
43,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","COVER","MACPYR_HF",2,NA,NA,NA
44,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","COVER","BROWNUN",2,NA,NA,NA
45,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,2,NA,NA,20,"20-30m","COVER","HYDROID",1,NA,NA,NA
46,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"0-10m","SUBSTRATE","SAND",10,NA,NA,NA
47,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"0-10m","RELIEF","0-10cm",7,NA,NA,NA
48,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"0-10m","RELIEF","10cm-1m",3,NA,NA,NA
49,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"0-10m","COVER","BARSAN",2,NA,NA,NA
50,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"0-10m","COVER","LEAFYRED",1,NA,NA,NA
51,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"0-10m","COVER","BROWNUN",7,NA,NA,NA
52,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"10-20m","SUBSTRATE","BOULD",1,NA,NA,NA
53,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"10-20m","SUBSTRATE","SAND",9,NA,NA,NA
54,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"10-20m","RELIEF","0-10cm",8,NA,NA,NA
55,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"10-20m","RELIEF","10cm-1m",2,NA,NA,NA
56,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"10-20m","COVER","BARSAN",8,NA,NA,NA
57,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"10-20m","COVER","CRUCOR",1,NA,NA,NA
58,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"10-20m","COVER","BROWNUN",1,NA,NA,NA
59,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","SUBSTRATE","BEDRK",7,NA,NA,NA
60,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","SUBSTRATE","BOULD",2,NA,NA,NA
61,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","SUBSTRATE","SAND",1,NA,NA,NA
62,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","RELIEF","0-10cm",2,NA,NA,NA
63,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","RELIEF","10cm-1m",8,NA,NA,NA
64,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","COVER","LEAFYRED",3,NA,NA,NA
65,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","COVER","NEREO_HF",1,NA,NA,NA
66,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","COVER","PTERO",1,NA,NA,NA
67,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,3,NA,NA,15,"20-30m","COVER","BROWNUN",5,NA,NA,NA
68,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"0-10m","SUBSTRATE","BEDRK",3,NA,NA,NA
69,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"0-10m","SUBSTRATE","BOULD",7,NA,NA,NA
70,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"0-10m","RELIEF","0-10cm",1,NA,NA,NA
71,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"0-10m","RELIEF","10cm-1m",9,NA,NA,NA
72,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"0-10m","COVER","LEAFYRED",5,NA,NA,NA
73,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"0-10m","COVER","CRUCOR",1,NA,NA,NA
74,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"0-10m","COVER","BROWNUN",4,NA,NA,NA
75,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","SUBSTRATE","BEDRK",4,NA,NA,NA
76,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","SUBSTRATE","BOULD",5,NA,NA,NA
77,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","SUBSTRATE","COB",1,NA,NA,NA
78,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","RELIEF","10cm-1m",4,NA,NA,NA
79,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","RELIEF","1m-2m",6,NA,NA,NA
80,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","COVER","LEAFYRED",3,NA,NA,NA
81,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","COVER","LACY",1,NA,NA,NA
82,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","COVER","CRUCOR",1,NA,NA,NA
83,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","COVER","BROWNUN",4,NA,NA,NA
84,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"10-20m","COVER","HYDROID",1,NA,NA,NA
85,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","SUBSTRATE","BEDRK",4,NA,NA,NA
86,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","SUBSTRATE","BOULD",6,NA,NA,NA
87,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","RELIEF","10cm-1m",5,NA,NA,NA
88,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","RELIEF","1m-2m",5,NA,NA,NA
89,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","COVER","LEAFYRED",4,NA,NA,NA
90,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","COVER","LACY",2,NA,NA,NA
91,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","COVER","CRUCOR",1,NA,NA,NA
92,2016,8,12,"Neah Bay","Kinsey Frick","Steve Lonhart",1,5,4,NA,NA,17,"20-30m","COVER","BROWNUN",3,NA,NA,NA
93,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"0-10m","SUBSTRATE","BEDRK",8,NA,NA,NA
94,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"0-10m","SUBSTRATE","SAND",2,NA,NA,NA
95,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"0-10m","RELIEF","0-10cm",9,NA,NA,NA
96,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"0-10m","RELIEF","10cm-1m",1,NA,NA,NA
97,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"0-10m","COVER","SHELL",5,NA,NA,NA
98,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"0-10m","COVER","BRANCH",2,NA,NA,NA
99,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"0-10m","COVER","BROWNUN",3,NA,NA,NA
100,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","SUBSTRATE","BEDRK",8,NA,NA,NA
101,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","SUBSTRATE","SAND",2,NA,NA,NA
102,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","RELIEF","0-10cm",9,NA,NA,NA
103,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","RELIEF","10cm-1m",1,NA,NA,NA
104,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","COVER","SHELL",2,NA,NA,NA
105,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","COVER","BRANCH",5,NA,NA,NA
106,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","COVER","LEAFYRED",1,NA,NA,NA
107,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","COVER","LACY",1,NA,NA,NA
108,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"10-20m","COVER","BROWNUN",1,NA,NA,NA
109,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","SUBSTRATE","BEDRK",8,NA,NA,NA
110,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","SUBSTRATE","BOULD",1,NA,NA,NA
111,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","SUBSTRATE","sand",1,NA,NA,NA
112,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","RELIEF","0-10cm",10,NA,NA,NA
113,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","COVER","SHELL",1,NA,NA,NA
114,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","COVER","BRANCH",5,NA,NA,NA
115,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","COVER","CRUCOR",2,NA,NA,NA
116,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","COVER","PTERO",1,NA,NA,NA
117,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,1,NA,NA,30,"20-30m","COVER","BROWNUN",1,NA,NA,NA
118,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"0-10m","SUBSTRATE","BEDRK",10,NA,NA,NA
119,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"0-10m","RELIEF","0-10cm",10,NA,NA,NA
120,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"0-10m","COVER","SHELL",1,NA,NA,NA
121,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"0-10m","COVER","LEAFYRED",3,NA,NA,NA
122,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"0-10m","COVER","LACY",2,NA,NA,NA
123,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"0-10m","COVER","BROWNUN",4,NA,NA,NA
124,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"10-20m","SUBSTRATE","BEDRK",10,NA,NA,NA
125,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"10-20m","RELIEF","0-10cm",9,NA,NA,NA
126,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"10-20m","RELIEF","10cm-1m",1,NA,NA,NA
127,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"10-20m","COVER","LEAFYRED",3,NA,NA,NA
128,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"10-20m","COVER","LACY",2,NA,NA,NA
129,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"10-20m","COVER","NEREO_HF",1,NA,NA,NA
130,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"10-20m","COVER","BROWNUN",4,NA,NA,NA
131,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"20-30m","SUBSTRATE","BEDRK",9,NA,NA,NA
132,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"20-30m","SUBSTRATE","COB",1,NA,NA,NA
133,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"20-30m","RELIEF","0-10cm",10,NA,NA,NA
134,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"20-30m","COVER","BARROC",1,NA,NA,NA
135,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"20-30m","COVER","BRANCH",2,NA,NA,NA
136,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"20-30m","COVER","LACY",2,NA,NA,NA
137,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,2,NA,NA,32,"20-30m","COVER","BROWNUN",5,NA,NA,NA
138,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","SUBSTRATE","BEDRK",9,NA,NA,NA
139,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","SUBSTRATE","SAND",1,NA,NA,NA
140,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","RELIEF","0-10cm",10,NA,NA,NA
141,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","COVER","BARSAN",1,NA,NA,NA
142,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","COVER","BRANCH",4,NA,NA,NA
143,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","COVER","CRUCOR",2,NA,NA,NA
144,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","COVER","NEREO_HF",1,NA,NA,NA
145,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"0-10m","COVER","BROWNUN",3,NA,NA,NA
146,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"10-20m","SUBSTRATE","BEDRK",10,NA,NA,NA
147,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"10-20m","RELIEF","0-10cm",8,NA,NA,NA
148,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"10-20m","RELIEF","10cm-1m",2,NA,NA,NA
149,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"10-20m","COVER","BRANCH",3,NA,NA,NA
150,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"10-20m","COVER","LACY",3,NA,NA,NA
151,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"10-20m","COVER","ARTCOR",1,NA,NA,NA
152,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"10-20m","COVER","BROWNUN",3,NA,NA,NA
153,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"20-30m","SUBSTRATE","BEDRK",10,NA,NA,NA
154,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"20-30m","RELIEF","0-10cm",6,NA,NA,NA
155,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"20-30m","RELIEF","10cm-1m",2,NA,NA,NA
156,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"20-30m","RELIEF","1m-2m",2,NA,NA,NA
157,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"20-30m","COVER","BRANCH",3,NA,NA,NA
158,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"20-30m","COVER","LACY",5,NA,NA,NA
159,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,3,NA,NA,33,"20-30m","COVER","BROWNUN",2,NA,NA,NA
160,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"0-10m","SUBSTRATE","BEDRK",9,NA,NA,NA
161,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"0-10m","SUBSTRATE","BOULD",1,NA,NA,NA
162,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"0-10m","RELIEF","0-10cm",3,NA,NA,NA
163,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"0-10m","RELIEF","10cm-1m",7,NA,NA,NA
164,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"0-10m","COVER","BRANCH",5,NA,NA,NA
165,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"0-10m","COVER","LACY",1,NA,NA,NA
166,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"0-10m","COVER","BROWNUN",4,NA,NA,NA
167,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","SUBSTRATE","BEDRK",6,NA,NA,NA
168,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","SUBSTRATE","BOULD",3,NA,NA,NA
169,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","SUBSTRATE","COB",1,NA,NA,NA
170,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","RELIEF","0-10cm",1,NA,NA,NA
171,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","RELIEF","10cm-1m",7,NA,NA,NA
172,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","RELIEF","1m-2m",2,NA,NA,NA
173,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","COVER","BRANCH",4,NA,NA,NA
174,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","COVER","LACY",1,NA,NA,NA
175,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","COVER","CRUCOR",1,NA,NA,NA
176,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"10-20m","COVER","BROWNUN",4,NA,NA,NA
177,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"20-30m","SUBSTRATE","BEDRK",9,NA,NA,NA
178,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"20-30m","SUBSTRATE","BOULD",1,NA,NA,NA
179,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"20-30m","RELIEF","0-10cm",3,NA,NA,NA
180,2016,8,12,"Neah Bay","Chris Harvey","Greg Williams",1,10,4,NA,NA,34,"20-30m","RELIEF","10cm-1m",6,NA,NA,NA
