"sort_order","YEAR","MONTH","DAY","SITE","OBSERVER","BUDDY","SIDE","ZONE","LEVEL","TRANSECT","DEPTH_M","DEPTH_FT","VIS_M","SURGE","HEADING","TEMP_C","TEMP_F","SPECIES","SEGMENT","QUANTITY","SIZE..MIN.","SIZE..MAX.","Notes"
20,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,50,50,NA
21,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,60,60,NA
22,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",119,6,8,NA
23,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"EMLA","ALL",1,8,8,NA
24,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"EMLA","ALL",1,25,25,NA
25,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"AUFL","ALL",2,5,5,NA
26,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,30,3.3,"L","NW",NA,NA,"RHNI","ALL",2,6,6,NA
27,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,30,3.3,"L","NW",NA,NA,"SEBYT","ALL",107,6,8,NA
28,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,30,3.3,"L","NW",NA,NA,"AUFL","ALL",16,5,10,NA
29,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,25,25,NA
30,2016,8,12,"Neah Bay","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,30,3.3,"L","NW",NA,NA,"HEDE","ALL",1,60,60,NA
31,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"SEME","ALL",1,28,28,NA
32,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"SEME","ALL",1,35,35,NA
33,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"SEME","ALL",2,38,38,NA
34,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"SEME","ALL",2,42,42,NA
35,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"SEFL","ALL",1,6,6,NA
36,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"EMLA","ALL",1,27,27,NA
37,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"EMLA","ALL",2,9,9,NA
38,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",1,NA,19,3,"L","30.0",NA,NA,"EMLA","ALL",1,32,32,NA
39,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"SEME","ALL",2,27,27,NA
40,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"SEME","ALL",1,30,30,NA
41,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"SEME","ALL",100,6,7,NA
42,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"SEFL","ALL",5,6,6,NA
43,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"SEMY","ALL",1,8,8,NA
44,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"EMLA","ALL",3,9,9,NA
45,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"EMLA","ALL",1,25,25,NA
46,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",2,NA,16,3,"L","30.0",NA,NA,"EMLA","ALL",3,30,30,NA
47,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"SEME","ALL",2,32,32,NA
48,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"SEME","ALL",117,6,7,NA
49,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"SEME","ALL",1,26,26,NA
50,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"SEME","ALL",1,37,37,NA
51,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"SEFL","ALL",20,6,6,NA
52,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"SEMY","ALL",2,7,7,NA
53,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"RHVA","ALL",1,27,27,NA
54,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"EMLA","ALL",1,29,29,NA
55,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"EMLA","ALL",3,9,9,NA
56,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"HEDE","ALL",1,36,36,NA
57,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",3,NA,16,3,"L","30.0",NA,NA,"HEDE","ALL",1,34,34,NA
58,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",4,NA,20,3,"L","30.0",NA,NA,"SEME","ALL",70,6,7,NA
59,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",4,NA,20,3,"L","30.0",NA,NA,"EMLA","ALL",3,9,9,NA
60,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"SEME","ALL",2,38,38,NA
61,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"SEME","ALL",1,29,29,NA
62,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"SEME","ALL",35,6,6,NA
63,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"SEFL","ALL",23,7,7,NA
64,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"SCMA","ALL",1,39,39,NA
65,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"EMLA","ALL",1,9,9,NA
66,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"EMLA","ALL",1,30,30,NA
67,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",5,NA,19,3,"L","240.0",NA,NA,"CHNU","ALL",1,12,12,NA
68,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"SEME","ALL",1,30,30,NA
69,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"SEME","ALL",1,32,32,NA
70,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"SEME","ALL",2,35,35,NA
71,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"SEME","ALL",1,40,40,NA
72,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"SEME","ALL",78,6,6,NA
73,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"SEFL","ALL",15,7,7,NA
74,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"SEPI","ALL",3,5,5,NA
75,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"EMLA","ALL",3,9,9,NA
76,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"EMLA","ALL",1,7,7,NA
77,2016,8,10,"Cape Alava","Steve Lonhart","Kelly Andrews","1.0",5,"BOT",6,NA,18,3,"L","240.0",NA,NA,"OPEL","ALL",1,67,67,NA
78,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3,"L","NE",NA,NA,"SEBYT","ALL",3,6,6,NA
79,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3,"L","NE",NA,NA,"EMLA","ALL",6,8,8,NA
80,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3,"L","NE",NA,NA,"OPEL","ALL",1,65,65,NA
81,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,30,3,"L","NE",NA,NA,"HEDE","ALL",1,12,12,NA
82,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"SEBYT","ALL",11,6,6,NA
83,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"SEME","ALL",1,25,25,NA
84,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"SEME","ALL",1,30,30,NA
85,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"EMLA","ALL",2,7,7,NA
86,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"EMLA","ALL",2,15,15,NA
87,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"EMLA","ALL",2,20,20,NA
88,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"EMLA","ALL",5,25,25,NA
89,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"HEDE","ALL",1,12,12,NA
90,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"HEDE","ALL",1,30,30,NA
91,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"HEDE","ALL",1,50,50,NA
92,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,28,3,"M","NE",NA,NA,"HEDE","ALL",1,55,55,NA
93,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",3,NA,26,3,"M","NE",NA,NA,"SEBYT","ALL",2,5,8,NA
94,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",3,NA,26,3,"M","NE",NA,NA,"SEME","ALL",1,7,7,NA
95,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",3,NA,26,3,"M","NE",NA,NA,"OPEL","ALL",1,80,80,NA
96,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"SEBYT","ALL",29,6,6,NA
97,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"SEME","ALL",1,25,25,NA
98,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"SEME","ALL",3,30,30,NA
99,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"SEME","ALL",4,35,35,NA
100,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"RHVA","ALL",1,20,20,NA
101,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"RHVA","ALL",1,25,25,NA
102,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"EMLA","ALL",2,8,8,NA
103,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"EMLA","ALL",1,15,15,NA
104,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"EMLA","ALL",1,25,25,NA
105,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"OPEL","ALL",1,45,45,NA
106,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"HEDE","ALL",1,14,14,NA
107,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"HEDE","ALL",1,45,45,NA
108,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",4,NA,27,3,"M","NE",NA,NA,"HEDE","ALL",1,60,60,NA
109,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"SEBYT","ALL",5,6,8,NA
110,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"SEME","ALL",1,25,25,NA
111,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"SEME","ALL",1,35,35,NA
112,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"SEME","ALL",3,30,30,NA
113,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"SEPI","ALL",1,10,10,NA
114,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"EMLA","ALL",3,8,8,NA
115,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"EMLA","ALL",2,15,15,NA
116,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"EMLA","ALL",3,20,20,NA
117,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"HEDE","ALL",1,35,35,NA
118,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",5,NA,27,3,"M","NE",NA,NA,"HEDE","ALL",1,60,60,NA
119,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,25,3,"M","NE",NA,NA,"SEME","ALL",3,25,25,NA
120,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,25,3,"M","NE",NA,NA,"SEME","ALL",7,30,30,NA
121,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,25,3,"M","NE",NA,NA,"SEME","ALL",4,35,35,NA
122,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,25,3,"M","NE",NA,NA,"EMLA","ALL",3,10,10,NA
123,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,25,3,"M","NE",NA,NA,"EMLA","ALL",1,15,15,NA
124,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,25,3,"M","NE",NA,NA,"EMLA","ALL",4,25,25,NA
125,2016,8,10,"Cape Alava","Greg Williams","Chris Harvey","1.0",10,"BOT",6,NA,25,3,"M","NE",NA,NA,"HEDE","ALL",1,30,30,NA
126,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",1,NA,15,3,"L","240.0",NA,NA,"SEME","ALL",52,6,6,NA
127,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",1,NA,15,3,"L","240.0",NA,NA,"SEFL","ALL",170,7,7,NA
128,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",1,NA,15,3,"L","240.0",NA,NA,"SEMY","ALL",4,8,8,NA
129,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,15,3,"M","240.0",NA,NA,"SEME","ALL",1,22,22,NA
130,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,15,3,"M","240.0",NA,NA,"EMLA","ALL",1,22,22,NA
131,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,15,3,"M","240.0",NA,NA,"HEDE","ALL",2,32,32,NA
132,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,15,3,"M","240.0",NA,NA,"HEDE","ALL",1,16,16,NA
133,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,15,3,"M","240.0",NA,NA,"HEDE","ALL",1,37,37,NA
134,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",3,NA,17,3.7,"M","240.0",NA,NA,"SEME","ALL",10,6,6,NA
135,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",3,NA,17,3.7,"M","240.0",NA,NA,"SEFL","ALL",70,7,7,NA
136,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",3,NA,17,3.7,"M","240.0",NA,NA,"EMLA","ALL",1,16,16,NA
137,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"SEME","ALL",16,6,6,NA
138,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"SEME","ALL",1,24,24,NA
139,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"SEME","ALL",1,27,27,NA
140,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"SEFL","ALL",22,7,7,NA
141,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"EMLA","ALL",1,15,15,NA
142,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"SCMA","ALL",1,38,38,NA
143,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"RYOY","ALL",1,5,5,NA
144,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"HEDE","ALL",1,23,23,NA
145,2016,8,11,"Tatoosh Island","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",4,NA,15,3.7,"M","240.0",NA,NA,"HEDE","ALL",1,35,35,NA
146,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,34,5,"M","NW",NA,NA,"SEBYT","ALL",145,6,8,NA
147,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,34,5,"M","NW",NA,NA,"SEME","ALL",8,30,30,NA
148,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,34,5,"M","NW",NA,NA,"SEME","ALL",3,25,25,NA
149,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,34,5,"M","NW",NA,NA,"SEME","ALL",7,35,35,NA
150,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,34,5,"M","NW",NA,NA,"HEDE","ALL",2,35,35,NA
151,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",1,NA,34,5,"M","NW",NA,NA,"HEDE","ALL",1,40,40,NA
152,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"SEBYT","ALL",85,6,8,NA
153,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"SEME","ALL",1,25,25,NA
154,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"SEME","ALL",3,30,30,NA
155,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"SEME","ALL",1,35,35,NA
156,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"EMLA","ALL",3,20,20,NA
157,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"EMLA","ALL",2,25,25,NA
158,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"HEDE","ALL",1,40,40,NA
159,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",2,NA,29,5,"M","NW",NA,NA,"HEDE","ALL",1,45,45,NA
160,2016,8,11,"Tatoosh Island","Greg Williams","Chris Harvey","1.0",10,"BOT",3,NA,28,5,"M","NW",NA,NA,"SEBYT","ALL",66,6,8,NA
