"species","common.name","group","functional_group","spp","taxa","group_1","group_2"
"CRYSIT","Cryptolithoides sitchensis, umbrella crab","Invert","crabs","Cryptolithoides sitchensis","crabs","mobile_invert","crabs"
"LOPMAN","Lopholithodes mandtii, Puget Sound king crab","Invert","crabs","Lopholithodes mandtii","crabs","mobile_invert","crabs"
"MIMFOL","Mimulus foliatus, mimicking crab","Invert","crabs","Mimulus foliatus","crabs","mobile_invert","crabs"
"SCYDEC","Scyra spp., decorator crab, moss crab","Invert","crabs","Scyra spp.","crabs","mobile_invert","crabs"
"CUCMIN","Cucumaria miniata, orange sea cucumber","Invert","sea_cucumber","Cucumaria miniata","cucumber","sea_cucumber","orange_cucumber"
"EUPQUI","Eupentacta quinquesemita, white sea cucumber","Invert","sea_cucumber","Eupentacta quinquesemita","cucumber","sea_cucumber","sea_cucumber"
"PARCAL","Parastichopus californicus, california sea cucumber","Invert","sea_cucumber","Parastichopus californicus","cucumber","sea_cucumber","Cal_cuc"
"STRDRO","Strongylocentrotus droebachiensis, green urchin","Invert","urchin","Strongylocentrotus droebachiensis","green urchin","urchin","green_urchin"
"PAGSPP","Pagurus spp, hermit crabs","Invert","crabs","Pagurus spp","hermit_crabs","mobile_invert","hermit_crabs"
"PUGGRA","Pugettia gracilis, graceful kelp crab","Invert","crabs","Pugettia gracilis","kelp crab","mobile_invert","kelp_crab"
"PUGPRO","Pugettia producta, kelp crab","Invert","crabs","Pugettia producta","kelp crab","mobile_invert","kelp_crab"
"EVATRO","Evasterias troschelii, mottled star","Invert","seastar","Evasterias troschelii","large star","large_sea_star","large_sea_star"
"ORTKOE","Orthasterias koehleri, rainbow star","Invert","seastar","Orthasterias koehleri","large star","large_sea_star","large_sea_star"
"SOLSTI","Solaster stimpsoni, orange sun star","Invert","seastar","Solaster stimpsoni","large star","large_sea_star","large_sea_star"
"DERIMB","Dermasterias imbricata, leather star","Invert","seastar","Dermasterias imbricata","leather star","med_sea_star","leather_star"
"CROPAP","Crossaster papposus, sea star","Invert","seastar","Crossaster papposus","medium star","med_sea_star","med_sea_star"
"MEDAEQ","Mediaster aequalis, red star","Invert","seastar","Mediaster aequalis","medium star","med_sea_star","med_sea_star"
"PATMIN","Patiria miniata, bat star","Invert","seastar","Patiria miniata","medium star","med_sea_star","med_sea_star"
"UNIDSP","Unidentified mobile invert species","Invert","mobile_invert","mobile_invert_unident","mobile_invert","mobile_invert","mobile_invert"
"NO_ORG","No organisms present in this sample","Invert","none","No organisms","no_org","0","no_org"
"ACAHUD","Acanthodoris hudsoni, white nudibranch with yellow margin (we lump with Cadlina luteomarginata)","Invert","large_nudibranch","Acanthodoris hudsoni","nudibranch","mollusk","large_nudibranch"
"ACANAN","Acanthodoris nanaimo","Invert","large_nudibranch","Acanthodoris nanaimo","nudibranch","mollusk","large_nudibranch"
"CADLUT","Cadlina luteomarginata","Invert","med_nudibranch","Cadlina luteomarginata","nudibranch","mollusk","med_nudibranch"
"DIASAN","Dialula sandiegensis","Invert","med_nudibranch","Dialula sandiegensis","nudibranch","mollusk","med_nudibranch"
"DIRALB","Dirona albolineata, white lined nudibranch","Invert","med_nudibranch","Dirona albolineata","nudibranch","mollusk","med_nudibranch"
"DORODH","Doris odhneri, white knight dorid nudibranch","Invert","large_nudibranch","Doris odhneri","nudibranch","mollusk","large_nudibranch"
"HERCRA","Hermissenda crassicornis, opalescent nudibranch","Invert","med_nudibranch","Hermissenda crassicornis","nudibranch","mollusk","med_nudibranch"
"JANFUS","Janolus fuscus, nudibranch","Invert","med_nudibranch","Janolus fuscus","nudibranch","mollusk","med_nudibranch"
"LIMCOC","Limacia cockerelli","Invert","med_nudibranch","Limacia cockerelli","nudibranch","mollusk","med_nudibranch"
"PELNOB","Peltodoris nobilis, pacific sea lemon","Invert","large_nudibranch","Peltodoris nobilis","nudibranch","mollusk","large_nudibranch"
"TRICAT","Triopha catalinae, sea clown nudibranch","Invert","med_nudibranch","Triopha catalinae","nudibranch","mollusk","med_nudibranch"
"ENTDOF","Enteroctopus dofleini","Invert","octopus","Enteroctopus dofleini","octopus","mollusk","octopus"
"PISBRE","Pisaster brevispinus, short spined star","Invert","seastar","Pisaster brevispinus","Pisaster","large_sea_star","large_sea_star"
"PISGIG","Pisaster giganteus, giant spined star","Invert","seastar","Pisaster giganteus","Pisaster","large_sea_star","large_sea_star"
"PISOCH","Pisaster ochraceous, ochre star","Invert","seastar","Pisaster ochraceous","Pisaster","large_sea_star","P_ochraceous"
"STRPUR","Strongylocentrotus purpuratus, purple urchin","Invert","urchin","Strongylocentrotus purpuratus","purple urchin","urchin","purple_urchin"
"PYCHEL","Pycnopodia helianthoides, sunflower star","Invert","seastar","Pycnopodia helianthoides","Pycnopodia","large_sea_star","large_sea_star"
"MESFRA","Mesocentrotus franciscanus, red urchin","Invert","urchin","Mesocentrotus franciscanus","red urchin","urchin","red_urchin"
"STARREC","sea star recruits (unidentifiable to species)","Invert","seastar","sea star recruits","sea_star_YOY","med_sea_star","sea_star_YOY"
"ACMMIT","Acmaea mitra, white cap limpet","Invert","shelled_mollusk","Acmaea mitra","shelled gastropod","mollusk","shelled_gastropod"
"CERFOL","Ceratostoma foliatum, Leafy hornmouth","Invert","shelled_mollusk","Ceratostoma foliatum","shelled gastropod","mollusk","shelled_gastropod"
"DIOASP","Diodora aspera, rough keyhole limpet","Invert","shelled_mollusk","Diodora aspera","shelled gastropod","mollusk","shelled_gastropod"
"FUSORE","Fusitriton oregonensis, Oregon hairy triton","Invert","shelled_mollusk","Fusitriton oregonensis","shelled gastropod","mollusk","shelled_gastropod"
"LIRDIR","Lirabuccinum dirum, dire whelk","Invert","shelled_mollusk","Lirabuccinum dirum","shelled gastropod","mollusk","shelled_gastropod"
"NUCLAM","Nucella lamellosa, whelk (used generally for rough predatory whelks)","Invert","shelled_mollusk","Nucella lamellosa","shelled gastropod","mollusk","shelled_gastropod"
"TEGSPP","Tegula spp., turban snails","Invert","shelled_mollusk","Tegula spp.","shelled gastropod","mollusk","shelled_gastropod"
"MYTCAL","Mytilus californianus, California mussel","Invert","shelled_mollusk","Mytilus californianus","shelled mussel","mollusk","shelled_mollusk"
"CRAARB","Craniella arb, grey tennis ball sponge","Invert","sponge","Craniella arb","sponge","sponge","sponge"
"STYFOR","Stylasterias forreri","Invert","large_sea_star","Stylasterias forreri","Stylasterias","large_sea_star","large_sea_star"
"STYMON","Styela montereyensis, stalked tunicate","Invert","tunicate","Styela montereyensis","tunicate","tunicate","tunicate"
