"year","index","SE","timeseries","metric","taxa","spp"
2021,0.8375,0.726743593023014,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2021,11.2185714285714,2.67578592201497,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2022,0,0,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2022,0.223443223443223,0.102214649750703,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2022,0,0,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2022,0,0,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2022,0,0,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2022,0.223443223443223,0.102214649750703,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2023,0.400735294117647,0.13259224009645,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2023,1.69808823529412,0.614581172654697,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2023,0,0,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2023,0.796764705882353,0.239042226567349,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2023,0.2375,0.09340550894003,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2023,3.13308823529412,0.663417226833084,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2024,0,0,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2024,7.80112044817927,3.36180659974846,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2024,0,0,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2024,0,0,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2024,0.775210084033613,0.607583703945857,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2024,8.796918767507,3.30137312762007,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
2025,0,0,"Unidentified","Rockfish juveniles per 120 m^3","RYOY","Unidentified"
2025,21.3577380952381,5.54374558905558,"YTB","Rockfish juveniles per 120 m^3","SEBYTyoy","yellowtail & black complex"
2025,0.9575,0.450069108449972,"CQB","Rockfish juveniles per 120 m^3","SECAyoy","copper quilback black complex"
2025,1.43416666666667,0.452195392280177,"Blue","Rockfish juveniles per 120 m^3","SEMYyoy","Blue"
2025,0.715,0.197531391919489,"Canary","Rockfish juveniles per 120 m^3","SEPIyoy","Canary"
2025,25.1725,5.50455160159137,NA,"Rockfish juveniles per 120 m^3","TOTyoy",NA
