SITE,Year,Survey,Source,Longitude,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,urchin,,,0.12,0,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,urchin,,,0.48,0.303,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,urchin,,,0.33,0.753,
Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 37.877'W ,48,23.143,124,37.877,6,6,16,cucmber,,,0,0,
Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,19.061,124,40.307,6,6,36,cucmber,,,0,0,
Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,18.387,124,40.307,6,6,32,cucmber,,,0.38,1.56,
Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,4.5-6,5,20,cucmber,,,0,0,
Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,3-4.5,4,35,cucmber,,,0.23,0.94,
Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 41.037'W,47,58.385,124,41.037,4.5-6,5,31,cucmber,,,0,0,
Rock #305,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,cucmber,,,0,0,
Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 36.324'W,47,52.16,124,36.324,6-horiz,6,30,cucmber,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,6-slope,6,14,cucmber,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,12,12,16,cucmber,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,18-21,20,32,cucmber,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-horiz,6,13,cucmber,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-slope,6,27,cucmber,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,12,12,30,cucmber,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,6,6,30,cucmber,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,12,12,30,cucmber,,,0,0,
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,19.061,124,40.307,6,6,30,cucmber,,,0,0,
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,18.387,124,40.307,6,6,30,cucmber,,,0,0.56,
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,cucmber,,,0,0,
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,cucmber,,,0.27,1.02,
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 41.037'W,47,58.385,124,41.037,6,6,30,cucmber,,,0,0,
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,cucmber,,,0,0,
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 36.324'W,47,52.16,124,36.324,6,6,30,cucmber,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,6,6,30,cucmber,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,12,12,30,cucmber,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,18,18,30,cucmber,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,6,6,28,cucmber,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,12,12,32,cucmber,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,6,6,30,cucmber,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,12,12,30,cucmber,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,18,18,30,cucmber,,,0.13,0.73,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,6,6,30,cucmber,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,12,12,30,cucmber,,,0.13,0.73,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,18,18,30,cucmber,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,6,6,30,cucmber,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,12,12,25,cucmber,,,3.04,4.66,
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 28.452'W,47,40.892,124,28.452,6,6,30,cucmber,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,6,6,30,cucmber,,,0.13,0.73,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,12,12,30,cucmber,,,0,0,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,cucmber,,,0.24,0.59,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,cucmber,,,0.36,0.66,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,cucmber,,,0.3,0.61,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,cucmber,,,0.1,0.31,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,cucmber,,,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,cucmber,,,0.99,1.67,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,cucmber,,,0.22,0.62,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,cucmber,,,1.06,1.62,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,cucmber,,,1.31,2.21,
Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 37.877'W ,48,23.143,124,37.877,6,6,16,crab,,,0,0,
Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,19.061,124,40.307,6,6,36,crab,,,0.11,0.67,
Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,18.387,124,40.307,6,6,32,crab,,,0,0,
Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,4.5-6,5,20,crab,,,0,0,
Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,3-4.5,4,35,crab,,,0.11,0.68,
Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 41.037'W,47,58.385,124,41.037,4.5-6,5,31,crab,,,0,0,
Rock #305,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,crab,,,0,0,
Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 36.324'W,47,52.16,124,36.324,6-horiz,6,30,crab,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,6-slope,6,14,crab,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,12,12,16,crab,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,18-21,20,32,crab,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-horiz,6,13,crab,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-slope,6,27,crab,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,12,12,30,crab,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,6,6,30,crab,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,12,12,30,crab,,,0,0,
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,19.061,124,40.307,6,6,30,crab,,,0,0,
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,18.387,124,40.307,6,6,30,crab,,,0,0,
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,crab,,,0,0,
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,crab,,,0,0,
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 41.037'W,47,58.385,124,41.037,6,6,30,crab,,,0,0,
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,crab,,,0,0,
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 36.324'W,47,52.16,124,36.324,6,6,30,crab,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,6,6,30,crab,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,12,12,30,crab,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,18,18,30,crab,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,6,6,28,crab,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,12,12,32,crab,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,6,6,30,crab,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,12,12,30,crab,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,18,18,30,crab,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,6,6,30,crab,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,12,12,30,crab,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,18,18,30,crab,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,6,6,30,crab,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,12,12,25,crab,,,0,0,
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 28.452'W,47,40.892,124,28.452,6,6,30,crab,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,6,6,30,crab,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,12,12,30,crab,,,0,0,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,crab,,,0,0,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,crab,,,0,0,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,crab,,,0,0,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,crab,,,0,0,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,crab,,,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,crab,,,0.18,0.5,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,crab,,,0,0,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,crab,,,0.02,0.14,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,crab,,,0.15,0.5,
Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 37.877'W ,48,23.143,124,37.877,6,6,16,chiton,,,0.25,1,
Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,19.061,124,40.307,6,6,36,chiton,,,0,0,
Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,18.387,124,40.307,6,6,32,chiton,,,0,0,
Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,4.5-6,5,20,chiton,,,0,0,
Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,3-4.5,4,35,chiton,,,0,0,
Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 41.037'W,47,58.385,124,41.037,4.5-6,5,31,chiton,,,0,0,
Rock #305,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,chiton,,,0,0,
Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 36.324'W,47,52.16,124,36.324,6-horiz,6,30,chiton,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,6-slope,6,14,chiton,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,12,12,16,chiton,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,18-21,20,32,chiton,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-horiz,6,13,chiton,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-slope,6,27,chiton,,,0.15,0.77,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,12,12,30,chiton,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,6,6,30,chiton,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,12,12,30,chiton,,,0,0,
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,19.061,124,40.307,6,6,30,chiton,,,0,0,
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,18.387,124,40.307,6,6,30,chiton,,,0,0,
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,chiton,,,0,0,
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,chiton,,,0,0,
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 41.037'W,47,58.385,124,41.037,6,6,30,chiton,,,0,0,
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,chiton,,,0,0,
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 36.324'W,47,52.16,124,36.324,6,6,30,chiton,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,6,6,30,chiton,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,12,12,30,chiton,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,18,18,30,chiton,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,6,6,28,chiton,,,0.14,0.76,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,12,12,32,chiton,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,6,6,30,chiton,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,12,12,30,chiton,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,18,18,30,chiton,,,0,0,
