POSITION a b   	jan	feb	mar	apr	may	jun	jul	aug	sept	oct	nov	dec	
48N 125W 1988        -152  -16  -12    1   -6   12   54   55   15   -5  -90  -44
48N 125W 1989         -27  -67  -72   -0   34   31   31   48   21  -12  -20  -43
48N 125W 1990         -35  -25  -12    7   14   12   61   15   16  -22  -29  -16
48N 125W 1991         -45  -82   -1    2   27   31   27    9   17    1  -82  -70
48N 125W 1992        -171 -125    0   -8   30   42   52   28    8  -13  -53  -46
48N 125W 1993        -102  -82  -39  -55   -2   23   38   26   20   -2  -13  -99
48N 125W 1994         -38  -55  -15   -1    7   11   58   10    3   -7  -34 -153
48N 125W 1995        -314  -31  -58   -2   29    9   37   12    0  -15  -73 -180
48N 125W 1996         -41  -91   -6  -61   14   18   63   26    8  -15  -30  -62
48N 125W 1997         -55  -10  -55   -4    0    1   25    3   -6  -24 -139 -103
48N 125W 1998        -186 -189   -8    3   15   60   24   41   23  -43 -135  -59
48N 125W 1999         -55 -280  -96    7   18   11   44   20   22  -13 -118  -57
48N 125W 2000         -62 -102  -31   -5    3   23   25   33    1  -18  -60 -107
48N 125W 2001        -127  -43  -10   -2   16   25   68    2    3   -9 -145 -130
48N 125W 2002         -69  -47   -6    9   10   18   48   40    4    0 -137 -220
48N 125W 2003        -235   -4  -67  -14    8   37   30   29    3  -34  -23 -228
48N 125W 2004        -122 -110  -17    0   15   18   30   10    3   -2  -14  -22
48N 125W 2005         -74    0   -8  -13   -4   16   30   41   24  -50  -24  -77
48N 125W 2006        -112   -2  -47    0   16   34   54   77   18   18  -75  -82
48N 125W 2007         -17  -42  -19   -7   32    7   12   18   12  -22  -16  -43
48N 125W 2008         -29  -13  -12    6   16   30   29    8    7   -5  -48  -12
48N 125W 2009         -11  -15   -3   14    9   24   32   13    0  -12 -109  -80
48N 125W 2010        -258 -111  -43    1   12   17   59   17   -6  -41  -39 -159
48N 125W 2011         -22  -11 -123    1    5   17   16   18   -5   -9  -48   -4
48N 125W 2012         -77  -50  -57  -15   11    2   39   11   18  -14  -88  -53
48N 125W 2013          -6  -14   -6   17    2    5   84    2   -3    2  -10   -2
48N 125W 2014         -17  -72  -34  -14    2   24   34   35   -1  -62  -49  -88
48N 125W 2015         -49  -27  -18   -1   45   56   35   17    1  -18   -9 -143
48N 125W 2016        -201 -125  -91   -2   38   24   26   35    4 -112 -186  -23
48N 125W 2017        -119  -39  -62  -37   10   11   39   32    2   -3 -137  -28
