year,site,classcode,spp,short,n_obs,dens_weighted,sd_w,dens_averaged,sd_ave,se_w,se_ave
2015,Chibadehl Rocks,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,5,0.375,2.9047375096555625,0.375,3.3541019662496847,1.2990381056766578,1.5
2015,Chibadehl Rocks,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,6,0.3965686274509804,4.943346862267713,2.2616666666666663,9.23911972718902,2.0181129056906952,3.7718548340158704
2015,Chibadehl Rocks,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,2,0,0,0,0,0,0
2015,Destruction Island,COSCOS,"Costaria costatum, Costaria",Costaria,2,0.18333333333333335,0,0.18333333333333335,0,0,0
2015,Destruction Island,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Destruction Island,DESSPP,Desmarestia spp.,Desmares,2,0.03333333333333333,0,0.03333333333333333,0,0,0
2015,Destruction Island,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0.03333333333333333,0,0.03333333333333333,0,0,0
2015,Destruction Island,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0.15,0,0.15,0,0,0
2015,Destruction Island,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,3,2.6125,0.525,2.525,0.8573214099741125,0.30310889132455354,0.4949747468305834
2015,Destruction Island,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,2,0,0,0,0,0,0
2015,Destruction Island,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,2,1.1166666666666667,0,1.1166666666666667,0,0,0
2015,Destruction Island,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,2,0,0,0,0,0,0
2015,Neah Bay,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Neah Bay,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Neah Bay,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Neah Bay,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Neah Bay,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,8,4.375,9.460443964212251,4.375,10.923979738782625,3.344772040064913,3.862210075418822
2015,Neah Bay,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,8,2,4.47213595499958,2,5.163977794943222,1.5811388300841895,1.8257418583505536
2015,Neah Bay,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,5,0.75,2.5,0.75,2.8867513459481287,1.118033988749895,1.2909944487358056
2015,Neah Bay,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,12,4.107142857142858,11.811270992106632,5.583333333333334,16.33891061240008,3.409620243382191,4.71663722016721
2015,Neah Bay,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,2,0,0,0,0,0,0
2015,Point of the Arches,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Point of the Arches,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Point of the Arches,DESSPP,Desmarestia spp.,Desmares,2,0.05,0,0.05,0,0,0
2015,Point of the Arches,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Point of the Arches,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Point of the Arches,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,6,1.5666666666666669,2.1413045521796255,1.5666666666666669,2.6225517683694592,0.8741839227898199,1.0706522760898127
2015,Point of the Arches,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,3,0.2416666666666667,0.5484827557301445,0.24166666666666664,0.7756717518813397,0.3166666666666667,0.4478342947514801
2015,Point of the Arches,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,6,0.7444444444444445,1.6348065917999572,0.7444444444444445,2.002220989024161,0.6674069963413869,0.8174032958999788
2015,Point of the Arches,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,3,0.625,0.4907477288111819,0.625,0.694022093788567,0.2833333333333333,0.4006938426723769
2015,Rock 305,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Rock 305,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Rock 305,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Rock 305,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Rock 305,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Rock 305,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,4,0.45833333333333337,0.30731814857642953,0.4583333333333333,0.43461349368017654,0.15365907428821476,0.21730674684008827
2015,Rock 305,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,2,0,0,0,0,0,0
2015,Rock 305,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,5,1.7374999999999998,1.8275476889962559,1.7374999999999998,2.1102703003977332,0.8173041729436544,0.9437415685176466
2015,Rock 305,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,3,0.18333333333333332,0.5196152422706631,0.18333333333333332,0.7348469228349532,0.3,0.4242640687119284
2015,Tatoosh Island,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Tatoosh Island,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Tatoosh Island,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Tatoosh Island,LAMSET,"Laminaria setchellii, Laminaria",Laminari,2,0,0,0,0,0,0
2015,Tatoosh Island,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Tatoosh Island,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,12,3.21,8.197938765323878,2.9100694444444444,11.938227871934018,2.366541076479905,3.4462695377540995
2015,Tatoosh Island,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,2,0.375,0,0.375,0,0,0
2015,Tatoosh Island,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,12,2.5300000000000002,8.838257746863915,4.4006944444444445,20.94734304286717,2.5513852446595884,6.046977072303398
2015,Tatoosh Island,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,2,0,0,0,0,0,0
2015,Teahwhit Head,COSCOS,"Costaria costatum, Costaria",Costaria,2,0,0,0,0,0,0
2015,Teahwhit Head,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,2,0,0,0,0,0,0
2015,Teahwhit Head,DESSPP,Desmarestia spp.,Desmares,2,0,0,0,0,0,0
2015,Teahwhit Head,LAMSET,"Laminaria setchellii, Laminaria",Laminari,3,0.125,0.31754264805429416,0.125,0.4490731195102493,0.18333333333333335,0.25927248643506745
2015,Teahwhit Head,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,2,0,0,0,0,0,0
2015,Teahwhit Head,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,3,0.15833333333333333,0.2598076211353315,0.15833333333333333,0.3674234614174766,0.14999999999999997,0.2121320343559642
2015,Teahwhit Head,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,2,0,0,0,0,0,0
2015,Teahwhit Head,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,3,0.5583333333333333,1.0103629710818454,0.5583333333333333,1.4288690166235207,0.5833333333333335,0.8249579113843056
2015,Teahwhit Head,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,2,0.9666666666666668,0,0.9666666666666668,0,0,0
2016,Cape Alava,AGAFIM,Agarum fimbriatum,Agarum f,24,0,0,0,0,0,0
2016,Cape Alava,ALAMAR,"Alaria marginata, Alaria",Alaria m,24,0,0,0,0,0,0
2016,Cape Alava,COSCOS,"Costaria costatum, Costaria",Costaria,24,0,0,0,0,0,0
2016,Cape Alava,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,24,0.004166666666666667,0.23094010767585035,0.004166666666666667,0.282842712474619,0.04714045207910318,0.05773502691896258
2016,Cape Alava,DESSPP,Desmarestia spp.,Desmares,24,0.010416666666666666,0.32659863237109044,0.010416666666666666,0.4,0.06666666666666668,0.08164965809277261
2016,Cape Alava,EGRMEN,Egregia menziesii,Egregia ,24,0,0,0,0,0,0
2016,Cape Alava,LAMSET,"Laminaria setchellii, Laminaria",Laminari,24,0.06875,0.7659416862050705,0.06875,0.938083151964686,0.15634719199411434,0.19148542155126766
2016,Cape Alava,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,24,0,0,0,0,0,0
2016,Cape Alava,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,24,1.0940824468085106,22.02232860224199,1.456188725490196,28.41339296272058,4.495289001949364,5.7998595516543165
2016,Cape Alava,NO_ALG,No kelp stipes present in this sample,No kelp ,24,0,0,0,0,0,0
2016,Cape Alava,NOT_DONE,No data collected,No data ,24,0,0,NaN,0,0,0
2016,Cape Alava,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,24,0.05416666666666667,0.972967967955095,0.05416666666666667,1.1916375287812986,0.1986062547968831,0.24324199198877378
2016,Cape Alava,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,24,0.7370060137457045,4.0606725281784355,0.739514652014652,4.964303319781233,0.8288813088812095,1.013334171822384
2016,Cape Alava,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,24,0,0,0,0,0,0
2016,Cape Alava,SACLAT,"Saccharina latissima, ""bongo""",Sacchari,24,0,0,0,0,0,0
2016,Cape Johnson,AGAFIM,Agarum fimbriatum,Agarum f,13,0,0,0,0,0,0
2016,Cape Johnson,ALAMAR,"Alaria marginata, Alaria",Alaria m,13,0.016666666666666666,0.5169354139756941,0.016666666666666666,0.6331139971074193,0.14337208778404378,0.17559422921421233
2016,Cape Johnson,COSCOS,"Costaria costatum, Costaria",Costaria,13,0,0,0,0,0,0
2016,Cape Johnson,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,13,0,0,0,0,0,0
2016,Cape Johnson,DESSPP,Desmarestia spp.,Desmares,13,0.007142857142857143,0.16996731711975951,0.007142857142857143,0.20816659994661327,0.047140452079103175,0.057735026918962574
2016,Cape Johnson,EGRMEN,Egregia menziesii,Egregia ,13,0,0,0,0,0,0
2016,Cape Johnson,LAMSET,"Laminaria setchellii, Laminaria",Laminari,13,0.05714285714285715,0.9192388155425117,0.05714285714285715,1.12583302491977,0.25495097567963926,0.3122498999199199
2016,Cape Johnson,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,13,0.9928571428571429,12.624132258408011,1.0321428571428573,16.410870381142697,3.5013043204560845,4.551556510323327
2016,Cape Johnson,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,13,0.06285714285714286,0.36175498153676705,0.06190476190476191,0.4536885862938734,0.10033277962194942,0.1258305739211792
2016,Cape Johnson,NO_ALG,No kelp stipes present in this sample,No kelp ,13,0,0,0,0,0,0
2016,Cape Johnson,NOT_DONE,No data collected,No data ,13,0,0,0,0,0,0
2016,Cape Johnson,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,13,0.05476190476190476,0.3800584750330461,0.05476190476190476,0.4654746681256314,0.105409255338946,0.12909944487358058
2016,Cape Johnson,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,13,0.49785714285714283,3.6171704718221704,0.49047619047619045,4.310355747112606,1.0032225852499312,1.1954775893619534
2016,Cape Johnson,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,13,0.0719047619047619,0.5376853685526095,0.0630952380952381,0.6805328794408099,0.14912708972178357,0.18874586088176873
2016,Cape Johnson,SACLAT,"Saccharina latissima, ""bongo""",Sacchari,13,0,0,0,0,0,0
2016,Destruction Island,AGAFIM,Agarum fimbriatum,Agarum f,12,0,0,0,0,0,0
2016,Destruction Island,ALAMAR,"Alaria marginata, Alaria",Alaria m,12,0.18333333333333332,2.552123299006796,0.18333333333333332,3.1256999216175565,0.7367345368433448,0.9023118455759442
2016,Destruction Island,COSCOS,"Costaria costatum, Costaria",Costaria,12,0.23333333333333334,3.1358146203711303,0.23333333333333334,3.840572873934304,0.9052317076000181,1.1086778913041726
2016,Destruction Island,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,12,0,0,0,0,0,0
2016,Destruction Island,DESSPP,Desmarestia spp.,Desmares,12,0.058333333333333334,0.7659416862050704,0.058333333333333334,0.9380831519646858,0.22110831935702666,0.27080128015453203
2016,Destruction Island,EGRMEN,Egregia menziesii,Egregia ,12,0,0,0,0,0,0
2016,Destruction Island,LAMSET,"Laminaria setchellii, Laminaria",Laminari,12,0.1416666666666667,2.4549270186029286,0.1416666666666667,3.006659275674582,0.7086763875156432,0.8679477710861025
2016,Destruction Island,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,12,0,0,0,0,0,0
2016,Destruction Island,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,12,0.5125,5.187163643713842,0.5125,6.3529520697074355,1.4974051630144134,1.8339392937971892
2016,Destruction Island,NO_ALG,No kelp stipes present in this sample,No kelp ,12,0,0,0,0,0,0
2016,Destruction Island,NOT_DONE,No data collected,No data ,12,0,0,0,0,0,0
2016,Destruction Island,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,12,0,0,0,0,0,0
2016,Destruction Island,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,12,0.125,1.2701705922171767,0.125,1.5556349186104046,0.3666666666666667,0.44907311951024936
2016,Destruction Island,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,12,0.11666666666666667,1.6812693617224654,0.11666666666666667,2.0591260281974004,0.4853406592853679,0.5944184833375671
2016,Destruction Island,SACLAT,"Saccharina latissima, ""bongo""",Sacchari,12,0,0,0,0,0,0
2016,Neah Bay,AGAFIM,Agarum fimbriatum,Agarum f,30,0,0,0,0,0,0
2016,Neah Bay,ALAMAR,"Alaria marginata, Alaria",Alaria m,30,0.03,0.912870929175277,0.03,1.118033988749895,0.16666666666666669,0.2041241452319315
2016,Neah Bay,COSCOS,"Costaria costatum, Costaria",Costaria,30,0,0,0,0,0,0
2016,Neah Bay,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,30,0,0,0,0,0,0
2016,Neah Bay,DESSPP,Desmarestia spp.,Desmares,30,0.19666666666666666,2.254624876411447,0.19666666666666668,2.7613402542968157,0.4116363011742823,0.5041494487418059
2016,Neah Bay,EGRMEN,Egregia menziesii,Egregia ,30,0,0,0,0,0,0
2016,Neah Bay,LAMSET,"Laminaria setchellii, Laminaria",Laminari,30,0.13166666666666668,3.838402445462609,0.13166666666666668,4.701063709417263,0.7007932013876214,0.8582928793055822
2016,Neah Bay,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,30,0.31410482921083627,6.654395305442206,0.32024096385542167,8.242936642964533,1.2149208051157254,1.504947446479194
2016,Neah Bay,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,30,0.49551335918982975,4.174309720702297,0.5015805564879188,5.216920097137453,0.7621211986805793,0.9524749393014084
2016,Neah Bay,NO_ALG,No kelp stipes present in this sample,No kelp ,30,0,0,0,0,0,0
2016,Neah Bay,NOT_DONE,No data collected,No data ,30,0,0,NaN,0,0,0
2016,Neah Bay,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,30,0.021666666666666667,0.6454972243679028,0.021666666666666667,0.7905694150420949,0.11785113019775792,0.14433756729740646
2016,Neah Bay,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,30,1.678475658770991,7.702952054339416,1.7508382631481378,10.214193732081036,1.4063601998474862,1.8648481045962209
2016,Neah Bay,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,30,0.11166666666666666,1.8439088914585773,0.11166666666666666,2.258317958127243,0.3366501646120692,0.412310562561766
2016,Neah Bay,SACLAT,"Saccharina latissima, ""bongo""",Sacchari,30,0.075,1.2780193008453877,0.075,1.5652475842498528,0.23333333333333336,0.2857738033247041
2016,Tatoosh Island,AGAFIM,Agarum fimbriatum,Agarum f,25,0.003703703703703704,0.2357022603955159,0.003703703703703704,0.2886751345948129,0.04714045207910318,0.05773502691896258
2016,Tatoosh Island,ALAMAR,"Alaria marginata, Alaria",Alaria m,25,0.009259259259259259,0.263523138347365,0.009259259259259259,0.32274861218395146,0.052704627669473,0.06454972243679029
2016,Tatoosh Island,COSCOS,"Costaria costatum, Costaria",Costaria,25,0.20277777777777778,1.3597640726733933,0.19999999999999998,1.6583123951776997,0.2719528145346787,0.3316624790355399
2016,Tatoosh Island,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,25,0.04814814814814815,0.31180478223116176,0.04814814814814815,0.38188130791298663,0.06236095644623235,0.07637626158259733
2016,Tatoosh Island,DESSPP,Desmarestia spp.,Desmares,25,0.19074074074074074,2.4267032964268394,0.19074074074074074,2.9720924166878344,0.48534065928536785,0.5944184833375669
2016,Tatoosh Island,EGRMEN,Egregia menziesii,Egregia ,25,0,0,0,0,0,0
2016,Tatoosh Island,LAMSET,"Laminaria setchellii, Laminaria",Laminari,25,0.11666666666666667,2.513850521499726,0.11666666666666667,3.078825533651861,0.5027701042999453,0.6157651067303722
2016,Tatoosh Island,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,25,0,0,0,0,0,0
2016,Tatoosh Island,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,25,2.121259757159978,22.19453176397906,2.7912907804535982,36.643755631282794,4.438906352795812,7.328751126256559
2016,Tatoosh Island,NO_ALG,No kelp stipes present in this sample,No kelp ,25,0,0,0,0,0,0
2016,Tatoosh Island,NOT_DONE,No data collected,No data ,25,NaN,0,NaN,0,0,0
2016,Tatoosh Island,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,25,0.1037037037037037,1.0801234497346432,0.1037037037037037,1.3228756555322954,0.21602468994692864,0.2645751311064591
2016,Tatoosh Island,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,25,0.4078703703703704,4.2656472577766875,0.39814814814814814,5.242057484105517,0.8531294515553375,1.0484114968211036
2016,Tatoosh Island,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,25,0.39001661918328584,9.263016986551124,0.5041394335511983,13.764673150204086,1.8526033973102247,2.752934630040817
2016,Tatoosh Island,SACLAT,"Saccharina latissima, ""bongo""",Sacchari,25,0.022222222222222223,0.6972166887783964,0.022222222222222223,0.8539125638299666,0.13944333775567927,0.17078251276599332
2017,Cape Alava,AGAFIM,Agarum fimbriatum,Agarum f,21,0,0,0,0,0,0
2017,Cape Alava,ALAMAR,"Alaria marginata, Alaria",Alaria m,21,0.016666666666666666,0.3415650255319866,0.016666666666666666,0.41833001326703784,0.07453559924999299,0.0912870929175277
2017,Cape Alava,COSCOS,"Costaria costatum, Costaria",Costaria,21,0,0,0,0,0,0
2017,Cape Alava,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,21,0.0023809523809523807,0.10801234497346436,0.0023809523809523807,0.13228756555322954,0.02357022603955159,0.02886751345948129
2017,Cape Alava,DESSPP,Desmarestia spp.,Desmares,21,0,0,0,0,0,0
2017,Cape Alava,EGRMEN,Egregia menziesii,Egregia ,21,0.0023809523809523807,0.10801234497346436,0.0023809523809523807,0.13228756555322954,0.02357022603955159,0.02886751345948129
2017,Cape Alava,LAMSET,"Laminaria setchellii, Laminaria",Laminari,21,0.02857142857142857,0.49497474683058335,0.028571428571428574,0.6062177826491071,0.10801234497346436,0.13228756555322954
2017,Cape Alava,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,21,0,0,0,0,0,0
2017,Cape Alava,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,21,1.2958494309387119,8.27586649035559,1.4231593684831356,11.398339665034664,1.8059421254001435,2.4873216338970927
2017,Cape Alava,NO_ALG,No kelp stipes present in this sample,No kelp ,21,0,0,0,0,0,0
2017,Cape Alava,NOT_DONE,No data collected,No data ,21,0,0,0,0,0,0
2017,Cape Alava,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,21,0.007142857142857143,0.1527525231651947,0.007142857142857143,0.18708286933869708,0.03333333333333334,0.040824829046386304
2017,Cape Alava,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,21,0.7133668218573879,2.614168895741115,0.7154111371324485,3.2199041713588827,0.57045842114918,0.7026406950360067
2017,Cape Alava,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,21,0.0380952380952381,0.43204937989385733,0.03809523809523809,0.5291502622129182,0.09428090415820634,0.11547005383792516
2017,Cape Alava,SACLAT,"Saccharina latissima, ""bongo""",Sacchari,21,0,0,0,0,0,0
2017,Cape Johnson,AGAFIM,Agarum fimbriatum,Agarum f,24,0,0,0,0,0,0
2017,Cape Johnson,ALAMAR,"Alaria marginata, Alaria",Alaria m,24,0,0,0,0,0,0
2017,Cape Johnson,COSCOS,"Costaria costatum, Costaria",Costaria,24,0,0,0,0,0,0
2017,Cape Johnson,CYMTRI,"Cymathere triplicata, three-ribbed kelp",Cymather,24,0,0,0,0,0,0
2017,Cape Johnson,DESSPP,Desmarestia spp.,Desmares,24,0,0,0,0,0,0
2017,Cape Johnson,EGRMEN,Egregia menziesii,Egregia ,24,0,0,0,0,0,0
2017,Cape Johnson,LAMSET,"Laminaria setchellii, Laminaria",Laminari,24,0.22185185185185186,1.9327872792075869,0.2175925925925926,2.3430749027719964,0.39452855128339925,0.4782781617427248
2017,Cape Johnson,MACPYR,"Macrocystis pyrifera, Macrocystis",Macrocys,24,2.0462962962962963,21.15309276047674,2.0462962962962963,25.907141872464432,4.317856978744073,5.288273190119185
2017,Cape Johnson,NERLUE,"Nereocystis luetkeana, Nereocystis",Nereocys,24,0.3424074074074074,7.661588173044367,0.35185185185185186,9.467840302835699,1.5639151369417574,1.9326148090087687
2017,Cape Johnson,NO_ALG,No kelp stipes present in this sample,No kelp ,24,0,0,0,0,0,0
2017,Cape Johnson,NOT_DONE,No data collected,No data ,24,0,0,0,0,0,0
2017,Cape Johnson,PLEGAR,"Pleurophycus gardneri, Pleurophycus",Pleuroph,24,0.016666666666666666,0.7745966692414834,0.016666666666666666,0.9486832980505139,0.158113883008419,0.19364916731037088
2017,Cape Johnson,PTECAL,"Pterygophora californica, Pterygophora",Pterygop,24,0.7925,6.180721371059098,0.7768518518518519,7.657349410860131,1.2616344667841703,1.5630499032340586
2017,Cape Johnson,SACGRO,"Saccharina groenlandica, split kelp",Sacchari,24,0,0,0,0,0,0
2017,Cape Johnson,SACLAT,"Saccharina latissima, ""bongo""",Sacchari,24,0,0,0,0,0,0
2017,Destruction Island,AGAFIM,Agarum fimbriatum,Agarum f,13,0,0,0,0,0,0
2017,Destruction Island,ALAMAR,"Alaria marginata, Alaria",Alaria m,13,0.01,0.19002923751652304,0.01,0.2327373340628157,0.052704627669473,0.06454972243679029
